Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Patrick Sandoval,2022-07-09,LAA,@BAL,1,0,1,1.42,1,1,0,0,0,0,0,6.1,25,5,1,1,0,2,0,0,1,0,10,70
Patrick Sandoval,2022-07-02,LAA,@HOU,1,0,1,9.00,1,1,0,0,0,0,0,5.0,26,8,5,5,1,2,0,0,1,0,9,37
Patrick Sandoval,2022-06-25,LAA,SEA,1,0,0,1.80,1,1,0,0,0,0,0,5.0,25,8,1,1,1,2,0,0,1,0,6,46
Patrick Sandoval,2022-06-18,LAA,@SEA,1,0,0,1.50,1,1,0,0,0,0,0,6.0,24,4,1,1,1,2,0,0,0,0,5,59
Patrick Sandoval,2022-06-12,LAA,NYM,1,0,1,3.00,1,1,0,0,0,0,0,6.0,27,8,2,2,1,2,0,0,0,0,8,51
Patrick Sandoval,2022-06-05,LAA,@PHI,1,0,0,3.86,1,1,0,0,0,0,0,4.2,24,4,2,2,0,4,0,1,0,0,4,49
Patrick Sandoval,2022-05-29,LAA,TOR,1,0,0,15.00,1,1,0,0,0,0,0,3.0,18,5,6,5,0,3,0,0,0,0,4,27
Patrick Sandoval,2022-05-22,LAA,OAK,1,1,0,1.23,1,1,0,0,0,0,0,7.1,27,4,1,1,0,1,0,0,0,0,7,77
Patrick Sandoval,2022-05-15,LAA,@OAK,1,1,0,1.42,1,1,0,0,0,0,0,6.1,28,4,1,1,0,4,0,1,0,0,4,62
Patrick Sandoval,2022-05-08,LAA,WSN,1,0,0,4.76,1,1,0,0,0,0,0,5.2,26,7,3,3,0,3,0,0,0,0,5,49
Patrick Sandoval,2022-05-02,LAA,@CHW,1,0,1,4.50,1,1,0,0,0,0,0,6.0,26,6,3,3,0,3,0,0,0,0,2,50
Patrick Sandoval,2022-04-26,LAA,CLE,1,1,0,0.00,1,1,0,0,0,0,0,7.0,24,2,0,0,0,1,0,0,0,0,9,84
Patrick Sandoval,2022-04-19,LAA,@HOU,1,0,0,0.00,1,1,0,0,0,0,0,4.0,18,4,1,0,0,2,0,0,0,0,5,53
Patrick Sandoval,2022-04-12,LAA,MIA,1,0,0,0.00,1,1,0,0,0,0,0,4.0,18,3,1,0,0,3,0,0,0,0,6,54
Patrick Sandoval,2021-08-13,LAA,HOU,1,0,1,7.71,1,1,0,0,0,0,0,4.2,22,5,4,4,1,2,0,0,0,0,3,40
Patrick Sandoval,2021-08-06,LAA,@LAD,1,0,0,3.60,1,1,0,0,0,0,0,5.0,24,7,2,2,0,2,0,0,0,0,4,51
Patrick Sandoval,2021-07-30,LAA,OAK,1,0,1,1.59,1,1,0,0,0,0,0,5.2,27,4,1,1,0,6,0,0,0,0,6,58
Patrick Sandoval,2021-07-24,LAA,@MIN,1,1,0,1.04,1,1,0,0,0,0,0,8.2,30,1,1,1,0,1,0,2,0,0,13,99
