Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Phil Maton,2022-07-10,HOU,@OAK,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Phil Maton,2022-07-07,HOU,KCR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Phil Maton,2022-07-05,HOU,KCR,0,0,0,0.00,1,0,0,0,0,1,0,0.2,1,0,0,0,0,0,0,0,0,0,0,
Phil Maton,2022-07-04,HOU,KCR,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Phil Maton,2022-07-02,HOU,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Phil Maton,2022-06-26,HOU,@NYY,0,0,0,27.00,1,0,0,0,0,0,1,0.2,6,2,2,2,1,2,0,0,0,0,2,
Phil Maton,2022-06-24,HOU,@NYY,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,3,
Phil Maton,2022-06-21,HOU,NYM,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Phil Maton,2022-06-18,HOU,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,0,0,1,0,0,2,
Phil Maton,2022-06-15,HOU,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Phil Maton,2022-06-13,HOU,@TEX,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Phil Maton,2022-06-10,HOU,MIA,0,0,0,10.80,1,0,0,0,0,0,0,1.2,8,2,2,2,1,1,0,0,0,0,3,
Phil Maton,2022-06-06,HOU,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Phil Maton,2022-06-05,HOU,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,0.0,3,1,0,0,0,2,0,0,0,0,0,
Phil Maton,2022-06-03,HOU,@KCR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Phil Maton,2022-05-31,HOU,@OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,0,
Phil Maton,2022-05-28,HOU,@SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Phil Maton,2022-05-23,HOU,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Phil Maton,2022-05-21,HOU,TEX,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Phil Maton,2022-05-20,HOU,TEX,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Phil Maton,2022-05-16,HOU,@BOS,0,0,0,4.50,1,0,0,0,0,0,0,2.0,8,2,1,1,1,0,0,1,0,0,1,
Phil Maton,2022-05-14,HOU,@WSN,0,0,0,13.50,1,0,0,0,0,0,0,1.1,7,2,2,2,1,1,0,0,0,0,0,
