Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Robert Stephenson,2022-07-08,COL,@ARI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Robert Stephenson,2022-07-07,COL,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Robert Stephenson,2022-07-03,COL,ARI,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,0,0,0,0,0,0,
Robert Stephenson,2022-07-01,COL,ARI,0,0,0,21.60,1,0,0,0,0,0,0,1.2,10,4,4,4,1,1,0,0,0,0,0,
Robert Stephenson,2022-06-26,COL,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,2,
Robert Stephenson,2022-06-22,COL,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Robert Stephenson,2022-06-19,COL,SDP,0,0,0,13.50,1,0,0,0,0,0,0,1.1,7,3,2,2,1,0,0,0,1,0,1,
Robert Stephenson,2022-06-16,COL,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Robert Stephenson,2022-06-14,COL,CLE,0,0,1,0.00,1,0,0,0,0,0,0,1.0,4,1,1,0,0,1,0,0,0,0,1,
Robert Stephenson,2022-06-11,COL,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Robert Stephenson,2022-06-09,COL,@SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Robert Stephenson,2022-06-05,COL,ATL,0,0,0,4.50,1,0,0,0,0,0,0,2.0,8,1,1,1,1,0,0,0,0,0,3,
Robert Stephenson,2022-06-02,COL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Robert Stephenson,2022-06-01,COL,MIA,0,0,0,40.50,1,0,0,0,0,1,0,0.2,6,2,4,3,0,2,0,0,0,0,0,
Robert Stephenson,2022-05-29,COL,@WSN,0,0,0,27.00,1,0,0,0,0,0,0,0.1,3,2,1,1,1,0,0,0,0,0,1,
Robert Stephenson,2022-05-28,COL,@WSN,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,2,2,2,1,0,0,0,0,0,0,
Robert Stephenson,2022-05-21,COL,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Robert Stephenson,2022-05-18,COL,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Robert Stephenson,2022-05-17,COL,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,1,0,3,
Robert Stephenson,2022-05-15,COL,KCR,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Robert Stephenson,2022-05-11,COL,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Robert Stephenson,2022-05-09,COL,@SFG,0,0,0,13.50,1,0,0,0,0,0,0,0.2,5,2,1,1,0,1,0,0,1,0,0,
Robert Stephenson,2022-05-06,COL,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Robert Stephenson,2022-05-05,COL,WSN,0,0,0,27.00,1,0,0,0,0,0,0,0.2,4,2,2,2,0,1,0,0,0,0,0,
Robert Stephenson,2022-05-01,COL,CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Robert Stephenson,2022-04-27,COL,@PHI,0,0,0,18.00,1,0,0,0,0,0,0,1.0,7,3,2,2,0,1,1,0,0,0,0,
Robert Stephenson,2022-04-23,COL,@DET,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,0,0,0,0,2,0,0,0,0,1,
Robert Stephenson,2022-04-20,COL,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Robert Stephenson,2021-10-02,COL,@ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,0,
Robert Stephenson,2021-09-27,COL,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Robert Stephenson,2021-09-26,COL,SFG,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Robert Stephenson,2021-09-24,COL,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,2,1,0,0,0,0,0,0,0,2,
Robert Stephenson,2021-09-22,COL,LAD,0,1,0,0.00,1,0,0,0,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,1,
Robert Stephenson,2021-09-21,COL,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Robert Stephenson,2021-09-18,COL,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Robert Stephenson,2021-09-15,COL,@ATL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,0,0,1,0,0,2,
Robert Stephenson,2021-09-07,COL,SFG,0,0,0,6.75,1,0,0,0,0,0,0,1.1,6,1,1,1,0,1,0,0,0,0,1,
Robert Stephenson,2021-09-06,COL,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
