Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Ron Marinaccio,2022-07-02,NYY,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Ron Marinaccio,2022-06-30,NYY,@HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Ron Marinaccio,2022-06-28,NYY,OAK,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Ron Marinaccio,2022-06-24,NYY,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,1,0,1,1,0,1,
Ron Marinaccio,2022-06-21,NYY,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,0,0,1,0,0,0,
Ron Marinaccio,2022-06-19,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.1,7,0,0,0,0,2,0,0,0,0,1,
Ron Marinaccio,2022-06-16,NYY,TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
Ron Marinaccio,2022-06-11,NYY,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Ron Marinaccio,2022-06-10,NYY,CHC,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Ron Marinaccio,2022-06-07,NYY,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,1,0,0,0,0,0,1,0,0,3,
Ron Marinaccio,2022-05-29,NYY,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,5,0,0,0,0,2,0,1,0,0,1,
Ron Marinaccio,2022-05-25,NYY,BAL,0,0,0,0.00,1,0,0,0,0,1,0,2.0,6,0,0,0,0,0,0,0,0,0,3,
Ron Marinaccio,2022-05-22,NYY,CHW,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,1,0,1,
Ron Marinaccio,2022-04-28,NYY,BAL,0,0,0,40.50,1,0,0,0,0,0,0,0.2,6,4,3,3,0,0,0,0,1,0,2,
Ron Marinaccio,2022-04-24,NYY,CLE,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,2,2,2,0,1,0,0,0,0,1,
Ron Marinaccio,2022-04-11,NYY,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,0,0,1,0,0,1,
Ron Marinaccio,2022-04-09,NYY,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
