Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Ross Detwiler,2022-07-07,CIN,PIT,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,1,
Ross Detwiler,2022-07-05,CIN,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Ross Detwiler,2022-07-04,CIN,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Ross Detwiler,2022-07-02,CIN,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Ross Detwiler,2022-06-30,CIN,@CHC,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,3,1,1,0,0,0,0,0,0,1,
Ross Detwiler,2022-06-29,CIN,@CHC,0,0,0,27.00,1,0,0,0,0,0,0,0.2,6,3,2,2,1,0,0,1,0,0,2,
Ross Detwiler,2022-06-25,CIN,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Ross Detwiler,2022-06-23,CIN,LAD,0,0,0,27.00,1,0,0,0,0,0,0,0.1,4,2,1,1,0,1,0,0,0,0,1,
Ross Detwiler,2022-06-22,CIN,LAD,0,0,1,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Ross Detwiler,2022-06-18,CIN,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Ross Detwiler,2022-06-17,CIN,MIL,0,0,1,13.50,1,0,0,0,0,0,0,0.2,3,1,1,1,1,0,0,0,0,0,0,
Ross Detwiler,2022-06-09,CIN,ARI,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,0,0,0,0,2,1,0,0,0,0,
Ross Detwiler,2022-06-08,CIN,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Ross Detwiler,2022-06-04,CIN,WSN,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Ross Detwiler,2022-06-03,CIN,WSN,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Ross Detwiler,2022-06-01,CIN,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,
Ross Detwiler,2022-05-28,CIN,SFG,0,0,0,0.00,1,0,0,0,0,1,0,0.2,4,2,0,0,0,0,0,0,0,0,0,
Ross Detwiler,2022-05-14,CIN,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Ross Detwiler,2021-10-02,SDP,@SFG,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,2,
Ross Detwiler,2021-09-28,SDP,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,1,0,0,0,0,0,
Ross Detwiler,2021-09-26,SDP,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,0,0,1,0,0,0,
Ross Detwiler,2021-09-23,SDP,SFG,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Ross Detwiler,2021-09-22,SDP,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Ross Detwiler,2021-09-17,SDP,@STL,0,0,0,13.50,1,0,0,0,0,0,0,0.2,3,1,1,1,1,0,0,0,0,0,1,
Ross Detwiler,2021-09-14,SDP,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,0,0,0,0,3,1,0,1,0,2,
Ross Detwiler,2021-09-03,MIA,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Ross Detwiler,2021-08-28,MIA,CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Ross Detwiler,2021-08-24,MIA,WSN,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Ross Detwiler,2021-08-19,MIA,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Ross Detwiler,2021-08-16,MIA,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
