Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Steven Okert,2022-07-09,MIA,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,0,
Steven Okert,2022-07-08,MIA,@NYM,0,0,0,9.00,1,0,0,0,0,1,0,1.0,7,1,1,1,1,2,0,1,0,0,1,
Steven Okert,2022-07-03,MIA,@WSN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,1,
Steven Okert,2022-07-02,MIA,@WSN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Steven Okert,2022-07-01,MIA,@WSN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2022-06-26,MIA,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Steven Okert,2022-06-23,MIA,COL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Steven Okert,2022-06-22,MIA,COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Steven Okert,2022-06-21,MIA,COL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2022-06-14,MIA,@PHI,0,1,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,1,0,0,0,0,0,1,
Steven Okert,2022-06-13,MIA,@PHI,0,0,0,0.00,1,0,0,0,0,0,1,0.1,3,2,0,0,0,0,0,0,0,0,1,
Steven Okert,2022-06-11,MIA,@HOU,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2022-06-10,MIA,@HOU,0,0,0,13.50,1,0,0,0,0,1,0,0.2,4,1,1,1,1,1,0,0,0,0,1,
Steven Okert,2022-06-04,MIA,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2022-06-02,MIA,SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Steven Okert,2022-06-01,MIA,@COL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,0,0,0,0,0,0,2,0,0,1,
Steven Okert,2022-05-30,MIA,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Steven Okert,2022-05-27,MIA,@ATL,0,0,0,13.50,1,0,0,0,0,1,0,0.2,3,0,1,1,0,1,0,0,0,0,1,
Steven Okert,2022-05-25,MIA,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Steven Okert,2022-05-20,MIA,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Steven Okert,2022-05-17,MIA,WSN,0,0,0,0.00,1,0,0,0,0,1,0,0.2,5,1,0,0,0,2,0,0,0,0,2,
Steven Okert,2022-05-14,MIA,MIL,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2022-05-13,MIA,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Steven Okert,2022-05-11,MIA,@ARI,0,0,0,27.00,1,0,0,0,0,0,1,0.2,4,2,2,2,1,0,0,0,0,0,1,
Steven Okert,2022-05-08,MIA,@SDP,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2022-05-05,MIA,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,0,0,0,0,1,0,0,0,0,0,
Steven Okert,2022-05-03,MIA,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2022-05-01,MIA,SEA,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2022-04-27,MIA,@WSN,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,0,0,0,0,1,0,0,0,0,1,
Steven Okert,2022-04-23,MIA,@ATL,0,1,0,0.00,1,0,0,0,0,0,0,0.2,3,0,0,0,0,0,0,1,0,0,1,
Steven Okert,2022-04-19,MIA,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,1,0,0,0,
Steven Okert,2022-04-16,MIA,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2022-04-14,MIA,PHI,0,0,0,27.00,1,0,0,0,0,1,0,0.1,3,1,1,1,0,1,0,0,0,0,1,
Steven Okert,2022-04-10,MIA,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,
Steven Okert,2022-04-09,MIA,@SFG,0,1,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,4,
Steven Okert,2021-10-03,MIA,PHI,0,0,0,13.50,1,0,0,0,0,0,0,1.1,7,1,2,2,1,1,0,1,0,0,3,
Steven Okert,2021-09-29,MIA,@NYM,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Steven Okert,2021-09-28,MIA,@NYM,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,1,2,2,1,1,0,0,0,0,2,
Steven Okert,2021-09-26,MIA,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,3,
Steven Okert,2021-09-22,MIA,WSN,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,1,0,0,1,
Steven Okert,2021-09-19,MIA,PIT,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,1,0,0,0,0,0,1,0,0,
Steven Okert,2021-09-17,MIA,PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,0,0,0,0,1,0,0,0,0,2,
Steven Okert,2021-09-15,MIA,@WSN,0,0,0,13.50,1,0,0,0,0,0,0,0.2,4,2,1,1,0,0,0,0,0,0,1,
Steven Okert,2021-09-14,MIA,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,1,0,0,0,0,1,
Steven Okert,2021-09-10,MIA,@ATL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,7,2,1,1,0,2,0,0,0,0,1,
Steven Okert,2021-09-05,MIA,PHI,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,1,0,0,
Steven Okert,2021-09-04,MIA,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Steven Okert,2021-09-03,MIA,PHI,0,1,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Steven Okert,2021-08-26,MIA,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Steven Okert,2021-08-20,MIA,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2021-08-18,MIA,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Steven Okert,2021-08-16,MIA,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,1,0,2,
Steven Okert,2021-08-10,MIA,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2021-08-09,MIA,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Steven Okert,2021-08-06,MIA,@COL,0,0,0,3.86,1,0,0,0,0,0,0,2.1,11,2,1,1,1,2,0,0,0,0,5,
Steven Okert,2021-08-04,MIA,NYM,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,1,0,0,0,1,0,0,0,0,0,
Steven Okert,2021-07-31,MIA,NYY,0,0,0,4.50,1,0,0,0,0,0,0,2.0,7,1,1,1,1,0,0,0,0,0,2,
Steven Okert,2021-07-28,MIA,@BAL,0,0,1,27.00,1,0,0,0,0,0,0,0.1,5,0,1,1,0,4,2,0,1,0,0,
Steven Okert,2021-07-25,MIA,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,1,0,0,2,
Steven Okert,2021-07-23,MIA,SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2021-07-22,MIA,SDP,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Steven Okert,2021-07-20,MIA,@WSN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,2,1,1,1,0,0,0,0,0,1,
Steven Okert,2021-07-18,MIA,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2021-07-16,MIA,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,1,0,0,0,0,0,0,0,0,2,
Steven Okert,2021-07-09,MIA,ATL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,2,1,1,0,1,0,0,0,0,1,
Steven Okert,2021-07-06,MIA,LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Steven Okert,2021-07-05,MIA,LAD,0,0,0,0.00,1,0,0,0,0,1,0,1.1,5,1,0,0,0,0,0,0,0,0,1,
Steven Okert,2021-06-30,MIA,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,1,
Steven Okert,2021-04-11,MIA,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.2,7,1,0,0,0,0,0,1,0,0,1,
