Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Tanner Banks,2022-07-07,CHW,DET,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,1,
Tanner Banks,2022-07-04,CHW,MIN,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Tanner Banks,2022-07-02,CHW,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,2,
Tanner Banks,2022-07-01,CHW,@SFG,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,2,0,0,0,0,1,
Tanner Banks,2022-06-25,CHW,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Tanner Banks,2022-06-22,CHW,TOR,0,0,0,0.00,1,0,0,0,0,0,0,2.1,7,0,0,0,0,0,0,0,0,0,0,
Tanner Banks,2022-06-17,CHW,@HOU,0,0,0,3.86,1,0,0,0,0,0,0,2.1,9,2,1,1,1,0,0,0,0,0,2,
Tanner Banks,2022-06-13,CHW,@DET,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tanner Banks,2022-06-12,CHW,TEX,0,0,0,0.00,1,0,0,0,0,0,0,2.0,9,0,0,0,0,2,0,0,0,0,3,
Tanner Banks,2022-06-03,CHW,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
Tanner Banks,2022-06-02,CHW,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Tanner Banks,2022-05-26,CHW,BOS,0,0,0,27.00,1,0,0,0,0,0,0,1.2,13,7,6,5,0,1,0,0,0,0,4,
Tanner Banks,2022-05-17,CHW,@KCR,0,0,0,4.50,1,0,0,0,0,0,0,2.0,7,2,1,1,1,0,0,0,0,0,1,
Tanner Banks,2022-05-12,CHW,NYY,0,0,0,20.25,1,0,0,0,0,0,0,1.1,9,5,3,3,1,0,0,0,0,0,1,
Tanner Banks,2022-05-09,CHW,CLE,0,0,0,13.50,1,0,0,0,0,0,0,0.2,6,2,4,1,1,1,0,0,0,0,1,
Tanner Banks,2022-05-01,CHW,LAA,0,0,0,6.75,1,0,0,0,0,0,0,1.1,7,2,2,1,0,1,0,0,1,0,1,
Tanner Banks,2022-04-30,CHW,LAA,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Tanner Banks,2022-04-28,CHW,KCR,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,1,0,0,0,1,0,0,1,0,0,
Tanner Banks,2022-04-24,CHW,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Tanner Banks,2022-04-20,CHW,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,4.0,11,0,0,0,0,0,0,0,0,0,2,
Tanner Banks,2022-04-17,CHW,TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,2,
Tanner Banks,2022-04-14,CHW,SEA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,0,0,0,0,2,0,0,0,0,0,
Tanner Banks,2022-04-10,CHW,@DET,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,0,0,0,0,2,0,0,0,0,4,
