Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Tanner Rainey,2022-07-10,WSN,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,2,0,0,0,0,0,0,0,0,0,
Tanner Rainey,2022-07-06,WSN,@PHI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tanner Rainey,2022-07-04,WSN,MIA,0,0,1,9.00,1,0,0,0,0,0,0,1.0,5,1,2,1,1,1,0,0,1,0,2,
Tanner Rainey,2022-07-03,WSN,MIA,0,0,0,18.00,1,0,0,0,0,0,1,1.0,5,1,2,2,1,1,0,0,0,0,2,
Tanner Rainey,2022-06-28,WSN,PIT,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Tanner Rainey,2022-06-26,WSN,@TEX,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Tanner Rainey,2022-06-24,WSN,@TEX,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,1,0,0,0,1,0,0,0,0,0,
Tanner Rainey,2022-06-21,WSN,@BAL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Tanner Rainey,2022-06-17,WSN,PHI,0,0,0,6.75,1,0,0,0,0,0,0,1.1,5,1,1,1,1,0,0,0,0,0,3,
Tanner Rainey,2022-06-13,WSN,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Tanner Rainey,2022-06-11,WSN,MIL,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,1,2,2,1,1,0,0,0,0,2,
Tanner Rainey,2022-06-08,WSN,@MIA,0,0,1,0.00,1,0,0,0,0,0,1,0.1,3,2,2,0,0,0,0,0,0,0,0,
Tanner Rainey,2022-06-04,WSN,@CIN,0,0,0,9.00,1,0,0,0,1,0,0,1.0,5,2,1,1,1,0,0,0,0,0,2,
Tanner Rainey,2022-06-03,WSN,@CIN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Tanner Rainey,2022-05-29,WSN,COL,0,0,0,0.00,1,0,0,0,1,0,0,1.2,5,0,0,0,0,0,0,0,0,0,3,
Tanner Rainey,2022-05-26,WSN,COL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
