Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Tony Santillan,2022-06-13,CIN,@ARI,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Tony Santillan,2022-06-12,CIN,@STL,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,0,
Tony Santillan,2022-06-09,CIN,ARI,0,0,1,54.00,1,0,0,0,0,0,1,0.1,6,2,4,2,0,2,1,0,1,0,0,
Tony Santillan,2022-06-04,CIN,WSN,0,0,0,13.50,1,0,0,0,0,0,1,0.2,5,2,1,1,0,1,0,0,1,0,1,
Tony Santillan,2022-05-31,CIN,@BOS,0,0,0,9.00,1,0,0,0,1,0,0,1.0,6,3,1,1,0,0,0,0,0,0,2,
Tony Santillan,2022-05-28,CIN,SFG,0,0,0,0.00,1,0,0,0,1,0,0,1.1,6,2,0,0,0,1,0,0,0,0,2,
Tony Santillan,2022-05-25,CIN,CHC,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,0,0,0,0,2,0,0,0,0,0,
Tony Santillan,2022-05-22,CIN,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,0,0,0,0,1,0,0,0,0,1,
Tony Santillan,2022-05-19,CIN,@CLE,0,0,0,0.00,1,0,0,0,1,0,0,1.2,4,0,0,0,0,0,0,0,0,0,1,
Tony Santillan,2022-05-17,CIN,@CLE,0,0,0,0.00,1,0,0,0,0,1,0,0.1,2,1,0,0,0,0,0,0,0,0,0,
Tony Santillan,2022-05-10,CIN,MIL,0,0,0,9.00,1,0,0,0,0,0,0,0.0,3,1,1,1,0,1,0,1,0,0,0,
Tony Santillan,2022-05-07,CIN,PIT,0,0,0,5.40,1,0,0,0,0,0,0,1.2,8,2,1,1,0,1,0,0,0,0,4,
Tony Santillan,2022-05-05,CIN,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,0,0,1,0,0,3,
Tony Santillan,2022-05-01,CIN,@COL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,1,
Tony Santillan,2022-04-28,CIN,SDP,0,0,0,27.00,1,0,0,0,0,0,1,0.2,6,1,2,2,0,1,0,2,1,0,0,
Tony Santillan,2022-04-24,CIN,STL,0,0,0,0.00,1,0,0,0,0,1,0,1.1,6,2,0,0,0,0,0,0,0,0,1,
Tony Santillan,2022-04-18,CIN,@SDP,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,0,0,0,
Tony Santillan,2022-04-14,CIN,@LAD,0,0,0,81.00,1,0,0,0,0,0,0,0.1,4,2,3,3,1,1,0,0,1,0,1,
Tony Santillan,2022-04-12,CIN,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tony Santillan,2022-04-10,CIN,@ATL,0,0,0,0.00,1,0,0,0,0,1,0,1.1,5,1,0,0,0,0,0,0,0,0,1,
Tony Santillan,2022-04-07,CIN,@ATL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tony Santillan,2021-10-02,CIN,@PIT,0,0,1,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,0,0,1,0,0,2,
Tony Santillan,2021-09-28,CIN,@CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,0,0,0,0,1,0,0,0,0,1,
Tony Santillan,2021-09-25,CIN,WSN,0,0,0,13.50,1,0,0,0,0,0,0,0.2,4,2,1,1,1,0,0,0,0,0,1,
Tony Santillan,2021-09-24,CIN,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Tony Santillan,2021-09-21,CIN,PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tony Santillan,2021-09-19,CIN,LAD,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,1,0,0,0,0,3,
Tony Santillan,2021-09-15,CIN,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,2,0,0,0,1,0,0,0,0,2,
Tony Santillan,2021-09-12,CIN,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Tony Santillan,2021-09-08,CIN,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,2,
Tony Santillan,2021-09-03,CIN,DET,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,3,
Tony Santillan,2021-09-01,CIN,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Tony Santillan,2021-08-28,CIN,@MIA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,11,3,0,0,0,2,0,0,0,0,2,
Tony Santillan,2021-08-26,CIN,@MIL,0,0,0,27.00,1,0,0,0,0,0,0,0.1,4,1,1,1,1,2,0,0,0,0,1,
Tony Santillan,2021-08-21,CIN,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,1,0,0,1,
Tony Santillan,2021-08-19,CIN,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tony Santillan,2021-08-17,CIN,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,1,
Tony Santillan,2021-07-26,CIN,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.2,5,1,0,0,0,0,0,0,0,0,3,
Tony Santillan,2021-07-25,CIN,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,1,0,1,0,0,2,
Tony Santillan,2021-07-23,CIN,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tony Santillan,2021-07-21,CIN,NYM,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,2,2,2,1,0,0,1,0,0,2,
Tony Santillan,2021-07-18,CIN,MIL,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,1,0,0,0,1,0,0,
Tony Santillan,2021-07-16,CIN,MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tony Santillan,2021-06-29,CIN,SDP,1,0,1,6.00,1,1,0,0,0,0,0,3.0,18,6,3,2,0,2,0,0,0,0,4,37
Tony Santillan,2021-06-24,CIN,ATL,1,1,0,1.50,1,1,0,0,0,0,0,6.0,25,3,1,1,1,3,0,1,0,0,8,63
Tony Santillan,2021-06-18,CIN,@SDP,1,0,1,9.00,1,1,0,0,0,0,0,3.0,14,4,3,3,2,1,0,0,0,0,3,30
Tony Santillan,2021-06-13,CIN,COL,1,0,0,1.93,1,1,0,0,0,0,0,4.2,25,5,1,1,0,4,0,2,0,0,5,52
