Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Trevor Gott,2022-07-10,MIL,PIT,0,0,1,18.00,1,0,0,0,0,0,1,1.0,5,2,2,2,2,0,0,0,0,0,3,
Trevor Gott,2022-07-08,MIL,PIT,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Trevor Gott,2022-07-06,MIL,CHC,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,
Trevor Gott,2022-07-02,MIL,@PIT,0,0,0,18.00,1,0,0,0,0,0,0,1.0,5,0,2,2,0,2,0,0,0,0,1,
Trevor Gott,2022-06-28,MIL,@TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Trevor Gott,2022-06-26,MIL,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Trevor Gott,2022-06-05,MIL,SDP,0,0,1,18.00,1,0,0,0,0,0,0,1.0,6,3,3,2,1,0,0,0,0,0,1,
Trevor Gott,2022-06-04,MIL,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Trevor Gott,2022-05-31,MIL,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Trevor Gott,2022-05-30,MIL,@CHC,0,0,0,18.00,1,0,0,0,0,1,0,1.0,6,3,2,2,0,0,0,0,0,0,1,
Trevor Gott,2022-05-26,MIL,@STL,0,0,0,9.00,1,0,0,0,0,1,0,1.0,5,1,1,1,1,0,0,1,0,0,0,
Trevor Gott,2022-05-24,MIL,@SDP,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,0,0,0,0,0,1,
Trevor Gott,2022-05-23,MIL,@SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Trevor Gott,2022-05-21,MIL,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Trevor Gott,2022-05-18,MIL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Trevor Gott,2022-05-17,MIL,ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
