Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Trevor Kelley,2022-07-01,MIL,@PIT,0,0,0,4.50,1,0,0,0,0,0,0,2.0,11,2,1,1,0,3,0,0,0,0,3,
Trevor Kelley,2022-06-26,MIL,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Trevor Kelley,2022-06-24,MIL,TOR,0,0,0,27.00,1,0,0,0,0,0,0,1.0,6,3,3,3,2,0,0,0,0,0,0,
Trevor Kelley,2022-06-22,MIL,STL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,5,
Trevor Kelley,2022-06-19,MIL,@CIN,0,0,0,0.00,1,0,0,0,0,1,0,0.2,5,2,0,0,0,0,0,1,0,0,0,
Trevor Kelley,2022-06-18,MIL,@CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,0,0,0,0,1,0,0,0,0,2,
Trevor Kelley,2022-06-14,MIL,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,0,0,0,0,1,0,1,0,0,0,
Trevor Kelley,2022-06-09,MIL,PHI,0,0,0,18.00,1,0,0,0,0,0,0,2.0,10,3,4,4,2,1,0,0,0,0,1,
Trevor Kelley,2022-06-04,MIL,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Trevor Kelley,2022-06-03,MIL,SDP,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,1,
Trevor Kelley,2022-05-31,MIL,@CHC,0,0,0,36.00,1,0,0,0,0,0,1,0.0,4,4,4,4,1,0,0,0,0,0,0,
Trevor Kelley,2022-05-30,MIL,@CHC,0,0,0,13.50,1,0,0,0,0,0,0,1.1,6,2,2,2,2,0,0,0,0,0,2,
Trevor Kelley,2022-05-28,MIL,@STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,2,0,0,0,0,0,0,0,0,1,
Trevor Kelley,2022-05-26,MIL,@STL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Trevor Kelley,2022-05-18,MIL,ATL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,1,1,0,0,0,0,0,0,0,1,
Trevor Kelley,2020-08-10,PHI,ATL,0,0,0,13.50,1,0,0,0,0,0,0,0.2,3,1,1,1,1,0,0,0,1,0,1,
Trevor Kelley,2020-08-09,PHI,ATL,0,0,0,27.00,1,0,0,0,0,0,0,1.0,7,4,3,3,1,0,0,0,0,0,2,
Trevor Kelley,2020-08-05,PHI,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,0.1,3,2,0,0,0,0,0,0,0,0,1,
Trevor Kelley,2020-07-24,PHI,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.1,6,1,0,0,0,1,0,0,0,0,1,
