Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Trevor May,2022-05-02,NYM,ATL,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,2,2,2,0,1,0,0,0,0,0,
Trevor May,2022-04-30,NYM,PHI,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Trevor May,2022-04-25,NYM,@STL,0,1,0,18.00,1,0,0,0,0,0,0,1.0,7,3,2,2,0,1,0,0,0,0,1,
Trevor May,2022-04-22,NYM,@ARI,0,0,0,13.50,1,0,0,0,0,1,0,1.1,6,2,2,2,1,0,0,0,0,0,2,
Trevor May,2022-04-19,NYM,SFG,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Trevor May,2022-04-16,NYM,ARI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Trevor May,2022-04-11,NYM,@PHI,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,0,0,0,
Trevor May,2022-04-07,NYM,@WSN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,6,3,1,1,1,0,0,0,0,0,0,
Trevor May,2021-10-01,NYM,@ATL,0,0,0,9.00,1,0,0,0,0,1,0,1.0,6,3,1,1,1,0,0,0,0,0,1,
Trevor May,2021-09-30,NYM,MIA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Trevor May,2021-09-28,NYM,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Trevor May,2021-09-25,NYM,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Trevor May,2021-09-19,NYM,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Trevor May,2021-09-18,NYM,PHI,0,0,0,0.00,1,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Trevor May,2021-09-15,NYM,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Trevor May,2021-09-14,NYM,STL,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Trevor May,2021-09-11,NYM,NYY,0,0,1,18.00,1,0,0,0,0,0,1,0.0,3,3,3,2,1,0,0,0,0,0,0,
Trevor May,2021-09-07,NYM,@MIA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,2,0,0,0,0,0,0,0,0,2,
Trevor May,2021-09-05,NYM,@WSN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Trevor May,2021-09-04,NYM,@WSN,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,2,1,0,0,0,1,
Trevor May,2021-09-02,NYM,MIA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Trevor May,2021-08-28,NYM,WSN,0,1,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,1,0,2,
Trevor May,2021-08-26,NYM,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Trevor May,2021-08-25,NYM,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Trevor May,2021-08-22,NYM,@LAD,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Trevor May,2021-08-20,NYM,@LAD,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Trevor May,2021-08-18,NYM,@SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Trevor May,2021-08-16,NYM,@SFG,0,0,0,27.00,1,0,0,0,0,0,0,1.0,7,3,3,3,2,1,0,0,0,0,0,
Trevor May,2021-08-12,NYM,WSN,0,0,0,81.00,1,0,0,0,0,1,0,0.1,4,2,3,3,0,1,0,0,0,0,1,
Trevor May,2021-08-10,NYM,WSN,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Trevor May,2021-08-08,NYM,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Trevor May,2021-08-04,NYM,@MIA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Trevor May,2021-08-02,NYM,@MIA,0,0,0,9.00,1,0,0,0,0,0,0,1.0,7,1,1,1,0,2,1,0,0,0,1,
Trevor May,2021-07-31,NYM,CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Trevor May,2021-07-28,NYM,ATL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Trevor May,2021-07-26,NYM,ATL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Trevor May,2021-07-25,NYM,TOR,0,0,0,13.50,1,0,0,0,0,1,0,0.2,6,3,1,1,0,1,1,0,0,0,0,
Trevor May,2021-07-23,NYM,TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Trevor May,2021-07-19,NYM,@CIN,0,0,0,0.00,1,0,0,0,1,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Trevor May,2021-07-18,NYM,@PIT,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Trevor May,2021-07-17,NYM,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,1,0,2,
Trevor May,2021-07-10,NYM,PIT,0,0,0,18.00,1,0,0,0,0,0,0,1.0,7,2,2,2,1,2,0,0,0,0,1,
Trevor May,2021-07-05,NYM,MIL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Trevor May,2021-07-04,NYM,@NYY,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Trevor May,2021-07-01,NYM,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,2,0,0,0,1,0,0,0,0,2,
Trevor May,2021-06-29,NYM,@ATL,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Trevor May,2021-06-25,NYM,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
