Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Trevor Rogers,2022-07-11,MIA,PIT,1,0,1,3.38,1,1,0,0,0,0,0,5.1,24,6,3,2,0,3,0,0,0,0,7,51
Trevor Rogers,2022-07-06,MIA,LAA,1,0,1,5.79,1,1,0,0,0,0,0,4.2,21,4,3,3,0,2,0,2,0,0,5,51
Trevor Rogers,2022-07-01,MIA,@WSN,1,1,0,1.80,1,1,0,0,0,0,0,5.0,19,2,1,1,0,3,0,0,0,0,4,60
Trevor Rogers,2022-06-25,MIA,NYM,1,0,0,6.23,1,1,0,0,0,0,0,4.1,21,7,3,3,1,1,0,0,0,0,5,39
Trevor Rogers,2022-06-20,MIA,@NYM,1,0,1,5.40,1,1,0,0,0,0,0,5.0,23,5,4,3,0,2,0,0,1,0,7,50
Trevor Rogers,2022-06-14,MIA,@PHI,1,0,0,9.82,1,1,0,0,0,0,0,3.2,21,5,4,4,1,6,0,0,0,0,2,23
Trevor Rogers,2022-06-09,MIA,WSN,1,1,0,3.60,1,1,0,0,0,0,0,5.0,22,6,2,2,0,1,0,0,0,0,5,54
Trevor Rogers,2022-06-01,MIA,@COL,1,0,0,12.27,1,1,0,0,0,0,0,3.2,20,5,5,5,1,5,0,0,0,0,2,22
Trevor Rogers,2022-05-27,MIA,@ATL,1,0,0,5.40,1,1,0,0,0,0,0,5.0,20,4,3,3,1,1,0,0,0,0,3,47
Trevor Rogers,2022-05-20,MIA,ATL,1,0,1,11.25,1,1,0,0,0,0,0,4.0,22,8,5,5,3,2,0,0,1,0,5,15
Trevor Rogers,2022-05-14,MIA,MIL,1,1,0,1.69,1,1,0,0,0,0,0,5.1,22,5,1,1,1,0,0,1,1,0,8,60
Trevor Rogers,2022-05-08,MIA,@SDP,1,0,0,0.00,1,1,0,0,0,0,0,5.0,22,5,0,0,0,2,0,0,0,0,3,58
Trevor Rogers,2022-05-03,MIA,ARI,1,0,1,10.38,1,1,0,0,0,0,0,4.1,21,6,5,5,2,2,0,0,0,0,4,26
Trevor Rogers,2022-04-28,MIA,@WSN,1,1,0,1.50,1,1,0,0,0,0,0,6.0,21,2,1,1,0,2,0,0,1,0,4,68
Trevor Rogers,2022-04-22,MIA,@ATL,1,0,1,0.00,1,1,0,0,0,0,0,5.0,20,4,1,0,0,2,0,0,0,0,4,58
Trevor Rogers,2022-04-16,MIA,PHI,1,0,1,37.80,1,1,0,0,0,0,0,1.2,13,4,7,7,0,4,0,0,0,0,3,15
Trevor Rogers,2022-04-10,MIA,@SFG,1,0,1,3.60,1,1,0,0,0,0,0,5.0,22,6,3,2,0,1,0,0,0,0,3,49
Trevor Rogers,2021-09-28,MIA,@NYM,1,0,0,1.80,1,1,0,0,0,0,0,5.0,17,3,1,1,0,0,0,0,0,0,6,67
Trevor Rogers,2021-09-21,MIA,WSN,1,0,1,1.69,1,1,0,0,0,0,0,5.1,24,4,4,1,0,2,0,0,1,0,10,58
Trevor Rogers,2021-09-15,MIA,@WSN,1,0,0,2.25,1,1,0,0,0,0,0,4.0,20,7,1,1,0,1,0,0,0,0,3,48
Trevor Rogers,2021-09-10,MIA,@ATL,1,0,1,8.31,1,1,0,0,0,0,0,4.1,18,3,4,4,0,1,0,1,0,0,6,52
