Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Triston McKenzie,2022-07-09,CLE,@KCR,1,1,0,0.00,1,1,0,0,0,0,0,6.0,22,3,0,0,0,5,0,0,0,0,4,63
Triston McKenzie,2022-07-03,CLE,NYY,1,1,0,0.00,1,1,0,0,0,0,0,7.0,24,1,0,0,0,1,0,1,0,0,7,84
Triston McKenzie,2022-06-27,CLE,MIN,1,0,1,10.50,1,1,0,0,0,0,0,6.0,27,8,7,7,2,1,0,1,2,0,7,31
Triston McKenzie,2022-06-22,CLE,@MIN,1,0,0,12.46,1,1,0,0,0,0,0,4.1,22,9,6,6,3,1,0,0,0,0,5,14
Triston McKenzie,2022-06-16,CLE,@COL,1,1,0,1.50,1,1,0,0,0,0,0,6.0,26,7,1,1,0,1,0,0,0,0,6,62
Triston McKenzie,2022-06-10,CLE,OAK,1,0,0,3.00,1,1,0,0,0,0,0,6.0,26,5,2,2,2,2,0,0,2,0,6,49
Triston McKenzie,2022-06-04,CLE,@BAL,1,0,1,6.43,1,1,0,0,0,0,0,7.0,27,3,5,5,3,3,0,0,0,0,4,40
Triston McKenzie,2022-05-29,CLE,@DET,1,0,1,2.35,1,1,0,0,0,0,0,7.2,28,4,2,2,2,1,0,0,0,0,8,65
Triston McKenzie,2022-05-23,CLE,@HOU,1,1,0,1.29,1,1,0,0,0,0,0,7.0,24,3,1,1,1,1,0,0,0,0,3,67
Triston McKenzie,2022-05-15,CLE,@MIN,1,0,1,3.86,1,1,0,0,0,0,0,7.0,26,3,3,3,2,2,0,0,0,0,4,54
Triston McKenzie,2022-05-07,CLE,TOR,1,1,0,3.00,1,1,0,0,0,0,0,6.0,21,4,2,2,0,2,0,0,1,0,6,63
Triston McKenzie,2022-05-01,CLE,@OAK,1,1,0,0.00,1,1,0,0,0,0,0,6.1,25,4,0,0,0,1,0,1,0,0,7,74
Triston McKenzie,2022-04-26,CLE,@LAA,1,0,1,6.35,1,1,0,0,0,0,0,5.2,24,7,4,4,1,0,0,0,0,0,6,47
Triston McKenzie,2022-04-20,CLE,CHW,1,0,0,2.08,1,1,0,0,0,0,0,4.1,18,1,1,1,0,4,0,1,1,0,4,56
Triston McKenzie,2022-04-13,CLE,@CIN,1,0,0,0.00,1,1,0,0,0,0,0,4.0,15,3,0,0,0,0,0,1,0,0,6,63
Triston McKenzie,2022-04-07,CLE,@KCR,0,0,1,6.00,1,0,0,0,0,0,0,3.0,12,2,2,2,0,2,0,0,1,0,1,
