Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Tyler Alexander,2022-07-08,DET,@CHW,0,0,0,0.00,1,0,0,0,0,1,0,0.1,3,2,0,0,0,0,0,0,0,0,1,
Tyler Alexander,2022-07-04,DET,CLE,0,1,0,0.00,1,0,0,0,0,0,0,3.1,10,2,0,0,0,0,0,0,0,0,0,
Tyler Alexander,2022-07-01,DET,KCR,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,1,0,0,0,0,1,
Tyler Alexander,2022-06-25,DET,@ARI,0,1,0,0.00,1,0,0,0,0,0,0,2.0,8,1,0,0,0,1,1,0,0,0,1,
Tyler Alexander,2022-06-20,DET,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,2,
Tyler Alexander,2022-06-17,DET,TEX,0,0,0,0.00,1,0,0,0,0,0,0,2.1,9,1,0,0,0,0,0,0,0,0,2,
Tyler Alexander,2022-06-14,DET,CHW,0,0,0,4.50,1,0,0,0,0,0,0,2.0,9,3,1,1,0,0,0,0,0,0,1,
Tyler Alexander,2022-04-29,DET,@LAD,1,0,1,15.43,1,1,0,0,0,0,0,2.1,12,3,4,4,2,2,0,0,0,0,1,20
Tyler Alexander,2022-04-24,DET,COL,1,0,1,12.27,1,1,0,0,0,0,0,3.2,20,8,5,5,1,1,0,0,0,0,2,24
Tyler Alexander,2022-04-19,DET,NYY,1,0,1,0.00,1,1,0,0,0,0,0,1.0,7,1,2,0,0,2,0,0,0,0,2,35
Tyler Alexander,2022-04-12,DET,BOS,1,0,0,5.06,1,1,0,0,0,0,0,5.1,20,5,3,3,0,0,0,0,0,0,4,56
Tyler Alexander,2021-10-03,DET,@CHW,1,0,0,1.50,1,1,0,0,0,0,0,6.0,24,4,1,1,1,2,0,0,0,0,4,60
Tyler Alexander,2021-09-28,DET,@MIN,1,0,1,1.50,1,1,0,0,0,0,0,6.0,22,4,1,1,0,1,0,0,1,0,6,70
Tyler Alexander,2021-09-21,DET,CHW,1,0,0,3.60,1,1,0,0,0,0,0,5.0,23,8,2,2,0,2,0,0,0,0,2,47
Tyler Alexander,2021-09-16,DET,@TBR,1,0,1,4.76,1,1,0,0,0,0,0,5.2,25,5,4,3,1,2,0,1,0,0,4,47
Tyler Alexander,2021-09-10,DET,TBR,1,0,0,2.08,1,1,0,0,0,0,0,4.1,20,5,1,1,0,2,0,0,0,0,4,54
Tyler Alexander,2021-09-07,DET,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Tyler Alexander,2021-09-03,DET,@CIN,1,0,0,2.45,1,1,0,0,0,0,0,3.2,15,2,1,1,1,2,0,0,0,0,5,51
Tyler Alexander,2021-08-28,DET,TOR,0,0,0,6.75,1,0,0,0,0,0,0,2.2,12,3,2,2,1,1,0,0,0,0,2,
Tyler Alexander,2021-08-20,DET,@TOR,1,0,0,1.29,1,1,0,0,0,0,0,7.0,26,4,1,1,1,2,0,1,0,0,6,68
Tyler Alexander,2021-08-13,DET,CLE,1,0,1,7.20,1,1,0,0,0,0,0,5.0,21,6,4,4,1,0,0,0,0,0,4,45
Tyler Alexander,2021-08-07,DET,@CLE,1,1,0,0.00,1,1,0,0,0,0,0,5.1,19,4,0,0,0,0,0,0,0,0,4,69
