Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Tyler Beede,2022-07-06,PIT,NYY,0,0,0,9.00,1,0,0,0,0,0,0,1.0,7,1,1,1,1,2,0,0,0,0,2,
Tyler Beede,2022-07-03,PIT,MIL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,1,
Tyler Beede,2022-06-29,PIT,@WSN,0,0,0,4.50,1,0,0,0,0,1,0,2.0,10,2,1,1,1,2,0,0,0,0,1,
Tyler Beede,2022-06-26,PIT,@TBR,0,0,1,5.40,1,0,0,0,0,0,0,1.2,7,2,1,1,0,0,0,0,0,0,2,
Tyler Beede,2022-06-20,PIT,CHC,0,0,0,4.50,1,0,0,0,0,0,0,2.0,10,4,1,1,0,0,0,0,0,0,3,
Tyler Beede,2022-06-14,PIT,@STL,0,0,0,0.00,1,0,0,0,0,0,0,2.2,11,0,0,0,0,1,0,1,1,0,2,
Tyler Beede,2022-06-10,PIT,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,2.1,11,2,0,0,0,1,1,1,0,0,0,
Tyler Beede,2022-06-07,PIT,DET,0,0,0,0.00,1,0,0,0,0,0,0,2.1,7,1,0,0,0,0,0,0,0,0,1,
Tyler Beede,2022-06-03,PIT,ARI,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,1,0,0,0,0,0,
Tyler Beede,2022-05-31,PIT,@LAD,0,0,0,0.00,1,0,0,0,0,1,0,0.2,4,1,1,0,0,1,0,0,0,0,2,
Tyler Beede,2022-05-22,PIT,STL,0,0,0,18.00,1,0,0,0,0,0,0,2.0,12,5,4,4,0,1,0,0,1,0,0,
Tyler Beede,2022-05-20,PIT,STL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Tyler Beede,2022-05-16,PIT,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,1,0,1,
Tyler Beede,2022-05-04,SFG,@LAD,0,0,0,13.50,1,0,0,0,0,0,0,1.1,8,3,2,2,1,1,0,0,0,0,1,
Tyler Beede,2022-05-01,SFG,WSN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,0,
Tyler Beede,2022-04-29,SFG,WSN,0,0,0,0.00,1,0,0,0,0,0,0,1.1,8,4,0,0,0,0,0,0,0,0,0,
Tyler Beede,2022-04-21,SFG,@NYM,0,0,0,4.50,1,0,0,0,0,0,0,2.0,10,3,1,1,0,1,0,0,1,0,1,
Tyler Beede,2022-04-17,SFG,@CLE,0,0,0,4.50,1,0,0,0,0,0,0,2.0,9,2,1,1,0,1,0,0,0,0,0,
Tyler Beede,2022-04-12,SFG,SDP,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,0,0,0,0,3,0,0,0,0,2,
Tyler Beede,2021-07-10,SFG,WSN,0,0,0,27.00,1,0,0,0,0,0,0,1.0,6,2,3,3,0,0,0,1,1,0,2,
