Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Tyler Danish,2022-07-06,BOS,TBR,0,0,0,4.50,1,0,0,0,0,0,0,2.0,10,3,1,1,1,1,0,0,0,0,0,
Tyler Danish,2022-07-05,BOS,TBR,0,0,0,0.00,1,0,0,0,0,0,0,2.0,8,1,0,0,0,1,0,0,0,0,3,
Tyler Danish,2022-07-01,BOS,@CHC,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,0,0,0,0,1,0,0,0,0,0,
Tyler Danish,2022-06-28,BOS,@TOR,0,0,1,18.00,1,0,0,0,0,1,0,1.0,5,1,2,2,0,1,0,0,0,0,1,
Tyler Danish,2022-06-27,BOS,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Tyler Danish,2022-06-21,BOS,DET,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,0,0,1,0,0,0,
Tyler Danish,2022-06-19,BOS,STL,0,0,0,40.50,1,0,0,0,0,0,0,0.2,5,2,3,3,1,1,0,0,0,0,0,
Tyler Danish,2022-06-16,BOS,OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Tyler Danish,2022-06-15,BOS,OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Tyler Danish,2022-06-12,BOS,@SEA,0,1,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,
Tyler Danish,2022-06-08,BOS,@LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,0,0,1,0,0,0,
Tyler Danish,2022-06-05,BOS,@OAK,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Tyler Danish,2022-06-03,BOS,@OAK,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,0,1,0,0,0,0,1,
Tyler Danish,2022-05-31,BOS,CIN,0,0,0,0.00,1,0,0,0,0,0,0,1.2,7,2,0,0,0,0,0,0,0,0,3,
Tyler Danish,2022-05-28,BOS,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Tyler Danish,2022-05-26,BOS,@CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Tyler Danish,2022-05-24,BOS,@CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Tyler Danish,2022-05-21,BOS,SEA,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,1,0,0,0,0,0,0,0,0,1,
Tyler Danish,2022-05-17,BOS,HOU,0,0,0,11.57,1,0,0,0,0,0,0,2.1,12,3,4,3,1,0,0,1,0,0,2,
Tyler Danish,2022-05-15,BOS,@TEX,0,0,0,9.00,1,0,0,0,0,0,0,2.0,8,2,2,2,1,0,0,0,0,0,1,
Tyler Danish,2022-05-10,BOS,@ATL,0,1,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,2,
Tyler Danish,2022-05-08,BOS,CHW,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,2,0,0,0,0,0,1,0,0,1,
Tyler Danish,2022-04-27,BOS,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Tyler Danish,2022-04-25,BOS,@TOR,0,0,0,27.00,1,0,0,0,0,0,0,0.2,5,3,2,2,1,0,0,0,0,0,1,
Tyler Danish,2022-04-23,BOS,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Tyler Danish,2022-04-20,BOS,TOR,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,0,0,0,0,1,0,0,0,0,5,
