Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Vladimir Gutierrez,2022-06-03,CIN,WSN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,7,3,1,1,1,1,0,0,0,0,1,
Vladimir Gutierrez,2022-06-01,CIN,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,0,
Vladimir Gutierrez,2022-05-28,CIN,SFG,1,1,0,1.80,1,1,0,0,0,0,0,5.0,22,6,1,1,0,1,0,0,1,0,4,56
Vladimir Gutierrez,2022-05-23,CIN,CHC,1,0,1,9.00,1,1,0,0,0,0,0,4.0,18,4,4,4,1,2,0,0,1,0,5,38
Vladimir Gutierrez,2022-05-11,CIN,MIL,1,0,0,7.71,1,1,0,0,0,0,0,4.2,21,6,4,4,2,2,0,0,0,0,6,33
Vladimir Gutierrez,2022-05-04,CIN,@MIL,1,0,1,14.54,1,1,0,0,0,0,0,4.1,24,8,7,7,2,2,0,2,0,0,2,14
Vladimir Gutierrez,2022-04-27,CIN,SDP,1,0,1,13.50,1,1,0,0,0,0,0,4.0,22,5,6,6,1,6,0,0,0,0,2,19
Vladimir Gutierrez,2022-04-20,CIN,@SDP,1,0,1,5.79,1,1,0,0,0,0,0,4.2,20,2,3,3,1,4,1,2,0,0,2,42
Vladimir Gutierrez,2022-04-15,CIN,@LAD,1,0,1,6.75,1,1,0,0,0,0,0,4.0,20,5,3,3,0,3,0,1,0,0,3,41
Vladimir Gutierrez,2022-04-09,CIN,@ATL,1,0,1,4.15,1,1,0,0,0,0,0,4.1,21,6,2,2,0,2,0,1,0,0,4,47
Vladimir Gutierrez,2021-09-25,CIN,WSN,1,0,0,13.50,1,1,0,0,0,0,0,2.2,16,5,4,4,0,4,0,0,0,0,3,29
Vladimir Gutierrez,2021-09-20,CIN,PIT,1,0,0,13.50,1,1,0,0,0,0,0,3.1,18,7,5,5,2,1,0,0,0,0,3,20
Vladimir Gutierrez,2021-09-15,CIN,@PIT,1,0,0,9.82,1,1,0,0,0,0,0,3.2,19,5,4,4,0,3,0,0,0,0,0,34
Vladimir Gutierrez,2021-09-08,CIN,@CHC,1,0,0,1.80,1,1,0,0,0,0,0,5.0,19,2,1,1,1,2,0,0,0,0,6,59
Vladimir Gutierrez,2021-09-03,CIN,DET,1,0,1,8.10,1,1,0,0,0,0,0,3.1,16,4,4,3,2,1,0,0,0,0,1,27
Vladimir Gutierrez,2021-08-28,CIN,@MIA,1,0,1,15.00,1,1,0,0,0,0,0,3.0,17,7,5,5,1,0,0,1,0,0,2,25
Vladimir Gutierrez,2021-08-22,CIN,MIA,1,1,0,1.29,1,1,0,0,0,0,0,7.0,25,3,1,1,0,1,0,0,0,0,8,79
Vladimir Gutierrez,2021-08-17,CIN,CHC,1,0,1,2.84,1,1,0,0,0,0,0,6.1,27,9,2,2,1,1,0,0,0,0,7,53
Vladimir Gutierrez,2021-08-12,CIN,@ATL,1,1,0,1.50,1,1,0,0,0,0,0,6.0,25,5,1,1,0,2,0,0,1,0,6,65
Vladimir Gutierrez,2021-08-07,CIN,PIT,1,1,0,1.50,1,1,0,0,0,0,0,6.0,23,6,1,1,0,1,0,0,0,0,6,65
Vladimir Gutierrez,2021-08-01,CIN,@NYM,1,1,0,1.29,1,1,0,0,0,0,0,7.0,25,3,1,1,1,2,0,0,0,0,4,67
Vladimir Gutierrez,2021-07-27,CIN,@CHC,1,1,0,2.84,1,1,0,0,0,0,0,6.1,27,5,2,2,1,3,0,1,0,0,5,55
Vladimir Gutierrez,2021-07-19,CIN,NYM,1,0,0,13.50,1,1,0,0,0,0,0,4.0,21,9,6,6,3,2,0,0,0,0,1,7
Vladimir Gutierrez,2021-07-10,CIN,@MIL,1,0,0,1.50,1,1,0,0,0,0,0,6.0,23,5,1,1,0,2,0,1,0,0,0,59
Vladimir Gutierrez,2021-07-05,CIN,@KCR,1,1,0,3.00,1,1,0,0,0,0,0,6.0,25,5,2,2,0,2,0,0,0,0,6,62
Vladimir Gutierrez,2021-06-30,CIN,SDP,1,0,1,12.46,1,1,0,0,0,0,0,4.1,22,6,6,6,3,3,0,0,1,0,3,15
Vladimir Gutierrez,2021-06-25,CIN,ATL,1,0,1,4.50,1,1,0,0,0,0,0,6.0,26,6,3,3,2,2,0,0,0,0,4,43
Vladimir Gutierrez,2021-06-19,CIN,@SDP,1,0,0,9.00,1,1,0,0,0,0,0,5.0,27,8,5,5,1,4,0,0,0,0,4,29
Vladimir Gutierrez,2021-06-14,CIN,@MIL,1,1,0,3.00,1,1,0,0,0,0,0,6.0,24,4,2,2,1,2,0,0,0,0,6,58
Vladimir Gutierrez,2021-06-09,CIN,MIL,1,1,0,2.57,1,1,0,0,0,0,0,7.0,31,6,2,2,0,3,0,1,1,1,7,65
Vladimir Gutierrez,2021-06-03,CIN,@STL,1,1,0,3.60,1,1,0,0,0,0,0,5.0,21,3,2,2,0,3,0,0,0,1,3,55
Vladimir Gutierrez,2021-05-28,CIN,@CHC,1,0,1,1.80,1,1,0,0,0,0,0,5.0,19,2,1,1,1,2,0,0,0,0,3,56
