Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Víctor Arano,2022-06-05,WSN,@CIN,0,0,0,9.00,1,0,0,0,0,1,0,1.0,4,1,1,1,0,0,0,0,0,0,1,
Víctor Arano,2022-06-03,WSN,@CIN,0,0,0,81.00,1,0,0,0,0,0,0,0.1,4,3,3,3,1,0,0,0,1,0,1,
Víctor Arano,2022-06-01,WSN,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,1,0,0,
Víctor Arano,2022-05-28,WSN,COL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,1,
Víctor Arano,2022-05-26,WSN,COL,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,1,0,0,0,0,0,0,0,0,0,
Víctor Arano,2022-05-24,WSN,LAD,0,0,0,9.00,1,0,0,0,0,0,0,1.0,4,1,1,1,1,0,0,0,0,0,0,
Víctor Arano,2022-05-20,WSN,@MIL,0,0,0,0.00,1,0,0,0,0,0,0,0.1,2,1,0,0,0,0,0,0,0,0,0,
Víctor Arano,2022-05-18,WSN,@MIA,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Víctor Arano,2022-05-16,WSN,@MIA,0,0,0,18.00,1,0,0,0,0,0,0,1.0,7,4,2,2,0,0,0,0,0,0,2,
Víctor Arano,2022-05-13,WSN,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Víctor Arano,2022-05-11,WSN,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,2,
Víctor Arano,2022-05-06,WSN,@LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,1,0,0,0,0,2,
Víctor Arano,2022-05-01,WSN,@SFG,0,0,0,108.00,1,0,0,0,0,0,0,0.1,5,3,4,4,0,1,0,0,0,0,1,
Víctor Arano,2022-04-28,WSN,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,0,0,1,1,0,0,
Víctor Arano,2022-04-26,WSN,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,0,
Víctor Arano,2022-04-24,WSN,SFG,0,0,0,0.00,1,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,2,
Víctor Arano,2022-04-21,WSN,ARI,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,1,0,0,0,0,0,
Víctor Arano,2022-04-19,WSN,ARI,0,0,0,0.00,1,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,2,
Víctor Arano,2022-04-17,WSN,@PIT,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Víctor Arano,2022-04-16,WSN,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Víctor Arano,2022-04-14,WSN,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,1,0,3,
Víctor Arano,2022-04-11,WSN,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,3,
Víctor Arano,2022-04-08,WSN,NYM,0,0,0,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,0,0,0,0,0,0,1,
Víctor Arano,2022-04-07,WSN,NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,0,
