Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Wandy Peralta,2022-07-09,NYY,@BOS,0,0,1,27.00,1,0,0,0,0,0,1,0.2,5,3,3,2,0,0,0,0,0,0,0,
Wandy Peralta,2022-07-07,NYY,@BOS,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,0,0,0,2,
Wandy Peralta,2022-07-06,NYY,@PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Wandy Peralta,2022-07-02,NYY,@CLE,0,0,0,0.00,1,0,0,0,0,0,0,0.2,5,2,0,0,0,0,0,1,1,0,1,
Wandy Peralta,2022-06-28,NYY,OAK,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,0,0,0,0,1,0,0,0,0,1,
Wandy Peralta,2022-06-26,NYY,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Wandy Peralta,2022-06-24,NYY,HOU,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Wandy Peralta,2022-06-20,NYY,@TBR,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,1,0,0,0,0,1,
Wandy Peralta,2022-06-19,NYY,@TOR,0,0,1,27.00,1,0,0,0,0,0,1,1.0,6,2,3,3,1,1,0,0,0,0,0,
Wandy Peralta,2022-06-15,NYY,TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.2,5,0,0,0,0,0,0,0,0,0,3,
Wandy Peralta,2022-06-14,NYY,TBR,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,0,
Wandy Peralta,2022-06-10,NYY,CHC,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Wandy Peralta,2022-06-09,NYY,@MIN,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Wandy Peralta,2022-06-07,NYY,@MIN,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,1,0,0,0,0,0,0,0,0,1,
Wandy Peralta,2022-06-05,NYY,DET,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Wandy Peralta,2022-06-02,NYY,LAA,0,0,0,0.00,1,0,0,0,1,0,0,1.1,5,0,0,0,0,1,0,0,0,0,2,
Wandy Peralta,2022-05-26,NYY,@TBR,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,1,1,
Wandy Peralta,2022-05-24,NYY,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Wandy Peralta,2022-05-23,NYY,BAL,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,0,
Wandy Peralta,2022-05-19,NYY,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,2.0,6,0,0,0,0,0,0,0,0,0,2,
Wandy Peralta,2022-05-10,NYY,TOR,0,1,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,1,
Wandy Peralta,2022-05-08,NYY,TEX,0,0,0,0.00,1,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,1,
Wandy Peralta,2022-05-03,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,2,0,0,0,0,0,0,0,0,1,
Wandy Peralta,2022-04-28,NYY,BAL,0,0,0,0.00,1,0,0,0,0,1,0,0.2,4,1,0,0,0,0,0,0,0,0,0,
