Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Zach Eflin,2022-06-25,PHI,@SDP,1,1,0,3.60,1,1,0,0,0,0,0,5.0,22,4,2,2,0,2,0,1,0,0,3,54
Zach Eflin,2022-06-19,PHI,@WSN,1,0,1,18.00,1,1,0,0,0,0,0,2.0,12,5,4,4,1,0,0,1,0,0,2,25
Zach Eflin,2022-06-14,PHI,MIA,1,0,0,6.00,1,1,0,0,0,0,0,6.0,23,5,4,4,2,0,0,0,0,0,4,45
Zach Eflin,2022-06-09,PHI,@MIL,1,0,0,2.25,1,1,0,0,0,0,0,4.0,20,4,1,1,1,3,0,1,0,0,2,42
Zach Eflin,2022-06-03,PHI,LAA,1,1,0,0.00,1,1,0,0,0,0,0,8.0,30,5,0,0,0,1,0,0,0,0,6,81
Zach Eflin,2022-05-28,PHI,@NYM,1,0,1,10.50,1,1,0,0,0,0,0,6.0,26,8,7,7,1,2,0,0,0,0,4,32
Zach Eflin,2022-05-22,PHI,LAD,1,0,0,2.57,1,1,0,0,0,0,0,7.0,27,4,2,2,2,2,0,0,0,0,12,63
Zach Eflin,2022-05-17,PHI,SDP,1,0,1,1.50,1,1,0,0,0,0,0,6.0,23,5,1,1,0,0,0,0,0,0,5,67
Zach Eflin,2022-05-01,PHI,@NYM,1,0,1,10.38,1,1,0,0,0,0,0,4.1,22,8,6,5,0,1,1,0,0,0,3,32
Zach Eflin,2022-04-26,PHI,COL,1,1,0,1.50,1,1,0,0,0,0,0,6.0,21,2,1,1,1,1,0,0,0,0,3,63
Zach Eflin,2022-04-20,PHI,@COL,1,0,0,3.18,1,1,0,0,0,0,0,5.2,26,8,4,2,0,0,0,1,0,0,5,50
Zach Eflin,2022-04-15,PHI,@MIA,1,0,1,9.00,1,1,0,0,0,0,0,4.0,18,6,4,4,0,1,0,0,0,0,4,41
Zach Eflin,2022-04-10,PHI,OAK,1,0,0,0.00,1,1,0,0,0,0,0,4.0,15,2,0,0,0,2,0,0,0,0,3,58
Zach Eflin,2021-07-16,PHI,MIA,1,0,1,12.27,1,1,0,0,0,0,0,3.2,21,6,6,5,1,2,0,1,0,0,5,27
Zach Eflin,2021-07-08,PHI,@CHC,1,1,0,0.00,1,1,0,0,0,0,0,6.0,22,5,0,0,0,1,0,0,0,0,5,69
