Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Zach Jackson,2022-07-09,OAK,HOU,0,0,0,0.00,1,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,1,
Zach Jackson,2022-07-05,OAK,TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Zach Jackson,2022-07-04,OAK,TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Zach Jackson,2022-07-01,OAK,@SEA,0,0,0,0.00,1,0,0,0,0,1,0,1.1,5,0,0,0,0,1,0,0,0,0,1,
Zach Jackson,2022-06-26,OAK,@KCR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Zach Jackson,2022-06-25,OAK,@KCR,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Zach Jackson,2022-06-23,OAK,SEA,0,0,1,27.00,1,0,0,0,0,1,0,0.2,4,0,2,2,0,2,0,0,0,0,1,
Zach Jackson,2022-06-19,OAK,KCR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,0,
Zach Jackson,2022-06-18,OAK,KCR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,4,0,0,0,0,2,0,0,1,0,2,
Zach Jackson,2022-06-16,OAK,@BOS,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,1,0,0,0,0,0,0,0,0,2,
Zach Jackson,2022-06-09,OAK,@CLE,0,0,0,27.00,1,0,0,0,0,1,0,0.1,3,1,1,1,0,1,0,0,0,0,0,
Zach Jackson,2022-06-07,OAK,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,3,
Zach Jackson,2022-06-05,OAK,BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Zach Jackson,2022-05-31,OAK,HOU,0,0,0,9.00,1,0,0,0,0,0,0,0.0,4,0,1,1,0,4,0,0,1,0,0,
Zach Jackson,2022-05-27,OAK,TEX,0,0,0,6.75,1,0,0,0,0,0,1,1.1,5,2,1,1,0,0,0,0,0,0,2,
Zach Jackson,2022-05-25,OAK,@SEA,0,0,0,9.00,1,0,0,0,0,1,0,1.0,4,2,1,1,0,0,0,0,1,0,1,
Zach Jackson,2022-05-24,OAK,@SEA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Zach Jackson,2022-05-20,OAK,@LAA,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,0,0,0,2,
Zach Jackson,2022-05-17,OAK,MIN,0,1,0,0.00,1,0,0,0,0,0,0,1.1,7,1,0,0,0,2,0,0,0,0,2,
Zach Jackson,2022-05-15,OAK,LAA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Zach Jackson,2022-05-14,OAK,LAA,0,0,0,0.00,1,0,0,0,0,0,0,0.2,5,2,1,0,0,1,1,0,0,0,1,
Zach Jackson,2022-05-10,OAK,@DET,0,0,0,0.00,1,0,0,0,0,1,0,1.2,6,0,0,0,0,1,0,0,0,0,1,
Zach Jackson,2022-05-09,OAK,@DET,0,0,0,0.00,1,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,0,0,0,2,
Zach Jackson,2022-05-07,OAK,@MIN,0,0,0,0.00,1,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Zach Jackson,2022-05-04,OAK,TBR,0,0,1,40.50,1,0,0,0,0,0,0,0.2,6,1,3,3,0,2,0,1,1,0,1,
Zach Jackson,2022-05-03,OAK,TBR,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,1,0,0,0,0,0,0,0,0,0,
Zach Jackson,2022-04-30,OAK,CLE,0,0,0,0.00,1,0,0,0,0,0,0,1.2,5,0,0,0,0,1,0,0,0,0,3,
Zach Jackson,2022-04-27,OAK,@SFG,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Zach Jackson,2022-04-24,OAK,TEX,0,0,0,0.00,1,0,0,0,0,1,0,2.0,6,0,0,0,0,0,0,0,0,0,2,
Zach Jackson,2022-04-21,OAK,BAL,0,0,0,9.00,1,0,0,0,0,1,0,1.0,4,1,1,1,0,0,0,0,1,0,2,
Zach Jackson,2022-04-19,OAK,BAL,0,0,0,0.00,1,0,0,0,1,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Zach Jackson,2022-04-17,OAK,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,
Zach Jackson,2022-04-15,OAK,@TOR,0,0,0,27.00,1,0,0,0,0,0,0,0.1,5,2,1,1,0,2,1,0,0,0,0,
Zach Jackson,2022-04-13,OAK,@TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Zach Jackson,2022-04-11,OAK,@TBR,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,0,1,
Zach Jackson,2022-04-09,OAK,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,1,
