Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Zach Thompson,2022-07-09,PIT,@MIL,1,0,0,3.86,1,1,0,0,0,0,0,4.2,22,6,2,2,1,3,0,0,0,0,4,41
Zach Thompson,2022-07-03,PIT,MIL,1,0,1,3.86,1,1,0,0,0,0,0,4.2,18,4,2,2,1,1,0,0,0,0,2,47
Zach Thompson,2022-06-17,PIT,SFG,1,0,1,4.15,1,1,0,0,0,0,0,4.1,18,4,2,2,2,5,0,0,0,0,2,31
Zach Thompson,2022-06-11,PIT,@ATL,1,0,0,3.60,1,1,0,0,0,0,0,5.0,20,3,2,2,2,1,0,0,0,0,4,47
Zach Thompson,2022-06-05,PIT,ARI,1,1,0,0.00,1,1,0,0,0,0,0,5.0,21,4,0,0,0,2,0,0,0,0,4,61
Zach Thompson,2022-05-30,PIT,@LAD,1,0,0,3.18,1,1,0,0,0,0,0,5.2,22,4,2,2,2,1,0,0,0,0,4,49
Zach Thompson,2022-05-25,PIT,COL,1,0,0,12.00,1,1,0,0,0,0,0,3.0,15,7,4,4,1,0,0,0,0,0,3,28
Zach Thompson,2022-05-20,PIT,STL,1,0,1,1.80,1,1,0,0,0,0,0,5.0,20,5,1,1,0,1,0,0,0,0,2,56
Zach Thompson,2022-05-14,PIT,CIN,1,1,0,0.00,1,1,0,0,0,0,0,6.0,21,1,0,0,0,3,0,0,0,0,3,70
Zach Thompson,2022-05-08,PIT,@CIN,1,0,0,0.00,1,1,0,0,0,0,0,5.0,19,2,0,0,0,0,0,1,0,0,6,71
Zach Thompson,2022-05-04,PIT,@DET,0,1,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Zach Thompson,2022-04-29,PIT,SDP,1,0,1,8.31,1,1,0,0,0,0,0,4.1,18,3,4,4,1,2,0,0,0,0,3,40
Zach Thompson,2022-04-23,PIT,@CHC,1,0,1,18.00,1,1,0,0,0,0,0,2.0,19,9,9,4,1,2,0,0,0,0,1,-3
Zach Thompson,2022-04-18,PIT,@MIL,1,0,1,13.50,1,1,0,0,0,0,0,4.0,22,6,6,6,1,4,0,0,1,0,5,24
Zach Thompson,2022-04-13,PIT,CHC,1,0,0,4.50,1,1,0,0,0,0,0,4.0,18,5,2,2,1,1,0,0,0,0,3,42
Zach Thompson,2021-10-03,MIA,PHI,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Zach Thompson,2021-10-01,MIA,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,0,0,0,0,1,0,1,0,0,2,
Zach Thompson,2021-09-29,MIA,@NYM,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Zach Thompson,2021-09-28,MIA,@NYM,1,0,1,9.00,1,1,0,0,0,0,0,1.0,6,3,1,1,0,0,0,0,1,0,3,40
Zach Thompson,2021-09-24,MIA,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,0,0,0,0,1,0,0,0,0,2,
Zach Thompson,2021-09-22,MIA,WSN,0,0,0,81.00,1,0,0,0,0,0,0,0.1,6,4,3,3,0,1,0,0,0,0,0,
Zach Thompson,2021-09-20,MIA,WSN,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,1,1,1,0,1,0,0,1,0,1,
Zach Thompson,2021-09-17,MIA,PIT,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,1,
Zach Thompson,2021-09-14,MIA,@WSN,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,
Zach Thompson,2021-09-10,MIA,@ATL,0,0,0,0.00,1,0,0,0,0,0,0,1.2,9,3,1,0,0,1,0,0,0,0,2,
Zach Thompson,2021-09-07,MIA,NYM,0,0,0,0.00,1,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,
Zach Thompson,2021-09-05,MIA,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Zach Thompson,2021-09-03,MIA,PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,5,1,0,0,0,1,0,0,0,0,1,
Zach Thompson,2021-08-27,MIA,CIN,1,0,1,5.40,1,1,0,0,0,0,0,5.0,23,6,5,3,1,1,1,0,0,0,1,36
Zach Thompson,2021-08-21,MIA,@CIN,1,0,0,3.60,1,1,0,0,0,0,0,5.0,18,3,2,2,1,1,0,0,0,0,3,53
Zach Thompson,2021-08-14,MIA,CHC,1,0,0,1.50,1,1,0,0,0,0,0,6.0,20,4,1,1,0,0,0,0,0,0,3,68
Zach Thompson,2021-08-09,MIA,@SDP,1,0,1,9.00,1,1,0,0,0,0,0,4.0,19,4,4,4,1,4,0,0,0,0,2,32
Zach Thompson,2021-08-04,MIA,NYM,1,0,0,4.50,1,1,0,0,0,0,0,4.0,19,3,3,2,0,2,0,0,0,0,2,47
Zach Thompson,2021-07-30,MIA,NYY,1,0,1,1.59,1,1,0,0,0,0,0,5.2,23,3,1,1,1,4,0,0,0,0,5,56
Zach Thompson,2021-07-23,MIA,SDP,1,0,1,5.40,1,1,0,0,0,0,0,5.0,22,6,3,3,1,1,0,0,0,0,3,44
Zach Thompson,2021-07-17,MIA,@PHI,1,0,0,0.00,1,1,0,0,0,0,0,4.0,16,2,2,0,0,2,0,0,1,0,2,52
Zach Thompson,2021-07-04,MIA,@ATL,1,0,0,4.50,1,1,0,0,0,0,0,6.0,24,5,3,3,1,1,0,0,0,0,6,55
Zach Thompson,2021-06-26,MIA,WSN,1,1,0,1.50,1,1,0,0,0,0,0,6.0,25,4,2,1,0,2,0,1,0,0,11,69
Zach Thompson,2021-06-20,MIA,@CHC,1,0,1,0.00,1,1,0,0,0,0,0,4.0,15,0,1,0,0,3,0,1,0,0,7,62
Zach Thompson,2021-06-12,MIA,ATL,1,1,0,0.00,1,1,0,0,0,0,0,5.0,19,4,0,0,0,0,0,0,1,0,6,68
Zach Thompson,2021-06-07,MIA,@BOS,1,0,1,6.00,1,1,0,0,0,0,0,3.0,14,4,2,2,0,1,0,0,1,0,1,43
