Player,Date,Team,Opp,GS,W,L,ERA,G,GS2,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Zack Britton,2021-08-19,NYY,MIN,0,0,0,9.00,1,0,0,0,0,1,0,1.0,5,2,1,1,0,0,0,0,1,0,2,
Zack Britton,2021-08-18,NYY,BOS,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Zack Britton,2021-08-16,NYY,LAA,0,0,0,0.00,1,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,
Zack Britton,2021-08-14,NYY,@CHW,0,0,0,0.00,1,0,0,0,0,1,0,0.1,4,1,1,0,0,2,0,0,0,0,0,
Zack Britton,2021-08-12,NYY,@CHW,0,0,1,54.00,1,0,0,0,0,0,1,0.1,3,1,2,2,1,1,0,0,0,0,0,
Zack Britton,2021-08-11,NYY,@KCR,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,0,0,0,0,0,0,1,0,0,0,
Zack Britton,2021-08-09,NYY,@KCR,0,0,0,9.00,1,0,0,0,0,0,1,1.0,5,1,1,1,0,1,0,0,0,0,2,
Zack Britton,2021-08-06,NYY,SEA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Zack Britton,2021-08-05,NYY,SEA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,4,2,0,0,0,0,0,0,0,0,1,
Zack Britton,2021-08-01,NYY,@MIA,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Zack Britton,2021-07-30,NYY,@MIA,0,0,0,9.00,1,0,0,0,0,1,0,1.0,4,2,1,1,0,0,0,0,0,0,1,
Zack Britton,2021-07-28,NYY,@TBR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,1,0,0,0,0,0,
Zack Britton,2021-07-27,NYY,@TBR,0,0,0,9.00,1,0,0,0,0,1,0,1.0,5,2,1,1,0,1,0,0,1,0,1,
Zack Britton,2021-07-25,NYY,@BOS,0,0,0,0.00,1,0,0,0,0,0,1,1.0,3,0,0,0,0,0,0,0,0,0,0,
Zack Britton,2021-07-21,NYY,PHI,0,0,0,54.00,1,0,0,0,0,1,0,0.1,4,0,3,2,0,2,0,0,0,0,0,
Zack Britton,2021-07-20,NYY,PHI,0,0,0,9.00,1,0,0,0,0,1,0,1.0,5,3,1,1,0,0,0,0,0,0,1,
Zack Britton,2021-07-18,NYY,BOS,0,0,0,13.50,1,0,0,0,0,0,0,0.2,4,0,1,1,0,2,0,0,0,0,2,
Zack Britton,2021-06-25,NYY,@BOS,0,0,0,27.00,1,0,0,0,0,0,0,0.1,2,0,1,1,0,1,0,0,0,0,0,
Zack Britton,2021-06-23,NYY,KCR,0,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,1,0,0,0,0,0,2,
Zack Britton,2021-06-17,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,1,0,0,0,
Zack Britton,2021-06-15,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,6,1,0,0,0,2,0,0,0,0,0,
Zack Britton,2021-06-12,NYY,@PHI,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Zack Britton,2020-09-25,NYY,MIA,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Zack Britton,2020-09-22,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Zack Britton,2020-09-18,NYY,@BOS,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Zack Britton,2020-09-13,NYY,BAL,0,1,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Zack Britton,2020-09-12,NYY,BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,0,
Zack Britton,2020-09-09,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,1,0,0,0,0,0,0,0,0,0,
Zack Britton,2020-09-08,NYY,@TOR,0,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Zack Britton,2020-09-04,NYY,@BAL,0,0,0,0.00,1,0,0,0,0,0,0,1.0,6,1,0,0,0,2,0,0,0,0,0,
Zack Britton,2020-09-03,NYY,@NYM,0,0,0,18.00,1,0,0,0,0,1,0,1.0,7,3,2,2,0,1,0,0,0,0,0,
Zack Britton,2020-09-01,NYY,TBR,0,0,0,0.00,1,0,0,0,0,1,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Zack Britton,2020-08-19,NYY,TBR,0,0,1,13.50,1,0,0,0,0,0,0,0.2,6,2,2,1,0,1,0,0,1,0,1,
Zack Britton,2020-08-16,NYY,BOS,0,0,0,0.00,1,0,0,0,1,0,0,1.0,5,1,1,0,0,0,0,0,2,0,3,
Zack Britton,2020-08-12,NYY,ATL,0,0,0,0.00,1,0,0,0,1,0,0,0.2,3,0,0,0,0,1,0,0,0,0,0,
Zack Britton,2020-08-11,NYY,ATL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Zack Britton,2020-08-09,NYY,@TBR,0,0,1,13.50,1,0,0,0,0,0,0,0.2,5,2,1,1,0,1,0,0,1,0,0,
Zack Britton,2020-08-05,NYY,@PHI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,
Zack Britton,2020-08-03,NYY,PHI,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Zack Britton,2020-08-02,NYY,BOS,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,1,
Zack Britton,2020-07-30,NYY,@BAL,0,0,0,0.00,1,0,0,0,1,0,0,1.0,3,0,0,0,0,0,0,0,0,0,2,
Zack Britton,2020-07-26,NYY,@WSN,0,0,0,0.00,1,0,0,0,1,0,0,1.0,4,1,0,0,0,1,0,0,0,0,0,
