Player,Player_url,Team,Team_abbr,Player_pos,Player_hand
Cedric Mullins,https://www.fangraphs.com/players/cedric-mullins-ii/17929/,orioles,BAL,CF,L
Trey Mancini,https://www.fangraphs.com/players/trey-mancini/15149/,orioles,BAL,DH,R
Anthony Santander,https://www.fangraphs.com/players/anthony-santander/14551/,orioles,BAL,RF,S
Ryan Mountcastle,https://www.fangraphs.com/players/ryan-mountcastle/18373/,orioles,BAL,1B,R
Austin Hays,https://www.fangraphs.com/players/austin-hays/19363/,orioles,BAL,LF,R
Adley Rutschman,https://www.fangraphs.com/players/adley-rutschman/26288/,orioles,BAL,C,S
Ramón Urías,https://www.fangraphs.com/players/ramon-urias/18795/,orioles,BAL,3B,R
Rougned Odor,https://www.fangraphs.com/players/rougned-odor/12282/,orioles,BAL,2B,L
Jorge Mateo,https://www.fangraphs.com/players/jorge-mateo/17273/,orioles,BAL,SS,R
Robinson Chirinos,https://www.fangraphs.com/players/robinson-chirinos/3142/,orioles,BAL,C,R
Jonathan Araúz,https://www.fangraphs.com/players/jonathan-arauz/20275/,orioles,BAL,INF,S
Tyler Nevin,https://www.fangraphs.com/players/tyler-nevin/17893/,orioles,BAL,INF/OF,R
Ryan McKenna,https://www.fangraphs.com/players/ryan-mckenna/19928/,orioles,BAL,OF,R
Jordan Lyles,https://www.fangraphs.com/players/jordan-lyles/7593/,orioles,BAL,SP,R
Spenser Watkins,https://www.fangraphs.com/players/spenser-watkins/17489/,orioles,BAL,SP,R
Tyler Wells,https://www.fangraphs.com/players/tyler-wells/20000/,orioles,BAL,SP,R
Dean Kremer,https://www.fangraphs.com/players/dean-kremer/19350/,orioles,BAL,SP,R
Austin Voth,https://www.fangraphs.com/players/austin-voth/15047/,orioles,BAL,SP,R
Jorge López,https://www.fangraphs.com/players/jorge-lopez/14527/,orioles,BAL,RP,R
Félix Bautista,https://www.fangraphs.com/players/felix-bautista/20666/,orioles,BAL,RP,R
Dillon Tate,https://www.fangraphs.com/players/dillon-tate/17796/,orioles,BAL,RP,R
Cionel Pérez,https://www.fangraphs.com/players/cionel-perez/19614/,orioles,BAL,RP,L
Joey Krehbiel,https://www.fangraphs.com/players/joey-krehbiel/13707/,orioles,BAL,RP,R
Keegan Akin,https://www.fangraphs.com/players/keegan-akin/19362/,orioles,BAL,RP,L
Bryan Baker,https://www.fangraphs.com/players/bryan-baker/19804/,orioles,BAL,RP,R
Rico Garcia,https://www.fangraphs.com/players/rico-garcia/20023/,orioles,BAL,RP,R
Kyle Bradish,https://www.fangraphs.com/players/kyle-bradish/24586/,orioles,BAL,SP,R
Chris Ellis,https://www.fangraphs.com/players/chris-ellis/16125/,orioles,BAL,SP,R
John Means,https://www.fangraphs.com/players/john-means/16269/,orioles,BAL,SP,L
Louis Head,https://www.fangraphs.com/players/louis-head/13259/,orioles,BAL,RP,R
Travis Lakins Sr.,https://www.fangraphs.com/players/travis-lakins-sr/18600/,orioles,BAL,RP,R
Alexander Wells,https://www.fangraphs.com/players/alexander-wells/19845/,orioles,BAL,RP,L
Jarren Duran,https://www.fangraphs.com/players/jarren-duran/24617/,red sox,BOS,CF,L
Rafael Devers,https://www.fangraphs.com/players/rafael-devers/17350/,red sox,BOS,3B,L
J.D. Martinez,https://www.fangraphs.com/players/jd-martinez/6184/,red sox,BOS,DH,R
Xander Bogaerts,https://www.fangraphs.com/players/xander-bogaerts/12161/,red sox,BOS,SS,R
Alex Verdugo,https://www.fangraphs.com/players/alex-verdugo/17027/,red sox,BOS,LF,L
Trevor Story,https://www.fangraphs.com/players/trevor-story/12564/,red sox,BOS,2B,R
Franchy Cordero,https://www.fangraphs.com/players/franchy-cordero/14567/,red sox,BOS,1B,L
Christian Vázquez,https://www.fangraphs.com/players/christian-vazquez/9774/,red sox,BOS,C,R
Jackie Bradley Jr.,https://www.fangraphs.com/players/jackie-bradley-jr/12984/,red sox,BOS,RF,L
Kevin Plawecki,https://www.fangraphs.com/players/kevin-plawecki/13807/,red sox,BOS,C,R
Bobby Dalbec,https://www.fangraphs.com/players/bobby-dalbec/19966/,red sox,BOS,1B/3B,R
Jeter Downs,https://www.fangraphs.com/players/jeter-downs/22202/,red sox,BOS,INF,R
Rob Refsnyder,https://www.fangraphs.com/players/rob-refsnyder/13770/,red sox,BOS,OF,R
Nick Pivetta,https://www.fangraphs.com/players/nick-pivetta/15454/,red sox,BOS,SP,R
Chris Sale,https://www.fangraphs.com/players/chris-sale/10603/,red sox,BOS,SP,L
Kutter Crawford,https://www.fangraphs.com/players/kutter-crawford/20531/,red sox,BOS,SP,R
Tanner Houck,https://www.fangraphs.com/players/tanner-houck/19879/,red sox,BOS,RP,R
John Schreiber,https://www.fangraphs.com/players/john-schreiber/20020/,red sox,BOS,RP,R
Matt Strahm,https://www.fangraphs.com/players/matt-strahm/13799/,red sox,BOS,RP,L
Jake Diekman,https://www.fangraphs.com/players/jake-diekman/5003/,red sox,BOS,RP,L
Austin Davis,https://www.fangraphs.com/players/austin-davis/17117/,red sox,BOS,RP,L
Hirokazu Sawamura,https://www.fangraphs.com/players/hirokazu-sawamura/27515/,red sox,BOS,RP,R
Ryan Brasier,https://www.fangraphs.com/players/ryan-brasier/5615/,red sox,BOS,RP,R
Kaleb Ort,https://www.fangraphs.com/players/kaleb-ort/20061/,red sox,BOS,RP,R
Darwinzon Hernandez,https://www.fangraphs.com/players/darwinzon-hernandez/19848/,red sox,BOS,RP,L
Phillips Valdez,https://www.fangraphs.com/players/phillips-valdez/15605/,red sox,BOS,RP,R
Christian Arroyo,https://www.fangraphs.com/players/christian-arroyo/16434/,red sox,BOS,INF/OF,R
Enrique Hernández,https://www.fangraphs.com/players/enrique-hernandez/10472/,red sox,BOS,OF/INF,R
Nathan Eovaldi,https://www.fangraphs.com/players/nathan-eovaldi/9132/,red sox,BOS,SP,R
Rich Hill,https://www.fangraphs.com/players/rich-hill/4806/,red sox,BOS,SP,L
James Paxton,https://www.fangraphs.com/players/james-paxton/11828/,red sox,BOS,SP,L
Connor Seabold,https://www.fangraphs.com/players/connor-seabold/19695/,red sox,BOS,SP,R
Michael Wacha,https://www.fangraphs.com/players/michael-wacha/14078/,red sox,BOS,SP,R
Josh Winckowski,https://www.fangraphs.com/players/josh-winckowski/22387/,red sox,BOS,SP,R
Matt Barnes,https://www.fangraphs.com/players/matt-barnes/12863/,red sox,BOS,RP,R
Tyler Danish,https://www.fangraphs.com/players/tyler-danish/15126/,red sox,BOS,RP,R
Josh Taylor,https://www.fangraphs.com/players/josh-taylor/17359/,red sox,BOS,RP,L
Garrett Whitlock,https://www.fangraphs.com/players/garrett-whitlock/20191/,red sox,BOS,RP,R
Tim Anderson,https://www.fangraphs.com/players/tim-anderson/15172/,white sox,CHW,SS,R
Yoán Moncada,https://www.fangraphs.com/players/yoan-moncada/17232/,white sox,CHW,3B,S
Luis Robert,https://www.fangraphs.com/players/luis-robert/20043/,white sox,CHW,CF,R
José Abreu,https://www.fangraphs.com/players/jose-abreu/15676/,white sox,CHW,1B,R
Gavin Sheets,https://www.fangraphs.com/players/gavin-sheets/19901/,white sox,CHW,RF,L
Eloy Jiménez,https://www.fangraphs.com/players/eloy-jimenez/17484/,white sox,CHW,LF,R
Andrew Vaughn,https://www.fangraphs.com/players/andrew-vaughn/26197/,white sox,CHW,DH,R
Josh Harrison,https://www.fangraphs.com/players/josh-harrison/8202/,white sox,CHW,2B,R
Seby Zavala,https://www.fangraphs.com/players/seby-zavala/18887/,white sox,CHW,C,R
Reese McGuire,https://www.fangraphs.com/players/reese-mcguire/15674/,white sox,CHW,C,L
Leury García,https://www.fangraphs.com/players/leury-garcia/5913/,white sox,CHW,INF/OF,S
Adam Engel,https://www.fangraphs.com/players/adam-engel/15082/,white sox,CHW,OF,R
AJ Pollock,https://www.fangraphs.com/players/aj-pollock/9256/,white sox,CHW,OF,R
Dylan Cease,https://www.fangraphs.com/players/dylan-cease/18525/,white sox,CHW,SP,R
Lucas Giolito,https://www.fangraphs.com/players/lucas-giolito/15474/,white sox,CHW,SP,R
Johnny Cueto,https://www.fangraphs.com/players/johnny-cueto/6893/,white sox,CHW,SP,R
Michael Kopech,https://www.fangraphs.com/players/michael-kopech/17282/,white sox,CHW,SP,R
Lance Lynn,https://www.fangraphs.com/players/lance-lynn/2520/,white sox,CHW,SP,R
Liam Hendriks,https://www.fangraphs.com/players/liam-hendriks/3548/,white sox,CHW,RP,R
Kendall Graveman,https://www.fangraphs.com/players/kendall-graveman/15514/,white sox,CHW,RP,R
Joe Kelly,https://www.fangraphs.com/players/joe-kelly/9761/,white sox,CHW,RP,R
Reynaldo López,https://www.fangraphs.com/players/reynaldo-lopez/16400/,white sox,CHW,RP,R
José Ruiz,https://www.fangraphs.com/players/jose-ruiz/14552/,white sox,CHW,RP,R
Matt Foster,https://www.fangraphs.com/players/matt-foster/19647/,white sox,CHW,RP,R
Tanner Banks,https://www.fangraphs.com/players/tanner-banks/16990/,white sox,CHW,RP,L
