Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
SAN FRANCISCO GIANTS,LaMonte Wade Jr.,advanced,Batter,Handedness,2022,vs L as L,0.0%,8.3%,0.0,0.091,0.083,0.091,0.174,0.0,0.091,-1,-2.3,0.074,-58
SAN FRANCISCO GIANTS,LaMonte Wade Jr.,advanced,Batter,Handedness,2022,vs R as L,14.0%,15.8%,0.89,0.213,0.351,0.362,0.713,0.149,0.222,7,0.7,0.325,112
SAN FRANCISCO GIANTS,LaMonte Wade Jr.,advanced,Batter,Handedness,2022,vs L,0.0%,8.3%,0.0,0.091,0.083,0.091,0.174,0.0,0.091,-1,-2.3,0.074,-58
SAN FRANCISCO GIANTS,LaMonte Wade Jr.,advanced,Batter,Handedness,2022,vs R,14.0%,15.8%,0.89,0.213,0.351,0.362,0.713,0.149,0.222,7,0.7,0.325,112
SAN FRANCISCO GIANTS,Joc Pederson,advanced,Batter,Handedness,2022,vs L as L,2.9%,29.4%,0.1,0.219,0.235,0.438,0.673,0.219,0.238,3,-0.7,0.283,84
SAN FRANCISCO GIANTS,Joc Pederson,advanced,Batter,Handedness,2022,vs R as L,10.0%,20.5%,0.49,0.262,0.347,0.545,0.892,0.283,0.263,37,11.6,0.377,147
SAN FRANCISCO GIANTS,Joc Pederson,advanced,Batter,Handedness,2022,vs L,2.9%,29.4%,0.1,0.219,0.235,0.438,0.673,0.219,0.238,3,-0.7,0.283,84
SAN FRANCISCO GIANTS,Joc Pederson,advanced,Batter,Handedness,2022,vs R,10.0%,20.5%,0.49,0.262,0.347,0.545,0.892,0.283,0.263,37,11.6,0.377,147
SAN FRANCISCO GIANTS,Wilmer Flores,advanced,Batter,Handedness,2022,vs L as R,10.4%,18.8%,0.56,0.225,0.333,0.4,0.733,0.175,0.246,12,0.8,0.321,109
SAN FRANCISCO GIANTS,Wilmer Flores,advanced,Batter,Handedness,2022,vs R as R,9.7%,14.5%,0.67,0.262,0.339,0.455,0.795,0.193,0.273,33,6.6,0.347,127
SAN FRANCISCO GIANTS,Wilmer Flores,advanced,Batter,Handedness,2022,vs L,10.4%,18.8%,0.56,0.225,0.333,0.4,0.733,0.175,0.246,12,0.8,0.321,109
SAN FRANCISCO GIANTS,Wilmer Flores,advanced,Batter,Handedness,2022,vs R,9.7%,14.5%,0.67,0.262,0.339,0.455,0.795,0.193,0.273,33,6.6,0.347,127
SAN FRANCISCO GIANTS,Brandon Belt,advanced,Batter,Handedness,2022,vs L as L,20.0%,25.0%,0.8,0.161,0.35,0.258,0.608,0.097,0.2,4,-0.4,0.296,92
SAN FRANCISCO GIANTS,Brandon Belt,advanced,Batter,Handedness,2022,vs R as L,11.7%,27.6%,0.43,0.25,0.352,0.427,0.779,0.177,0.325,20,3.6,0.341,123
SAN FRANCISCO GIANTS,Brandon Belt,advanced,Batter,Handedness,2022,vs L,20.0%,25.0%,0.8,0.161,0.35,0.258,0.608,0.097,0.2,4,-0.4,0.296,92
SAN FRANCISCO GIANTS,Brandon Belt,advanced,Batter,Handedness,2022,vs R,11.7%,27.6%,0.43,0.25,0.352,0.427,0.779,0.177,0.325,20,3.6,0.341,123
SAN FRANCISCO GIANTS,Luis González,advanced,Batter,Handedness,2022,vs L as L,8.5%,25.5%,0.33,0.195,0.277,0.244,0.52,0.049,0.267,3,-2.6,0.241,55
SAN FRANCISCO GIANTS,Luis González,advanced,Batter,Handedness,2022,vs R as L,8.7%,18.8%,0.46,0.326,0.383,0.492,0.875,0.167,0.385,25,7.9,0.377,147
SAN FRANCISCO GIANTS,Luis González,advanced,Batter,Handedness,2022,vs L,8.5%,25.5%,0.33,0.195,0.277,0.244,0.52,0.049,0.267,3,-2.6,0.241,55
SAN FRANCISCO GIANTS,Luis González,advanced,Batter,Handedness,2022,vs R,8.7%,18.8%,0.46,0.326,0.383,0.492,0.875,0.167,0.385,25,7.9,0.377,147
SAN FRANCISCO GIANTS,David Villar,advanced,Batter,Handedness,2022,vs L as R,8.3%,33.3%,0.25,0.545,0.583,1.091,1.674,0.545,0.833,5,3.6,0.689,359
SAN FRANCISCO GIANTS,David Villar,advanced,Batter,Handedness,2022,vs R as R,17.4%,39.1%,0.44,0.105,0.261,0.105,0.366,0.0,0.2,1,-2.1,0.197,25
SAN FRANCISCO GIANTS,David Villar,advanced,Batter,Handedness,2022,vs L,8.3%,33.3%,0.25,0.545,0.583,1.091,1.674,0.545,0.833,5,3.6,0.689,359
SAN FRANCISCO GIANTS,David Villar,advanced,Batter,Handedness,2022,vs R,17.4%,39.1%,0.44,0.105,0.261,0.105,0.366,0.0,0.2,1,-2.1,0.197,25
SAN FRANCISCO GIANTS,Brandon Crawford,advanced,Batter,Handedness,2022,vs L as L,7.4%,14.7%,0.5,0.22,0.324,0.322,0.646,0.102,0.25,7,-0.7,0.296,93
SAN FRANCISCO GIANTS,Brandon Crawford,advanced,Batter,Handedness,2022,vs R as L,8.5%,22.1%,0.39,0.216,0.296,0.347,0.643,0.131,0.262,19,-4.4,0.282,83
SAN FRANCISCO GIANTS,Brandon Crawford,advanced,Batter,Handedness,2022,vs L,7.4%,14.7%,0.5,0.22,0.324,0.322,0.646,0.102,0.25,7,-0.7,0.296,93
SAN FRANCISCO GIANTS,Brandon Crawford,advanced,Batter,Handedness,2022,vs R,8.5%,22.1%,0.39,0.216,0.296,0.347,0.643,0.131,0.262,19,-4.4,0.282,83
SAN FRANCISCO GIANTS,Mike Yastrzemski,advanced,Batter,Handedness,2022,vs L as L,4.2%,28.2%,0.15,0.185,0.239,0.385,0.624,0.2,0.209,6,-2.3,0.27,74
SAN FRANCISCO GIANTS,Mike Yastrzemski,advanced,Batter,Handedness,2022,vs R as L,14.0%,21.0%,0.67,0.245,0.354,0.401,0.755,0.156,0.296,31,4.5,0.335,119
SAN FRANCISCO GIANTS,Mike Yastrzemski,advanced,Batter,Handedness,2022,vs L,4.2%,28.2%,0.15,0.185,0.239,0.385,0.624,0.2,0.209,6,-2.3,0.27,74
SAN FRANCISCO GIANTS,Mike Yastrzemski,advanced,Batter,Handedness,2022,vs R,14.0%,21.0%,0.67,0.245,0.354,0.401,0.755,0.156,0.296,31,4.5,0.335,119
SAN FRANCISCO GIANTS,Joey Bart,advanced,Batter,Handedness,2022,vs L as R,13.8%,48.3%,0.29,0.12,0.241,0.36,0.601,0.24,0.111,2,-1.0,0.268,73
SAN FRANCISCO GIANTS,Joey Bart,advanced,Batter,Handedness,2022,vs R as R,13.3%,42.9%,0.31,0.183,0.316,0.317,0.633,0.134,0.324,10,-1.3,0.293,90
SAN FRANCISCO GIANTS,Joey Bart,advanced,Batter,Handedness,2022,vs L,13.8%,48.3%,0.29,0.12,0.241,0.36,0.601,0.24,0.111,2,-1.0,0.268,73
SAN FRANCISCO GIANTS,Joey Bart,advanced,Batter,Handedness,2022,vs R,13.3%,42.9%,0.31,0.183,0.316,0.317,0.633,0.134,0.324,10,-1.3,0.293,90
