Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
BOSTON RED SOX,Jarren Duran,advanced,Batter,Handedness,2022,vs L as L,3.8%,34.6%,0.11,0.16,0.192,0.2,0.392,0.04,0.25,0,-2.8,0.177,4
BOSTON RED SOX,Jarren Duran,advanced,Batter,Handedness,2022,vs R as L,7.7%,21.8%,0.35,0.31,0.372,0.507,0.879,0.197,0.396,13,4.3,0.379,145
BOSTON RED SOX,Jarren Duran,advanced,Batter,Handedness,2022,vs L,3.8%,34.6%,0.11,0.16,0.192,0.2,0.392,0.04,0.25,0,-2.8,0.177,4
BOSTON RED SOX,Jarren Duran,advanced,Batter,Handedness,2022,vs R,7.7%,21.8%,0.35,0.31,0.372,0.507,0.879,0.197,0.396,13,4.3,0.379,145
BOSTON RED SOX,Rafael Devers,advanced,Batter,Handedness,2022,vs L as L,3.2%,25.5%,0.13,0.315,0.351,0.494,0.845,0.18,0.403,15,4.2,0.367,137
BOSTON RED SOX,Rafael Devers,advanced,Batter,Handedness,2022,vs R as L,8.0%,15.2%,0.53,0.331,0.394,0.623,1.017,0.293,0.344,55,24.9,0.428,180
BOSTON RED SOX,Rafael Devers,advanced,Batter,Handedness,2022,vs L,3.2%,25.5%,0.13,0.315,0.351,0.494,0.845,0.18,0.403,15,4.2,0.367,137
BOSTON RED SOX,Rafael Devers,advanced,Batter,Handedness,2022,vs R,8.0%,15.2%,0.53,0.331,0.394,0.623,1.017,0.293,0.344,55,24.9,0.428,180
BOSTON RED SOX,J.D. Martinez,advanced,Batter,Handedness,2022,vs L as R,16.4%,16.4%,1.0,0.393,0.493,0.639,1.132,0.246,0.468,18,9.9,0.48,216
BOSTON RED SOX,J.D. Martinez,advanced,Batter,Handedness,2022,vs R as R,6.8%,25.0%,0.27,0.293,0.348,0.464,0.813,0.172,0.373,39,8.9,0.352,127
BOSTON RED SOX,J.D. Martinez,advanced,Batter,Handedness,2022,vs L,16.4%,16.4%,1.0,0.393,0.493,0.639,1.132,0.246,0.468,18,9.9,0.48,216
