Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
LOS ANGELES ANGELS,Michael Stefanic,batted-ball,Batter,Handedness,2022,vs L as R,3.0,0.0%,100.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,33.3%,33.3%,33.3%,66.7%,0.0%,23,6,17
LOS ANGELES ANGELS,Michael Stefanic,batted-ball,Batter,Handedness,2022,vs R as R,0.8,35.7%,28.6%,35.7%,0.0%,0.0%,0.0%,0.0%,21.4%,42.9%,35.7%,21.4%,71.4%,7.1%,78,37,41
LOS ANGELES ANGELS,Michael Stefanic,batted-ball,Batter,Handedness,2022,vs L,3.0,0.0%,100.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,33.3%,33.3%,33.3%,66.7%,0.0%,23,6,17
LOS ANGELES ANGELS,Michael Stefanic,batted-ball,Batter,Handedness,2022,vs R,0.8,35.7%,28.6%,35.7%,0.0%,0.0%,0.0%,0.0%,21.4%,42.9%,35.7%,21.4%,71.4%,7.1%,78,37,41
LOS ANGELES ANGELS,Mike Trout,batted-ball,Batter,Handedness,2022,vs L as R,0.85,19.6%,37.0%,43.5%,5.0%,20.0%,11.8%,0.0%,47.8%,21.7%,30.4%,13.0%,45.7%,41.3%,352,151,201
LOS ANGELES ANGELS,Mike Trout,batted-ball,Batter,Handedness,2022,vs R as R,0.3,18.7%,18.7%,62.6%,5.7%,23.0%,7.7%,0.0%,42.4%,32.4%,25.2%,12.9%,48.9%,38.1%,1030,409,621
LOS ANGELES ANGELS,Mike Trout,batted-ball,Batter,Handedness,2022,vs L,0.85,19.6%,37.0%,43.5%,5.0%,20.0%,11.8%,0.0%,47.8%,21.7%,30.4%,13.0%,45.7%,41.3%,352,151,201
LOS ANGELES ANGELS,Mike Trout,batted-ball,Batter,Handedness,2022,vs R,0.3,18.7%,18.7%,62.6%,5.7%,23.0%,7.7%,0.0%,42.4%,32.4%,25.2%,12.9%,48.9%,38.1%,1030,409,621
LOS ANGELES ANGELS,Shohei Ohtani,batted-ball,Batter,Handedness,2022,vs L as L,1.57,24.4%,46.2%,29.5%,13.0%,13.0%,8.3%,0.0%,42.3%,32.1%,25.6%,14.1%,52.6%,33.3%,467,167,300
LOS ANGELES ANGELS,Shohei Ohtani,batted-ball,Batter,Handedness,2022,vs R as L,0.95,18.8%,39.6%,41.6%,1.6%,25.0%,3.3%,100.0%,37.4%,39.4%,23.2%,7.1%,54.2%,38.7%,984,403,581
LOS ANGELES ANGELS,Shohei Ohtani,batted-ball,Batter,Handedness,2022,vs L,1.57,24.4%,46.2%,29.5%,13.0%,13.0%,8.3%,0.0%,42.3%,32.1%,25.6%,14.1%,52.6%,33.3%,467,167,300
LOS ANGELES ANGELS,Shohei Ohtani,batted-ball,Batter,Handedness,2022,vs R,0.95,18.8%,39.6%,41.6%,1.6%,25.0%,3.3%,100.0%,37.4%,39.4%,23.2%,7.1%,54.2%,38.7%,984,403,581
LOS ANGELES ANGELS,Taylor Ward,batted-ball,Batter,Handedness,2022,vs L as R,0.83,25.0%,34.1%,40.9%,0.0%,16.7%,6.7%,0.0%,31.8%,34.1%,34.1%,15.9%,50.0%,34.1%,261,110,151
LOS ANGELES ANGELS,Taylor Ward,batted-ball,Batter,Handedness,2022,vs R as R,0.91,19.8%,38.1%,42.1%,7.5%,17.0%,8.3%,0.0%,45.2%,33.3%,21.4%,8.7%,50.8%,40.5%,869,354,515
LOS ANGELES ANGELS,Taylor Ward,batted-ball,Batter,Handedness,2022,vs L,0.83,25.0%,34.1%,40.9%,0.0%,16.7%,6.7%,0.0%,31.8%,34.1%,34.1%,15.9%,50.0%,34.1%,261,110,151
LOS ANGELES ANGELS,Taylor Ward,batted-ball,Batter,Handedness,2022,vs R,0.91,19.8%,38.1%,42.1%,7.5%,17.0%,8.3%,0.0%,45.2%,33.3%,21.4%,8.7%,50.8%,40.5%,869,354,515
LOS ANGELES ANGELS,Jared Walsh,batted-ball,Batter,Handedness,2022,vs L as L,1.69,23.2%,48.2%,28.6%,12.5%,12.5%,7.4%,0.0%,44.6%,46.4%,8.9%,16.1%,41.1%,42.9%,292,88,204
LOS ANGELES ANGELS,Jared Walsh,batted-ball,Batter,Handedness,2022,vs R as L,1.27,17.8%,46.1%,36.2%,12.7%,20.0%,2.9%,0.0%,39.5%,34.9%,25.7%,17.8%,47.4%,34.9%,937,323,614
LOS ANGELES ANGELS,Jared Walsh,batted-ball,Batter,Handedness,2022,vs L,1.69,23.2%,48.2%,28.6%,12.5%,12.5%,7.4%,0.0%,44.6%,46.4%,8.9%,16.1%,41.1%,42.9%,292,88,204
LOS ANGELES ANGELS,Jared Walsh,batted-ball,Batter,Handedness,2022,vs R,1.27,17.8%,46.1%,36.2%,12.7%,20.0%,2.9%,0.0%,39.5%,34.9%,25.7%,17.8%,47.4%,34.9%,937,323,614
LOS ANGELES ANGELS,Luis Rengifo,batted-ball,Batter,Handedness,2022,vs R as L,1.08,22.9%,40.0%,37.1%,12.8%,2.6%,7.1%,0.0%,41.0%,39.0%,20.0%,22.9%,58.1%,19.0%,515,169,346
LOS ANGELES ANGELS,Luis Rengifo,batted-ball,Batter,Handedness,2022,vs L as R,1.27,22.7%,43.2%,34.1%,13.3%,26.7%,5.3%,0.0%,55.6%,31.1%,13.3%,11.1%,55.6%,33.3%,216,63,153
LOS ANGELES ANGELS,Luis Rengifo,batted-ball,Batter,Handedness,2022,vs L,1.27,22.7%,43.2%,34.1%,13.3%,26.7%,5.3%,0.0%,55.6%,31.1%,13.3%,11.1%,55.6%,33.3%,216,63,153
LOS ANGELES ANGELS,Luis Rengifo,batted-ball,Batter,Handedness,2022,vs R,1.08,22.9%,40.0%,37.1%,12.8%,2.6%,7.1%,0.0%,41.0%,39.0%,20.0%,22.9%,58.1%,19.0%,516,169,347
LOS ANGELES ANGELS,Max Stassi,batted-ball,Batter,Handedness,2022,vs L as R,2.0,17.5%,55.0%,27.5%,18.2%,0.0%,4.5%,0.0%,40.0%,37.5%,22.5%,15.0%,55.0%,30.0%,245,107,138
LOS ANGELES ANGELS,Max Stassi,batted-ball,Batter,Handedness,2022,vs R as R,1.76,8.0%,58.7%,33.3%,4.0%,20.0%,6.8%,0.0%,40.0%,38.7%,21.3%,21.3%,48.0%,30.7%,537,214,323
LOS ANGELES ANGELS,Max Stassi,batted-ball,Batter,Handedness,2022,vs L,2.0,17.5%,55.0%,27.5%,18.2%,0.0%,4.5%,0.0%,40.0%,37.5%,22.5%,15.0%,55.0%,30.0%,245,107,138
LOS ANGELES ANGELS,Max Stassi,batted-ball,Batter,Handedness,2022,vs R,1.76,8.0%,58.7%,33.3%,4.0%,20.0%,6.8%,0.0%,40.0%,38.7%,21.3%,21.3%,48.0%,30.7%,537,214,323
LOS ANGELES ANGELS,Jonathan Villar,batted-ball,Batter,Handedness,2022,vs R as L,2.59,20.2%,57.6%,22.2%,4.5%,9.1%,14.0%,33.3%,26.5%,44.1%,29.4%,19.6%,56.9%,23.5%,611,229,382
LOS ANGELES ANGELS,Jonathan Villar,batted-ball,Batter,Handedness,2022,vs L as R,2.86,15.6%,62.5%,21.9%,0.0%,0.0%,0.0%,0.0%,40.6%,50.0%,9.4%,18.8%,53.1%,28.1%,187,66,121
LOS ANGELES ANGELS,Jonathan Villar,batted-ball,Batter,Handedness,2022,vs L,2.86,15.6%,62.5%,21.9%,0.0%,0.0%,0.0%,0.0%,40.6%,50.0%,9.4%,18.8%,53.1%,28.1%,187,66,121
LOS ANGELES ANGELS,Jonathan Villar,batted-ball,Batter,Handedness,2022,vs R,2.59,20.2%,57.6%,22.2%,4.5%,9.1%,14.0%,33.3%,26.5%,44.1%,29.4%,19.6%,56.9%,23.5%,611,229,382
LOS ANGELES ANGELS,Brandon Marsh,batted-ball,Batter,Handedness,2022,vs L as L,1.73,18.9%,51.4%,29.7%,9.1%,9.1%,10.5%,0.0%,35.9%,33.3%,30.8%,12.8%,56.4%,30.8%,285,98,187
LOS ANGELES ANGELS,Brandon Marsh,batted-ball,Batter,Handedness,2022,vs R as L,1.17,24.8%,40.5%,34.7%,0.0%,11.9%,6.1%,100.0%,32.0%,39.3%,28.7%,11.5%,54.1%,34.4%,798,273,525
LOS ANGELES ANGELS,Brandon Marsh,batted-ball,Batter,Handedness,2022,vs L,1.73,18.9%,51.4%,29.7%,9.1%,9.1%,10.5%,0.0%,35.9%,33.3%,30.8%,12.8%,56.4%,30.8%,285,98,187
LOS ANGELES ANGELS,Brandon Marsh,batted-ball,Batter,Handedness,2022,vs R,1.17,24.8%,40.5%,34.7%,0.0%,11.9%,6.1%,100.0%,32.0%,39.3%,28.7%,11.5%,54.1%,34.4%,798,273,525
LOS ANGELES ANGELS,Kurt Suzuki,batted-ball,Batter,Handedness,2022,vs L as R,0.83,8.3%,41.7%,50.0%,0.0%,16.7%,0.0%,0.0%,41.7%,41.7%,16.7%,25.0%,58.3%,16.7%,81,35,46
LOS ANGELES ANGELS,Kurt Suzuki,batted-ball,Batter,Handedness,2022,vs R as R,0.58,25.5%,27.3%,47.3%,38.5%,3.8%,0.0%,0.0%,54.5%,29.1%,16.4%,23.6%,47.3%,29.1%,315,113,202
LOS ANGELES ANGELS,Kurt Suzuki,batted-ball,Batter,Handedness,2022,vs L,0.83,8.3%,41.7%,50.0%,0.0%,16.7%,0.0%,0.0%,41.7%,41.7%,16.7%,25.0%,58.3%,16.7%,81,35,46
LOS ANGELES ANGELS,Kurt Suzuki,batted-ball,Batter,Handedness,2022,vs R,0.58,25.5%,27.3%,47.3%,38.5%,3.8%,0.0%,0.0%,54.5%,29.1%,16.4%,23.6%,47.3%,29.1%,315,113,202
LOS ANGELES ANGELS,David MacKinnon,batted-ball,Batter,Handedness,2022,vs L as R,1.0,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,37.5%,37.5%,25.0%,0.0%,75.0%,25.0%,47,19,28
LOS ANGELES ANGELS,David MacKinnon,batted-ball,Batter,Handedness,2022,vs R as R,2.0,30.8%,46.2%,23.1%,0.0%,0.0%,0.0%,0.0%,23.1%,46.2%,30.8%,23.1%,38.5%,38.5%,113,39,74
LOS ANGELES ANGELS,David MacKinnon,batted-ball,Batter,Handedness,2022,vs L,1.0,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,37.5%,37.5%,25.0%,0.0%,75.0%,25.0%,47,19,28
LOS ANGELES ANGELS,David MacKinnon,batted-ball,Batter,Handedness,2022,vs R,2.0,30.8%,46.2%,23.1%,0.0%,0.0%,0.0%,0.0%,23.1%,46.2%,30.8%,23.1%,38.5%,38.5%,113,39,74
