Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
MIAMI MARLINS,Joey Wendle,batted-ball,Batter,Handedness,2022,vs L as L,1.6,13.3%,53.3%,33.3%,0.0%,0.0%,0.0%,0.0%,33.3%,40.0%,26.7%,26.7%,66.7%,6.7%,81,25,56
MIAMI MARLINS,Joey Wendle,batted-ball,Batter,Handedness,2022,vs R as L,1.89,17.3%,54.1%,28.6%,3.6%,7.1%,7.5%,0.0%,32.7%,32.7%,34.7%,19.4%,54.1%,26.5%,428,126,302
MIAMI MARLINS,Joey Wendle,batted-ball,Batter,Handedness,2022,vs L,1.6,13.3%,53.3%,33.3%,0.0%,0.0%,0.0%,0.0%,33.3%,40.0%,26.7%,26.7%,66.7%,6.7%,81,25,56
MIAMI MARLINS,Joey Wendle,batted-ball,Batter,Handedness,2022,vs R,1.89,17.3%,54.1%,28.6%,3.6%,7.1%,7.5%,0.0%,32.7%,32.7%,34.7%,19.4%,54.1%,26.5%,428,126,302
MIAMI MARLINS,Jon Berti,batted-ball,Batter,Handedness,2022,vs L as R,1.63,16.0%,52.0%,32.0%,0.0%,12.5%,23.1%,0.0%,44.0%,28.0%,28.0%,24.0%,44.0%,32.0%,186,71,115
MIAMI MARLINS,Jon Berti,batted-ball,Batter,Handedness,2022,vs R as R,1.69,20.3%,50.0%,29.7%,5.7%,2.9%,11.9%,0.0%,23.7%,42.4%,33.9%,19.5%,56.8%,23.7%,645,258,387
MIAMI MARLINS,Jon Berti,batted-ball,Batter,Handedness,2022,vs L,1.63,16.0%,52.0%,32.0%,0.0%,12.5%,23.1%,0.0%,44.0%,28.0%,28.0%,24.0%,44.0%,32.0%,186,71,115
MIAMI MARLINS,Jon Berti,batted-ball,Batter,Handedness,2022,vs R,1.69,20.3%,50.0%,29.7%,5.7%,2.9%,11.9%,0.0%,23.7%,42.4%,33.9%,19.5%,56.8%,23.7%,645,258,387
MIAMI MARLINS,Garrett Cooper,batted-ball,Batter,Handedness,2022,vs L as R,0.92,37.8%,29.7%,32.4%,0.0%,0.0%,9.1%,0.0%,35.1%,37.8%,27.0%,5.4%,54.1%,40.5%,220,76,144
MIAMI MARLINS,Garrett Cooper,batted-ball,Batter,Handedness,2022,vs R as R,1.76,24.9%,47.9%,27.2%,0.0%,15.2%,6.2%,0.0%,35.5%,36.7%,27.8%,14.2%,51.5%,34.3%,1030,368,662
MIAMI MARLINS,Garrett Cooper,batted-ball,Batter,Handedness,2022,vs L,0.92,37.8%,29.7%,32.4%,0.0%,0.0%,9.1%,0.0%,35.1%,37.8%,27.0%,5.4%,54.1%,40.5%,220,76,144
MIAMI MARLINS,Garrett Cooper,batted-ball,Batter,Handedness,2022,vs R,1.76,24.9%,47.9%,27.2%,0.0%,15.2%,6.2%,0.0%,35.5%,36.7%,27.8%,14.2%,51.5%,34.3%,1030,368,662
MIAMI MARLINS,Jesús Aguilar,batted-ball,Batter,Handedness,2022,vs L as R,0.87,26.3%,34.2%,39.5%,6.7%,6.7%,0.0%,0.0%,42.1%,36.8%,21.1%,21.1%,31.6%,47.4%,271,95,176
MIAMI MARLINS,Jesús Aguilar,batted-ball,Batter,Handedness,2022,vs R as R,0.68,23.9%,30.9%,45.2%,10.6%,11.8%,5.2%,0.0%,36.7%,35.1%,28.2%,18.1%,55.9%,26.1%,1082,352,730
MIAMI MARLINS,Jesús Aguilar,batted-ball,Batter,Handedness,2022,vs L,0.87,26.3%,34.2%,39.5%,6.7%,6.7%,0.0%,0.0%,42.1%,36.8%,21.1%,21.1%,31.6%,47.4%,271,95,176
MIAMI MARLINS,Jesús Aguilar,batted-ball,Batter,Handedness,2022,vs R,0.68,23.9%,30.9%,45.2%,10.6%,11.8%,5.2%,0.0%,36.7%,35.1%,28.2%,18.1%,55.9%,26.1%,1082,352,730
MIAMI MARLINS,Avisaíl García,batted-ball,Batter,Handedness,2022,vs L as R,1.27,13.8%,48.3%,37.9%,0.0%,9.1%,14.3%,0.0%,37.9%,31.0%,31.0%,6.9%,58.6%,34.5%,156,49,107
MIAMI MARLINS,Avisaíl García,batted-ball,Batter,Handedness,2022,vs R as R,2.38,18.0%,57.8%,24.2%,5.1%,12.8%,10.8%,0.0%,36.0%,40.4%,23.6%,23.6%,49.1%,27.3%,834,254,580
MIAMI MARLINS,Avisaíl García,batted-ball,Batter,Handedness,2022,vs L,1.27,13.8%,48.3%,37.9%,0.0%,9.1%,14.3%,0.0%,37.9%,31.0%,31.0%,6.9%,58.6%,34.5%,156,49,107
MIAMI MARLINS,Avisaíl García,batted-ball,Batter,Handedness,2022,vs R,2.38,18.0%,57.8%,24.2%,5.1%,12.8%,10.8%,0.0%,36.0%,40.4%,23.6%,23.6%,49.1%,27.3%,834,254,580
MIAMI MARLINS,Brian Anderson,batted-ball,Batter,Handedness,2022,vs L as R,0.6,20.0%,30.0%,50.0%,0.0%,10.0%,16.7%,0.0%,40.0%,25.0%,35.0%,10.0%,50.0%,40.0%,135,40,95
MIAMI MARLINS,Brian Anderson,batted-ball,Batter,Handedness,2022,vs R as R,2.33,24.1%,53.2%,22.8%,0.0%,11.1%,7.1%,0.0%,39.2%,40.5%,20.3%,21.5%,45.6%,32.9%,612,238,374
MIAMI MARLINS,Brian Anderson,batted-ball,Batter,Handedness,2022,vs L,0.6,20.0%,30.0%,50.0%,0.0%,10.0%,16.7%,0.0%,40.0%,25.0%,35.0%,10.0%,50.0%,40.0%,135,40,95
MIAMI MARLINS,Brian Anderson,batted-ball,Batter,Handedness,2022,vs R,2.33,24.1%,53.2%,22.8%,0.0%,11.1%,7.1%,0.0%,39.2%,40.5%,20.3%,21.5%,45.6%,32.9%,612,238,374
MIAMI MARLINS,Jesús Sánchez,batted-ball,Batter,Handedness,2022,vs L as L,1.1,19.2%,42.3%,38.5%,20.0%,0.0%,9.1%,0.0%,30.8%,34.6%,34.6%,30.8%,57.7%,11.5%,195,66,129
MIAMI MARLINS,Jesús Sánchez,batted-ball,Batter,Handedness,2022,vs R as L,1.29,14.2%,48.4%,37.4%,10.3%,19.0%,1.3%,0.0%,41.7%,32.1%,26.3%,14.1%,55.1%,30.8%,930,343,587
MIAMI MARLINS,Jesús Sánchez,batted-ball,Batter,Handedness,2022,vs L,1.1,19.2%,42.3%,38.5%,20.0%,0.0%,9.1%,0.0%,30.8%,34.6%,34.6%,30.8%,57.7%,11.5%,195,66,129
MIAMI MARLINS,Jesús Sánchez,batted-ball,Batter,Handedness,2022,vs R,1.29,14.2%,48.4%,37.4%,10.3%,19.0%,1.3%,0.0%,41.7%,32.1%,26.3%,14.1%,55.1%,30.8%,930,343,587
MIAMI MARLINS,Miguel Rojas,batted-ball,Batter,Handedness,2022,vs L as R,1.32,13.7%,49.0%,37.3%,0.0%,5.3%,12.0%,0.0%,41.2%,39.2%,19.6%,13.7%,54.9%,31.4%,240,78,162
MIAMI MARLINS,Miguel Rojas,batted-ball,Batter,Handedness,2022,vs R as R,1.75,21.3%,50.0%,28.7%,15.7%,9.8%,3.4%,0.0%,34.8%,30.3%,34.8%,20.8%,60.1%,19.1%,783,280,503
MIAMI MARLINS,Miguel Rojas,batted-ball,Batter,Handedness,2022,vs L,1.32,13.7%,49.0%,37.3%,0.0%,5.3%,12.0%,0.0%,41.2%,39.2%,19.6%,13.7%,54.9%,31.4%,240,78,162
MIAMI MARLINS,Miguel Rojas,batted-ball,Batter,Handedness,2022,vs R,1.75,21.3%,50.0%,28.7%,15.7%,9.8%,3.4%,0.0%,34.8%,30.3%,34.8%,20.8%,60.1%,19.1%,783,280,503
MIAMI MARLINS,Jacob Stallings,batted-ball,Batter,Handedness,2022,vs L as R,1.33,12.5%,50.0%,37.5%,0.0%,0.0%,0.0%,0.0%,40.0%,32.0%,28.0%,20.0%,48.0%,32.0%,155,56,99
MIAMI MARLINS,Jacob Stallings,batted-ball,Batter,Handedness,2022,vs R as R,1.28,21.0%,44.4%,34.7%,9.3%,4.7%,3.6%,0.0%,39.2%,32.8%,28.0%,14.4%,66.4%,19.2%,720,250,470
MIAMI MARLINS,Jacob Stallings,batted-ball,Batter,Handedness,2022,vs L,1.33,12.5%,50.0%,37.5%,0.0%,0.0%,0.0%,0.0%,40.0%,32.0%,28.0%,20.0%,48.0%,32.0%,155,56,99
MIAMI MARLINS,Jacob Stallings,batted-ball,Batter,Handedness,2022,vs R,1.28,21.0%,44.4%,34.7%,9.3%,4.7%,3.6%,0.0%,39.2%,32.8%,28.0%,14.4%,66.4%,19.2%,720,250,470
MIAMI MARLINS,Nick Fortes,batted-ball,Batter,Handedness,2022,vs L as R,3.33,7.1%,71.4%,21.4%,0.0%,33.3%,0.0%,0.0%,57.1%,21.4%,21.4%,0.0%,64.3%,35.7%,52,18,34
MIAMI MARLINS,Nick Fortes,batted-ball,Batter,Handedness,2022,vs R as R,0.53,21.2%,27.3%,51.5%,17.6%,11.8%,0.0%,0.0%,39.4%,30.3%,30.3%,15.2%,51.5%,33.3%,178,70,108
MIAMI MARLINS,Nick Fortes,batted-ball,Batter,Handedness,2022,vs L,3.33,7.1%,71.4%,21.4%,0.0%,33.3%,0.0%,0.0%,57.1%,21.4%,21.4%,0.0%,64.3%,35.7%,52,18,34
MIAMI MARLINS,Nick Fortes,batted-ball,Batter,Handedness,2022,vs R,0.53,21.2%,27.3%,51.5%,17.6%,11.8%,0.0%,0.0%,39.4%,30.3%,30.3%,15.2%,51.5%,33.3%,178,70,108
MIAMI MARLINS,Luke Williams,batted-ball,Batter,Handedness,2022,vs L as R,0.8,30.8%,30.8%,38.5%,20.0%,0.0%,0.0%,100.0%,50.0%,28.6%,21.4%,14.3%,71.4%,14.3%,90,34,56
MIAMI MARLINS,Luke Williams,batted-ball,Batter,Handedness,2022,vs R as R,2.2,15.8%,57.9%,26.3%,0.0%,20.0%,18.2%,50.0%,47.6%,42.9%,9.5%,19.0%,66.7%,14.3%,139,45,94
MIAMI MARLINS,Luke Williams,batted-ball,Batter,Handedness,2022,vs L,0.8,30.8%,30.8%,38.5%,20.0%,0.0%,0.0%,100.0%,50.0%,28.6%,21.4%,14.3%,71.4%,14.3%,90,34,56
MIAMI MARLINS,Luke Williams,batted-ball,Batter,Handedness,2022,vs R,2.2,15.8%,57.9%,26.3%,0.0%,20.0%,18.2%,50.0%,47.6%,42.9%,9.5%,19.0%,66.7%,14.3%,139,45,94
MIAMI MARLINS,Bryan De La Cruz,batted-ball,Batter,Handedness,2022,vs L as R,2.29,25.8%,51.6%,22.6%,0.0%,0.0%,12.5%,0.0%,32.3%,35.5%,32.3%,9.7%,64.5%,25.8%,202,68,134
MIAMI MARLINS,Bryan De La Cruz,batted-ball,Batter,Handedness,2022,vs R as R,1.3,28.9%,40.2%,30.9%,6.7%,20.0%,2.6%,0.0%,42.3%,35.1%,22.7%,9.3%,55.7%,35.1%,480,170,310
MIAMI MARLINS,Bryan De La Cruz,batted-ball,Batter,Handedness,2022,vs L,2.29,25.8%,51.6%,22.6%,0.0%,0.0%,12.5%,0.0%,32.3%,35.5%,32.3%,9.7%,64.5%,25.8%,202,68,134
MIAMI MARLINS,Bryan De La Cruz,batted-ball,Batter,Handedness,2022,vs R,1.3,28.9%,40.2%,30.9%,6.7%,20.0%,2.6%,0.0%,42.3%,35.1%,22.7%,9.3%,55.7%,35.1%,480,170,310
MIAMI MARLINS,Billy Hamilton,batted-ball,Batter,Handedness,2022,vs L as R,1.0,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,66.7%,0.0%,100.0%,0.0%,8,2,6
MIAMI MARLINS,Billy Hamilton,batted-ball,Batter,Handedness,2022,vs R as R,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,8,2,6
MIAMI MARLINS,Billy Hamilton,batted-ball,Batter,Handedness,2022,vs L,1.0,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,66.7%,0.0%,100.0%,0.0%,8,2,6
MIAMI MARLINS,Billy Hamilton,batted-ball,Batter,Handedness,2022,vs R,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,8,2,6
MIAMI MARLINS,Jazz Chisholm Jr.,batted-ball,Batter,Handedness,2022,vs L as L,1.11,24.0%,40.0%,36.0%,11.1%,11.1%,0.0%,0.0%,56.0%,28.0%,16.0%,12.0%,80.0%,8.0%,151,45,106
MIAMI MARLINS,Jazz Chisholm Jr.,batted-ball,Batter,Handedness,2022,vs R as L,0.88,21.3%,36.9%,41.8%,7.8%,25.5%,6.7%,100.0%,48.8%,32.0%,19.2%,13.6%,44.0%,42.4%,796,300,496
MIAMI MARLINS,Jazz Chisholm Jr.,batted-ball,Batter,Handedness,2022,vs L,1.11,24.0%,40.0%,36.0%,11.1%,11.1%,0.0%,0.0%,56.0%,28.0%,16.0%,12.0%,80.0%,8.0%,151,45,106
MIAMI MARLINS,Jazz Chisholm Jr.,batted-ball,Batter,Handedness,2022,vs R,0.88,21.3%,36.9%,41.8%,7.8%,25.5%,6.7%,100.0%,48.8%,32.0%,19.2%,13.6%,44.0%,42.4%,796,300,496
MIAMI MARLINS,Jorge Soler,batted-ball,Batter,Handedness,2022,vs L as R,0.8,10.0%,40.0%,50.0%,5.0%,30.0%,6.3%,0.0%,55.0%,35.0%,10.0%,12.5%,45.0%,42.5%,253,100,153
MIAMI MARLINS,Jorge Soler,batted-ball,Batter,Handedness,2022,vs R as R,1.08,20.3%,41.4%,38.3%,13.7%,13.7%,3.6%,0.0%,50.4%,32.3%,17.3%,18.0%,44.4%,37.6%,950,376,574
MIAMI MARLINS,Jorge Soler,batted-ball,Batter,Handedness,2022,vs L,0.8,10.0%,40.0%,50.0%,5.0%,30.0%,6.3%,0.0%,55.0%,35.0%,10.0%,12.5%,45.0%,42.5%,253,100,153
MIAMI MARLINS,Jorge Soler,batted-ball,Batter,Handedness,2022,vs R,1.08,20.3%,41.4%,38.3%,13.7%,13.7%,3.6%,0.0%,50.4%,32.3%,17.3%,18.0%,44.4%,37.6%,950,376,574
MIAMI MARLINS,Sean Guenther,batted-ball,Batter,Handedness,2022,vs L as L,2.25,18.8%,56.3%,25.0%,25.0%,0.0%,11.1%,0.0%,12.5%,43.8%,43.8%,18.8%,81.3%,0.0%,122,36,86
MIAMI MARLINS,Sean Guenther,batted-ball,Batter,Handedness,2022,vs R as L,1.44,20.0%,47.3%,32.7%,0.0%,5.6%,3.8%,50.0%,31.6%,40.4%,28.1%,7.0%,57.9%,35.1%,307,108,199
MIAMI MARLINS,Sean Guenther,batted-ball,Batter,Handedness,2022,vs L,2.25,18.8%,56.3%,25.0%,25.0%,0.0%,11.1%,0.0%,12.5%,43.8%,43.8%,18.8%,81.3%,0.0%,122,36,86
MIAMI MARLINS,Sean Guenther,batted-ball,Batter,Handedness,2022,vs R,1.44,20.0%,47.3%,32.7%,0.0%,5.6%,3.8%,50.0%,31.6%,40.4%,28.1%,7.0%,57.9%,35.1%,307,108,199
MIAMI MARLINS,Cole Sulser,batted-ball,Batter,Handedness,2022,vs L as L,2.50,27.9%,51.5%,20.6%,14.3%,21.4%,5.7%,0.0%,29.4%,39.7%,30.9%,14.7%,52.9%,32.4%,353,105,248
MIAMI MARLINS,Cole Sulser,batted-ball,Batter,Handedness,2022,vs R as L,1.00,19.4%,40.3%,40.3%,11.1%,21.0%,4.9%,100.0%,36.1%,41.1%,22.8%,13.4%,45.5%,41.1%,963,343,620
MIAMI MARLINS,Cole Sulser,batted-ball,Batter,Handedness,2022,vs L,2.50,27.9%,51.5%,20.6%,14.3%,21.4%,5.7%,0.0%,29.4%,39.7%,30.9%,14.7%,52.9%,32.4%,353,105,248
MIAMI MARLINS,Cole Sulser,batted-ball,Batter,Handedness,2022,vs R,1.00,19.4%,40.3%,40.3%,11.1%,21.0%,4.9%,100.0%,36.1%,41.1%,22.8%,13.4%,45.5%,41.1%,963,343,620
