Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
CHICAGO WHITE SOX,Tim Anderson,batted-ball,Batter,Handedness,2022,vs L as R,1.45,28.9%,42.1%,28.9%,0.0%,18.2%,18.8%,0.0%,31.6%,34.2%,34.2%,10.5%,55.3%,34.2%,147,43,104
CHICAGO WHITE SOX,Tim Anderson,batted-ball,Batter,Handedness,2022,vs R as R,2.7,22.2%,56.8%,21.0%,2.7%,8.1%,8.0%,0.0%,36.9%,31.8%,31.3%,13.6%,59.1%,27.3%,701,209,492
CHICAGO WHITE SOX,Tim Anderson,batted-ball,Batter,Handedness,2022,vs L,1.45,28.9%,42.1%,28.9%,0.0%,18.2%,18.8%,0.0%,31.6%,34.2%,34.2%,10.5%,55.3%,34.2%,147,43,104
CHICAGO WHITE SOX,Tim Anderson,batted-ball,Batter,Handedness,2022,vs R,2.7,22.2%,56.8%,21.0%,2.7%,8.1%,8.0%,0.0%,36.9%,31.8%,31.3%,13.6%,59.1%,27.3%,701,209,492
CHICAGO WHITE SOX,Yoán Moncada,batted-ball,Batter,Handedness,2022,vs R as L,1.0,18.7%,40.7%,40.7%,5.4%,8.1%,0.0%,100.0%,41.3%,40.2%,18.5%,6.5%,64.1%,29.3%,555,188,367
CHICAGO WHITE SOX,Yoán Moncada,batted-ball,Batter,Handedness,2022,vs L as R,2.17,0.0%,68.4%,31.6%,0.0%,16.7%,0.0%,0.0%,26.3%,52.6%,21.1%,21.1%,47.4%,31.6%,120,42,78
CHICAGO WHITE SOX,Yoán Moncada,batted-ball,Batter,Handedness,2022,vs L,2.17,0.0%,68.4%,31.6%,0.0%,16.7%,0.0%,0.0%,26.3%,52.6%,21.1%,21.1%,47.4%,31.6%,120,42,78
CHICAGO WHITE SOX,Yoán Moncada,batted-ball,Batter,Handedness,2022,vs R,1.0,18.7%,40.7%,40.7%,5.4%,8.1%,0.0%,100.0%,41.3%,40.2%,18.5%,6.5%,64.1%,29.3%,555,188,367
CHICAGO WHITE SOX,Luis Robert,batted-ball,Batter,Handedness,2022,vs L as R,2.2,30.4%,47.8%,21.7%,10.0%,30.0%,13.6%,0.0%,28.3%,34.8%,37.0%,21.7%,45.7%,32.6%,241,80,161
CHICAGO WHITE SOX,Luis Robert,batted-ball,Batter,Handedness,2022,vs R as R,1.35,18.8%,46.6%,34.6%,12.1%,12.1%,10.1%,0.0%,40.3%,33.0%,26.7%,19.4%,53.9%,26.7%,803,225,578
CHICAGO WHITE SOX,Luis Robert,batted-ball,Batter,Handedness,2022,vs L,2.2,30.4%,47.8%,21.7%,10.0%,30.0%,13.6%,0.0%,28.3%,34.8%,37.0%,21.7%,45.7%,32.6%,241,80,161
CHICAGO WHITE SOX,Luis Robert,batted-ball,Batter,Handedness,2022,vs R,1.35,18.8%,46.6%,34.6%,12.1%,12.1%,10.1%,0.0%,40.3%,33.0%,26.7%,19.4%,53.9%,26.7%,803,225,578
CHICAGO WHITE SOX,José Abreu,batted-ball,Batter,Handedness,2022,vs L as R,1.27,20.9%,44.2%,34.9%,0.0%,26.7%,0.0%,0.0%,37.2%,34.9%,27.9%,11.6%,46.5%,41.9%,303,118,185
CHICAGO WHITE SOX,José Abreu,batted-ball,Batter,Handedness,2022,vs R as R,1.27,17.2%,46.3%,36.6%,6.0%,8.4%,3.8%,0.0%,36.6%,36.6%,26.9%,10.6%,51.5%,37.9%,1255,480,775
CHICAGO WHITE SOX,José Abreu,batted-ball,Batter,Handedness,2022,vs L,1.27,20.9%,44.2%,34.9%,0.0%,26.7%,0.0%,0.0%,37.2%,34.9%,27.9%,11.6%,46.5%,41.9%,303,118,185
CHICAGO WHITE SOX,José Abreu,batted-ball,Batter,Handedness,2022,vs R,1.27,17.2%,46.3%,36.6%,6.0%,8.4%,3.8%,0.0%,36.6%,36.6%,26.9%,10.6%,51.5%,37.9%,1255,480,775
CHICAGO WHITE SOX,Gavin Sheets,batted-ball,Batter,Handedness,2022,vs L as L,1.2,21.4%,42.9%,35.7%,0.0%,0.0%,33.3%,0.0%,50.0%,35.7%,14.3%,14.3%,57.1%,28.6%,103,41,62
CHICAGO WHITE SOX,Gavin Sheets,batted-ball,Batter,Handedness,2022,vs R as L,0.89,16.1%,39.4%,44.5%,16.4%,11.5%,9.3%,0.0%,34.8%,42.0%,23.2%,23.2%,50.7%,26.1%,796,294,502
CHICAGO WHITE SOX,Gavin Sheets,batted-ball,Batter,Handedness,2022,vs L,1.2,21.4%,42.9%,35.7%,0.0%,0.0%,33.3%,0.0%,50.0%,35.7%,14.3%,14.3%,57.1%,28.6%,103,41,62
CHICAGO WHITE SOX,Gavin Sheets,batted-ball,Batter,Handedness,2022,vs R,0.89,16.1%,39.4%,44.5%,16.4%,11.5%,9.3%,0.0%,34.8%,42.0%,23.2%,23.2%,50.7%,26.1%,796,294,502
CHICAGO WHITE SOX,Eloy Jiménez,batted-ball,Batter,Handedness,2022,vs L as R,1.25,10.0%,50.0%,40.0%,0.0%,25.0%,20.0%,0.0%,50.0%,20.0%,30.0%,0.0%,40.0%,60.0%,65,25,40
CHICAGO WHITE SOX,Eloy Jiménez,batted-ball,Batter,Handedness,2022,vs R as R,2.63,14.7%,61.8%,23.5%,0.0%,12.5%,9.5%,0.0%,38.2%,47.1%,14.7%,17.6%,41.2%,41.2%,193,66,127
CHICAGO WHITE SOX,Eloy Jiménez,batted-ball,Batter,Handedness,2022,vs L,1.25,10.0%,50.0%,40.0%,0.0%,25.0%,20.0%,0.0%,50.0%,20.0%,30.0%,0.0%,40.0%,60.0%,65,25,40
CHICAGO WHITE SOX,Eloy Jiménez,batted-ball,Batter,Handedness,2022,vs R,2.63,14.7%,61.8%,23.5%,0.0%,12.5%,9.5%,0.0%,38.2%,47.1%,14.7%,17.6%,41.2%,41.2%,193,66,127
CHICAGO WHITE SOX,Andrew Vaughn,batted-ball,Batter,Handedness,2022,vs L as R,1.47,15.9%,50.0%,34.1%,0.0%,6.7%,13.6%,0.0%,36.4%,31.8%,31.8%,11.4%,47.7%,40.9%,229,69,160
CHICAGO WHITE SOX,Andrew Vaughn,batted-ball,Batter,Handedness,2022,vs R as R,1.43,20.5%,46.8%,32.7%,14.3%,12.5%,7.5%,0.0%,31.6%,40.4%,28.1%,16.4%,53.8%,29.8%,877,296,581
CHICAGO WHITE SOX,Andrew Vaughn,batted-ball,Batter,Handedness,2022,vs L,1.47,15.9%,50.0%,34.1%,0.0%,6.7%,13.6%,0.0%,36.4%,31.8%,31.8%,11.4%,47.7%,40.9%,229,69,160
CHICAGO WHITE SOX,Andrew Vaughn,batted-ball,Batter,Handedness,2022,vs R,1.43,20.5%,46.8%,32.7%,14.3%,12.5%,7.5%,0.0%,31.6%,40.4%,28.1%,16.4%,53.8%,29.8%,877,296,581
CHICAGO WHITE SOX,Josh Harrison,batted-ball,Batter,Handedness,2022,vs L as R,1.33,22.2%,44.4%,33.3%,8.3%,8.3%,6.3%,0.0%,41.7%,36.1%,22.2%,13.9%,61.1%,25.0%,191,69,122
CHICAGO WHITE SOX,Josh Harrison,batted-ball,Batter,Handedness,2022,vs R as R,1.2,17.1%,45.3%,37.6%,9.1%,4.5%,3.8%,0.0%,33.1%,39.0%,28.0%,9.3%,67.8%,22.9%,574,183,391
CHICAGO WHITE SOX,Josh Harrison,batted-ball,Batter,Handedness,2022,vs L,1.33,22.2%,44.4%,33.3%,8.3%,8.3%,6.3%,0.0%,41.7%,36.1%,22.2%,13.9%,61.1%,25.0%,191,69,122
CHICAGO WHITE SOX,Josh Harrison,batted-ball,Batter,Handedness,2022,vs R,1.2,17.1%,45.3%,37.6%,9.1%,4.5%,3.8%,0.0%,33.1%,39.0%,28.0%,9.3%,67.8%,22.9%,574,183,391
CHICAGO WHITE SOX,Seby Zavala,batted-ball,Batter,Handedness,2022,vs L as R,3.0,11.1%,66.7%,22.2%,0.0%,0.0%,0.0%,0.0%,55.6%,22.2%,22.2%,11.1%,55.6%,33.3%,68,25,43
CHICAGO WHITE SOX,Seby Zavala,batted-ball,Batter,Handedness,2022,vs R as R,0.8,25.0%,33.3%,41.7%,0.0%,6.7%,0.0%,0.0%,37.8%,37.8%,24.3%,18.9%,51.4%,29.7%,261,92,169
