Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
MIAMI MARLINS,Sandy Alcantara,advanced,Pitcher,Handedness,2022,vs L,6.9,2.06,3.35,0.36,20.1%,6.0%,14.1%,0.194,0.91,0.233,72.5%,2.83,3.49
MIAMI MARLINS,Sandy Alcantara,advanced,Pitcher,Handedness,2022,vs R,8.68,2.25,3.86,0.48,25.5%,6.6%,18.9%,0.191,0.91,0.248,88.6%,2.84,3.29
MIAMI MARLINS,Trevor Rogers,advanced,Pitcher,Handedness,2022,vs L,10.8,6.38,1.69,0.49,26.2%,15.5%,10.7%,0.239,1.64,0.333,66.4%,3.55,3.81
MIAMI MARLINS,Trevor Rogers,advanced,Pitcher,Handedness,2022,vs R,7.84,3.92,2.0,1.36,19.3%,9.6%,9.6%,0.283,1.56,0.322,67.1%,4.79,4.65
MIAMI MARLINS,Daniel Castano,advanced,Pitcher,Handedness,2022,vs L,6.17,3.09,2.0,2.31,16.0%,8.0%,8.0%,0.267,1.37,0.265,93.8%,6.37,4.17
MIAMI MARLINS,Daniel Castano,advanced,Pitcher,Handedness,2022,vs R,4.63,1.93,2.4,0.77,11.9%,5.0%,6.9%,0.295,1.41,0.317,62.9%,3.84,4.38
MIAMI MARLINS,Pablo López,advanced,Pitcher,Handedness,2022,vs L,7.0,2.33,3.0,1.33,19.9%,6.6%,13.3%,0.211,1.02,0.228,74.2%,4.37,3.74
MIAMI MARLINS,Pablo López,advanced,Pitcher,Handedness,2022,vs R,11.2,2.8,4.0,0.6,29.8%,7.4%,22.3%,0.218,1.13,0.306,84.6%,2.69,3.18
MIAMI MARLINS,Braxton Garrett,advanced,Pitcher,Handedness,2022,vs L,5.59,1.86,3.0,0.93,15.0%,5.0%,10.0%,0.237,1.14,0.258,41.7%,3.83,2.8
MIAMI MARLINS,Braxton Garrett,advanced,Pitcher,Handedness,2022,vs R,8.06,2.1,3.83,1.05,20.7%,5.4%,15.3%,0.291,1.4,0.351,76.9%,3.77,4.11
MIAMI MARLINS,Tanner Scott,advanced,Pitcher,Handedness,2022,vs L,13.91,4.91,2.83,0.82,37.0%,13.0%,23.9%,0.132,1.0,0.19,56.6%,3.11,2.88
MIAMI MARLINS,Tanner Scott,advanced,Pitcher,Handedness,2022,vs R,13.5,5.84,2.31,0.73,33.0%,14.3%,18.8%,0.22,1.46,0.327,68.2%,3.35,3.33
MIAMI MARLINS,Anthony Bass,advanced,Pitcher,Handedness,2022,vs L,9.0,1.38,6.5,0.69,22.8%,3.5%,19.3%,0.259,1.23,0.317,89.0%,2.57,3.75
MIAMI MARLINS,Anthony Bass,advanced,Pitcher,Handedness,2022,vs R,8.37,1.9,4.4,0.0,25.6%,5.8%,19.8%,0.173,0.8,0.237,73.7%,1.88,3.4
MIAMI MARLINS,Steven Okert,advanced,Pitcher,Handedness,2022,vs L,13.09,4.09,3.2,0.82,34.0%,10.6%,23.4%,0.175,1.09,0.261,95.2%,3.29,3.6
MIAMI MARLINS,Steven Okert,advanced,Pitcher,Handedness,2022,vs R,9.68,5.09,1.9,2.04,25.7%,13.5%,12.2%,0.15,1.08,0.132,97.6%,6.11,4.85
