Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
MINNESOTA TWINS,Nick Gordon,batted-ball,Pitcher,Handedness,2022,vs L,0.0,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,3,1,2
MINNESOTA TWINS,Nick Gordon,batted-ball,Pitcher,Handedness,2022,vs R,2.0,33.3%,66.7%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,33.3%,0.0%,0.0%,66.7%,33.3%,13,6,7
MINNESOTA TWINS,Joe Ryan,batted-ball,Pitcher,Handedness,2022,vs L,0.44,11.8%,26.9%,61.3%,17.5%,7.0%,8.0%,50.0%,33.7%,41.1%,25.3%,23.2%,46.3%,30.5%,512,181,331
MINNESOTA TWINS,Joe Ryan,batted-ball,Pitcher,Handedness,2022,vs R,0.6,19.4%,30.1%,50.5%,15.4%,7.7%,9.7%,0.0%,36.9%,35.0%,28.2%,20.4%,52.4%,27.2%,619,200,419
MINNESOTA TWINS,Sonny Gray,batted-ball,Pitcher,Handedness,2022,vs L,0.82,20.5%,35.9%,43.6%,14.7%,5.9%,3.6%,0.0%,39.7%,41.0%,19.2%,21.8%,53.8%,24.4%,388,133,255
MINNESOTA TWINS,Sonny Gray,batted-ball,Pitcher,Handedness,2022,vs R,1.43,17.0%,48.9%,34.1%,20.0%,10.0%,7.0%,0.0%,41.6%,36.0%,22.5%,20.2%,42.7%,37.1%,538,199,339
MINNESOTA TWINS,Devin Smeltzer,batted-ball,Pitcher,Handedness,2022,vs L,0.87,17.6%,38.2%,44.1%,6.7%,20.0%,15.4%,100.0%,45.7%,40.0%,14.3%,2.9%,54.3%,42.9%,177,64,113
MINNESOTA TWINS,Devin Smeltzer,batted-ball,Pitcher,Handedness,2022,vs R,0.78,13.9%,37.7%,48.3%,12.3%,13.7%,3.5%,50.0%,48.4%,27.5%,24.2%,19.6%,49.0%,31.4%,762,262,500
MINNESOTA TWINS,Dylan Bundy,batted-ball,Pitcher,Handedness,2022,vs L,1.38,22.1%,45.1%,32.7%,10.8%,13.5%,2.0%,100.0%,40.9%,34.8%,24.3%,13.0%,52.2%,34.8%,498,159,339
MINNESOTA TWINS,Dylan Bundy,batted-ball,Pitcher,Handedness,2022,vs R,0.68,17.8%,33.3%,48.8%,11.1%,9.5%,11.6%,0.0%,48.1%,27.1%,24.8%,17.8%,51.9%,30.2%,635,194,441
MINNESOTA TWINS,Jhoan Duran,batted-ball,Pitcher,Handedness,2022,vs L,2.5,16.7%,59.5%,23.8%,0.0%,20.0%,4.0%,0.0%,39.5%,20.9%,39.5%,16.3%,67.4%,16.3%,260,77,183
