Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
HOUSTON ASTROS,Jose Altuve,batted-ball,Batter,Handedness,2022,vs L as R,0.74,21.6%,33.3%,45.1%,0.0%,30.4%,17.6%,0.0%,65.4%,28.8%,5.8%,9.6%,36.5%,53.8%,279,107,172
HOUSTON ASTROS,Jose Altuve,batted-ball,Batter,Handedness,2022,vs R as R,1.08,19.2%,41.9%,38.9%,12.3%,15.4%,11.4%,0.0%,50.9%,33.7%,15.4%,21.3%,52.7%,26.0%,915,357,558
HOUSTON ASTROS,Jose Altuve,batted-ball,Batter,Handedness,2022,vs L,0.74,21.6%,33.3%,45.1%,0.0%,30.4%,17.6%,0.0%,65.4%,28.8%,5.8%,9.6%,36.5%,53.8%,279,107,172
HOUSTON ASTROS,Jose Altuve,batted-ball,Batter,Handedness,2022,vs R,1.08,19.2%,41.9%,38.9%,12.3%,15.4%,11.4%,0.0%,50.9%,33.7%,15.4%,21.3%,52.7%,26.0%,915,357,558
HOUSTON ASTROS,Aledmys Díaz,batted-ball,Batter,Handedness,2022,vs L as R,0.65,17.6%,32.4%,50.0%,17.6%,5.9%,9.1%,0.0%,35.3%,44.1%,20.6%,29.4%,41.2%,29.4%,176,68,108
HOUSTON ASTROS,Aledmys Díaz,batted-ball,Batter,Handedness,2022,vs R as R,1.45,24.8%,44.6%,30.7%,9.7%,16.1%,6.7%,0.0%,50.0%,32.4%,17.6%,18.6%,52.0%,29.4%,512,181,331
HOUSTON ASTROS,Aledmys Díaz,batted-ball,Batter,Handedness,2022,vs L,0.65,17.6%,32.4%,50.0%,17.6%,5.9%,9.1%,0.0%,35.3%,44.1%,20.6%,29.4%,41.2%,29.4%,176,68,108
HOUSTON ASTROS,Aledmys Díaz,batted-ball,Batter,Handedness,2022,vs R,1.45,24.8%,44.6%,30.7%,9.7%,16.1%,6.7%,0.0%,50.0%,32.4%,17.6%,18.6%,52.0%,29.4%,512,181,331
HOUSTON ASTROS,Kyle Tucker,batted-ball,Batter,Handedness,2022,vs L as L,0.66,19.0%,32.1%,48.8%,4.9%,14.6%,11.1%,0.0%,36.9%,36.9%,26.2%,11.9%,51.2%,36.9%,385,147,238
HOUSTON ASTROS,Kyle Tucker,batted-ball,Batter,Handedness,2022,vs R as L,0.60,22.0%,29.3%,48.7%,8.2%,15.1%,2.3%,0.0%,42.7%,34.7%,22.7%,18.0%,47.3%,34.7%,859,339,520
HOUSTON ASTROS,Kyle Tucker,batted-ball,Batter,Handedness,2022,vs L,0.66,19.0%,32.1%,48.8%,4.9%,14.6%,11.1%,0.0%,36.9%,36.9%,26.2%,11.9%,51.2%,36.9%,385,147,238
HOUSTON ASTROS,Kyle Tucker,batted-ball,Batter,Handedness,2022,vs R,0.60,22.0%,29.3%,48.7%,8.2%,15.1%,2.3%,0.0%,42.7%,34.7%,22.7%,18.0%,47.3%,34.7%,859,339,520
HOUSTON ASTROS,Alex Bregman,batted-ball,Batter,Handedness,2022,vs L as R,0.75,14.6%,36.6%,48.8%,10.0%,2.5%,6.7%,0.0%,45.1%,39.0%,15.9%,17.1%,48.8%,34.1%,455,191,264
HOUSTON ASTROS,Alex Bregman,batted-ball,Batter,Handedness,2022,vs R as R,0.76,21.7%,33.7%,44.6%,12.2%,13.5%,7.1%,0.0%,51.8%,25.9%,22.3%,13.9%,51.2%,34.9%,894,395,499
HOUSTON ASTROS,Alex Bregman,batted-ball,Batter,Handedness,2022,vs L,0.75,14.6%,36.6%,48.8%,10.0%,2.5%,6.7%,0.0%,45.1%,39.0%,15.9%,17.1%,48.8%,34.1%,455,191,264
HOUSTON ASTROS,Alex Bregman,batted-ball,Batter,Handedness,2022,vs R,0.76,21.7%,33.7%,44.6%,12.2%,13.5%,7.1%,0.0%,51.8%,25.9%,22.3%,13.9%,51.2%,34.9%,894,395,499
HOUSTON ASTROS,Yuli Gurriel,batted-ball,Batter,Handedness,2022,vs L as R,0.57,17.5%,30.0%,52.5%,14.3%,7.1%,4.2%,0.0%,36.3%,32.5%,31.3%,16.3%,56.3%,27.5%,337,117,220
HOUSTON ASTROS,Yuli Gurriel,batted-ball,Batter,Handedness,2022,vs R as R,1.01,16.6%,42.0%,41.4%,15.7%,5.7%,5.6%,0.0%,34.3%,39.6%,26.0%,23.1%,50.9%,26.0%,787,254,533
HOUSTON ASTROS,Yuli Gurriel,batted-ball,Batter,Handedness,2022,vs L,0.57,17.5%,30.0%,52.5%,14.3%,7.1%,4.2%,0.0%,36.3%,32.5%,31.3%,16.3%,56.3%,27.5%,337,117,220
HOUSTON ASTROS,Yuli Gurriel,batted-ball,Batter,Handedness,2022,vs R,1.01,16.6%,42.0%,41.4%,15.7%,5.7%,5.6%,0.0%,34.3%,39.6%,26.0%,23.1%,50.9%,26.0%,787,254,533
