Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
MILWAUKEE BREWERS,Mike Brosseau,advanced,Pitcher,Handedness,2022,vs L,0.00,5.40,0.00,0.00,0.0%,16.7%,-16.7%,.000,0.60,.000,100.0%,4.91,5.80
MILWAUKEE BREWERS,Mike Brosseau,advanced,Pitcher,Handedness,2022,vs R,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.286,1.50,.286,100.0%,3.11,4.23
MILWAUKEE BREWERS,Corbin Burnes,advanced,Pitcher,Handedness,2022,vs L,11.39,2.39,4.77,0.55,32.3%,6.8%,25.5%,.182,0.92,.261,84.5%,2.35,2.44
MILWAUKEE BREWERS,Corbin Burnes,advanced,Pitcher,Handedness,2022,vs R,11.30,2.04,5.54,1.41,32.4%,5.9%,26.6%,.181,0.87,.226,87.0%,3.53,3.18
MILWAUKEE BREWERS,Brandon Woodruff,advanced,Pitcher,Handedness,2022,vs L,14.94,2.01,7.43,0.57,43.3%,5.8%,37.5%,.196,0.93,.339,64.9%,1.29,1.70
MILWAUKEE BREWERS,Brandon Woodruff,advanced,Pitcher,Handedness,2022,vs R,8.59,2.76,3.11,1.53,21.4%,6.9%,14.5%,.265,1.36,.299,68.6%,4.54,4.36
MILWAUKEE BREWERS,Eric Lauer,advanced,Pitcher,Handedness,2022,vs L,12.08,4.26,2.83,1.42,30.9%,10.9%,20.0%,.224,1.34,.300,63.4%,3.90,3.14
MILWAUKEE BREWERS,Eric Lauer,advanced,Pitcher,Handedness,2022,vs R,9.27,2.58,3.59,1.88,24.9%,6.9%,18.0%,.237,1.17,.263,80.5%,4.70,3.87
MILWAUKEE BREWERS,Jason Alexander,advanced,Pitcher,Handedness,2022,vs L,5.19,4.67,1.11,1.56,11.5%,10.3%,1.1%,.347,1.96,.349,69.2%,6.11,6.35
MILWAUKEE BREWERS,Jason Alexander,advanced,Pitcher,Handedness,2022,vs R,3.18,3.18,1.00,0.40,8.3%,8.3%,0.0%,.287,1.46,.304,69.6%,4.04,4.12
MILWAUKEE BREWERS,Aaron Ashby,advanced,Pitcher,Handedness,2022,vs L,14.21,4.97,2.86,1.42,32.3%,11.3%,21.0%,.302,1.82,.438,56.6%,3.90,3.14
MILWAUKEE BREWERS,Aaron Ashby,advanced,Pitcher,Handedness,2022,vs R,9.88,3.88,2.55,1.24,25.7%,10.1%,15.6%,.236,1.33,.295,76.0%,4.05,3.08
MILWAUKEE BREWERS,Josh Hader,advanced,Pitcher,Handedness,2022,vs L,18.47,0.00,13.00,0.00,59.1%,0.0%,59.1%,.182,0.63,.444,75.0%,-1.00,0.42
MILWAUKEE BREWERS,Josh Hader,advanced,Pitcher,Handedness,2022,vs R,15.04,3.86,3.90,1.16,41.9%,10.8%,31.2%,.145,0.94,.220,95.5%,2.72,2.46
MILWAUKEE BREWERS,Devin Williams,advanced,Pitcher,Handedness,2022,vs L,11.48,5.40,2.13,0.00,29.8%,14.0%,15.8%,.188,1.28,.290,72.2%,2.58,3.59
MILWAUKEE BREWERS,Devin Williams,advanced,Pitcher,Handedness,2022,vs R,17.26,4.87,3.55,0.00,49.4%,13.9%,35.4%,.118,0.93,.276,89.5%,0.90,1.34
MILWAUKEE BREWERS,Brad Boxberger,advanced,Pitcher,Handedness,2022,vs L,6.75,2.81,2.40,1.13,18.8%,7.8%,10.9%,.203,1.06,.222,84.5%,4.17,4.60
MILWAUKEE BREWERS,Brad Boxberger,advanced,Pitcher,Handedness,2022,vs R,10.00,4.00,2.50,1.00,27.4%,11.0%,16.4%,.213,1.17,.262,88.5%,3.83,3.88
MILWAUKEE BREWERS,Trevor Gott,advanced,Pitcher,Handedness,2022,vs L,9.31,3.72,2.50,2.79,23.3%,9.3%,14.0%,.237,1.34,.240,51.0%,6.63,4.75
MILWAUKEE BREWERS,Trevor Gott,advanced,Pitcher,Handedness,2022,vs R,10.06,0.53,19.00,1.06,28.4%,1.5%,26.9%,.215,0.88,.273,68.2%,2.76,2.89
MILWAUKEE BREWERS,Brent Suter,advanced,Pitcher,Handedness,2022,vs L,4.50,3.00,1.50,0.75,13.3%,8.9%,4.4%,.175,0.92,.176,31.3%,4.19,4.10
MILWAUKEE BREWERS,Brent Suter,advanced,Pitcher,Handedness,2022,vs R,7.15,3.57,2.00,0.79,18.4%,9.2%,9.2%,.281,1.50,.333,73.7%,3.86,4.36
MILWAUKEE BREWERS,Hoby Milner,advanced,Pitcher,Handedness,2022,vs L,7.82,2.84,2.75,0.00,22.0%,8.0%,14.0%,.209,1.03,.265,92.9%,2.56,2.91
MILWAUKEE BREWERS,Hoby Milner,advanced,Pitcher,Handedness,2022,vs R,8.02,2.11,3.80,0.42,21.1%,5.6%,15.6%,.235,1.13,.286,69.1%,2.92,4.06
MILWAUKEE BREWERS,Jandel Gustave,advanced,Pitcher,Handedness,2022,vs L,9.00,4.50,2.00,3.00,24.0%,12.0%,12.0%,.182,1.17,.143,100.0%,6.94,4.60
MILWAUKEE BREWERS,Jandel Gustave,advanced,Pitcher,Handedness,2022,vs R,9.60,3.00,3.20,1.20,25.4%,7.9%,17.5%,.246,1.27,.308,75.6%,3.91,3.57
