Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
ST. LOUIS CARDINALS,Albert Pujols,advanced,Pitcher,Handedness,2022,vs L,0.00,0.00,0.00,27.00,0.0%,0.0%,0.0%,.500,3.00,.000,500.0%,42.11,7.58
ST. LOUIS CARDINALS,Albert Pujols,advanced,Pitcher,Handedness,2022,vs R,0.00,13.50,0.00,13.50,0.0%,20.0%,-20.0%,.500,4.50,.333,100.0%,27.11,9.85
ST. LOUIS CARDINALS,Adam Wainwright,advanced,Pitcher,Handedness,2022,vs L,6.58,3.04,2.17,0.51,18.1%,8.4%,9.8%,.221,1.14,.260,81.3%,3.45,4.17
ST. LOUIS CARDINALS,Adam Wainwright,advanced,Pitcher,Handedness,2022,vs R,7.74,1.55,5.00,1.38,20.9%,4.2%,16.7%,.284,1.28,.329,79.2%,3.95,3.36
ST. LOUIS CARDINALS,Dakota Hudson,advanced,Pitcher,Handedness,2022,vs L,4.36,5.19,0.84,0.21,11.7%,13.9%,-2.2%,.211,1.32,.237,81.6%,4.31,4.97
ST. LOUIS CARDINALS,Dakota Hudson,advanced,Pitcher,Handedness,2022,vs R,5.59,3.09,1.81,0.96,14.9%,8.2%,6.7%,.298,1.44,.322,64.5%,4.42,4.59
ST. LOUIS CARDINALS,Andre Pallante,advanced,Pitcher,Handedness,2022,vs L,3.62,1.32,2.75,0.66,10.2%,3.7%,6.5%,.245,1.06,.256,84.6%,3.80,3.67
ST. LOUIS CARDINALS,Andre Pallante,advanced,Pitcher,Handedness,2022,vs R,7.41,4.54,1.63,1.19,18.2%,11.2%,7.1%,.298,1.70,.348,84.2%,4.70,3.81
ST. LOUIS CARDINALS,Miles Mikolas,advanced,Pitcher,Handedness,2022,vs L,6.51,1.43,4.56,0.95,18.3%,4.0%,14.3%,.210,0.94,.230,73.5%,3.67,3.96
ST. LOUIS CARDINALS,Miles Mikolas,advanced,Pitcher,Handedness,2022,vs R,7.46,2.06,3.62,0.95,21.1%,5.8%,15.2%,.217,1.02,.252,85.3%,3.62,3.67
ST. LOUIS CARDINALS,Ryan Helsley,advanced,Pitcher,Handedness,2022,vs L,12.67,1.65,7.67,0.00,41.1%,5.4%,35.7%,.113,0.55,.200,77.8%,0.84,2.21
ST. LOUIS CARDINALS,Ryan Helsley,advanced,Pitcher,Handedness,2022,vs R,13.71,3.74,3.67,0.42,40.7%,11.1%,29.6%,.097,0.74,.158,89.0%,1.91,2.55
ST. LOUIS CARDINALS,Giovanny Gallegos,advanced,Pitcher,Handedness,2022,vs L,9.64,3.21,3.00,2.57,24.6%,8.2%,16.4%,.286,1.50,.324,71.4%,5.75,4.49
ST. LOUIS CARDINALS,Giovanny Gallegos,advanced,Pitcher,Handedness,2022,vs R,12.15,2.25,5.40,0.45,36.0%,6.7%,29.3%,.159,0.80,.238,75.3%,1.81,3.10
ST. LOUIS CARDINALS,Génesis Cabrera,advanced,Pitcher,Handedness,2022,vs L,7.50,5.25,1.43,0.75,20.4%,14.3%,6.1%,.171,1.17,.200,95.6%,4.53,4.56
ST. LOUIS CARDINALS,Génesis Cabrera,advanced,Pitcher,Handedness,2022,vs R,8.02,2.95,2.71,1.69,21.8%,8.0%,13.8%,.179,0.98,.182,92.0%,5.03,4.13
ST. LOUIS CARDINALS,Jordan Hicks,advanced,Pitcher,Handedness,2022,vs L,10.34,8.04,1.29,0.00,24.7%,19.2%,5.5%,.196,1.60,.289,82.1%,4.07,5.11
ST. LOUIS CARDINALS,Jordan Hicks,advanced,Pitcher,Handedness,2022,vs R,7.32,4.58,1.60,1.37,20.0%,12.5%,7.5%,.191,1.17,.204,67.3%,5.30,4.15
ST. LOUIS CARDINALS,Junior Fernández,advanced,Pitcher,Handedness,2022,vs L,6.00,3.00,2.00,0.00,15.4%,7.7%,7.7%,.250,1.33,.300,100.0%,2.78,3.77
ST. LOUIS CARDINALS,Junior Fernández,advanced,Pitcher,Handedness,2022,vs R,6.30,3.60,1.75,0.00,17.9%,10.3%,7.7%,.176,1.00,.214,90.0%,2.91,3.80
ST. LOUIS CARDINALS,Johan Oviedo,advanced,Pitcher,Handedness,2022,vs L,6.10,2.61,2.33,0.00,20.0%,8.6%,11.4%,.094,0.58,.120,50.0%,2.63,4.36
ST. LOUIS CARDINALS,Johan Oviedo,advanced,Pitcher,Handedness,2022,vs R,11.12,2.38,4.67,2.38,23.7%,5.1%,18.6%,.382,2.12,.474,96.2%,5.14,3.67
ST. LOUIS CARDINALS,T.J. McFarland,advanced,Pitcher,Handedness,2022,vs L,7.45,0.93,8.00,0.93,18.6%,2.3%,16.3%,.400,1.76,.469,66.3%,3.42,3.46
ST. LOUIS CARDINALS,T.J. McFarland,advanced,Pitcher,Handedness,2022,vs R,4.24,3.71,1.14,1.59,10.3%,9.0%,1.3%,.333,1.76,.339,59.7%,5.87,4.81
ST. LOUIS CARDINALS,Packy Naughton,advanced,Pitcher,Handedness,2022,vs L,9.31,0.93,10.00,0.93,30.3%,3.0%,27.3%,.125,0.52,.143,27.8%,2.70,2.58
ST. LOUIS CARDINALS,Packy Naughton,advanced,Pitcher,Handedness,2022,vs R,6.94,2.31,3.00,0.77,17.3%,5.8%,11.5%,.306,1.54,.359,78.3%,3.45,3.62
ST. LOUIS CARDINALS,Drew VerHagen,advanced,Pitcher,Handedness,2022,vs L,5.87,5.87,1.00,1.17,13.2%,13.2%,0.0%,.333,2.09,.370,61.6%,5.46,4.93
ST. LOUIS CARDINALS,Drew VerHagen,advanced,Pitcher,Handedness,2022,vs R,8.03,5.84,1.38,2.19,19.0%,13.8%,5.2%,.250,1.62,.257,71.4%,6.68,5.81
ST. LOUIS CARDINALS,Yadier Molina,advanced,Pitcher,Handedness,2022,vs L,0.00,0.00,0.00,18.00,0.0%,0.0%,0.0%,.500,3.00,.250,0.0%,29.11,6.09
ST. LOUIS CARDINALS,Yadier Molina,advanced,Pitcher,Handedness,2022,vs R,9.00,0.00,1.00,0.00,16.7%,0.0%,16.7%,.500,3.00,.600,66.7%,1.11,2.60
ST. LOUIS CARDINALS,Jack Flaherty,advanced,Pitcher,Handedness,2022,vs L,4.50,9.00,0.50,0.00,9.1%,18.2%,-9.1%,.294,2.25,.333,60.0%,5.86,7.35
ST. LOUIS CARDINALS,Jack Flaherty,advanced,Pitcher,Handedness,2022,vs R,9.00,11.25,0.80,2.25,20.0%,25.0%,-5.0%,.200,2.00,.200,90.9%,8.11,7.47
ST. LOUIS CARDINALS,Steven Matz,advanced,Pitcher,Handedness,2022,vs L,12.96,2.16,6.00,1.08,31.6%,5.3%,26.3%,.314,1.56,.455,71.4%,2.87,2.03
ST. LOUIS CARDINALS,Steven Matz,advanced,Pitcher,Handedness,2022,vs R,9.93,1.86,5.33,2.17,25.4%,4.8%,20.6%,.275,1.34,.321,65.1%,4.66,3.27
