Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
CHICAGO CUBS,Andrelton Simmons,batted-ball,Pitcher,Handedness,2022,vs L,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6,4,2
CHICAGO CUBS,Andrelton Simmons,batted-ball,Pitcher,Handedness,2022,vs R,0.50,25.0%,25.0%,50.0%,25.0%,0.0%,0.0%,0.0%,75.0%,12.5%,12.5%,25.0%,37.5%,37.5%,19,8,11
CHICAGO CUBS,Marcus Stroman,batted-ball,Pitcher,Handedness,2022,vs L,1.75,29.5%,44.9%,25.6%,5.0%,20.0%,2.9%,0.0%,39.2%,39.2%,21.5%,20.3%,53.2%,26.6%,452,161,291
CHICAGO CUBS,Marcus Stroman,batted-ball,Pitcher,Handedness,2022,vs R,1.07,19.4%,41.7%,38.9%,7.1%,14.3%,3.3%,0.0%,37.0%,38.4%,24.7%,13.7%,63.0%,23.3%,381,127,254
CHICAGO CUBS,Drew Smyly,batted-ball,Pitcher,Handedness,2022,vs L,1.42,23.7%,44.7%,31.6%,16.7%,8.3%,0.0%,0.0%,38.5%,41.0%,20.5%,20.5%,38.5%,41.0%,204,76,128
CHICAGO CUBS,Drew Smyly,batted-ball,Pitcher,Handedness,2022,vs R,1.24,11.3%,49.1%,39.6%,16.7%,16.7%,3.8%,0.0%,46.2%,34.0%,19.8%,23.6%,47.2%,29.2%,568,188,380
CHICAGO CUBS,Adrian Sampson,batted-ball,Pitcher,Handedness,2022,vs L,1.64,29.3%,43.9%,26.8%,0.0%,9.1%,0.0%,0.0%,34.1%,39.0%,26.8%,7.3%,61.0%,31.7%,202,77,125
CHICAGO CUBS,Adrian Sampson,batted-ball,Pitcher,Handedness,2022,vs R,1.00,14.3%,42.9%,42.9%,16.7%,11.1%,16.7%,0.0%,45.2%,35.7%,19.0%,21.4%,50.0%,28.6%,244,81,163
CHICAGO CUBS,Justin Steele,batted-ball,Pitcher,Handedness,2022,vs L,1.44,15.2%,50.0%,34.8%,6.3%,0.0%,4.3%,100.0%,29.8%,51.1%,19.1%,12.8%,59.6%,27.7%,319,121,198
CHICAGO CUBS,Justin Steele,batted-ball,Pitcher,Handedness,2022,vs R,2.09,24.0%,51.4%,24.6%,14.0%,11.6%,11.1%,0.0%,37.1%,34.9%,28.0%,21.1%,54.3%,24.6%,995,373,622
