Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
ARIZONA DIAMONDBACKS,Josh Rojas,batted-ball,Batter,Handedness,2022,vs L as L,1.67,33.3%,41.7%,25.0%,0.0%,11.1%,0.0%,50.0%,39.5%,44.7%,15.8%,18.4%,47.4%,34.2%,271,102,169
ARIZONA DIAMONDBACKS,Josh Rojas,batted-ball,Batter,Handedness,2022,vs R as L,0.88,19.0%,38.0%,43.0%,3.8%,7.7%,6.5%,60.0%,31.0%,35.7%,33.3%,11.9%,51.6%,36.5%,623,231,392
ARIZONA DIAMONDBACKS,Josh Rojas,batted-ball,Batter,Handedness,2022,vs L,1.67,33.3%,41.7%,25.0%,0.0%,11.1%,0.0%,50.0%,39.5%,44.7%,15.8%,18.4%,47.4%,34.2%,271,102,169
ARIZONA DIAMONDBACKS,Josh Rojas,batted-ball,Batter,Handedness,2022,vs R,0.88,19.0%,38.0%,43.0%,3.8%,7.7%,6.5%,60.0%,31.0%,35.7%,33.3%,11.9%,51.6%,36.5%,623,231,392
ARIZONA DIAMONDBACKS,Alek Thomas,batted-ball,Batter,Handedness,2022,vs L as L,4.00,13.5%,69.2%,17.3%,22.2%,11.1%,16.7%,0.0%,34.6%,34.6%,30.8%,19.2%,71.2%,9.6%,218,69,149
ARIZONA DIAMONDBACKS,Alek Thomas,batted-ball,Batter,Handedness,2022,vs R as L,2.00,16.7%,55.6%,27.8%,3.3%,20.0%,8.3%,0.0%,41.7%,35.2%,23.1%,12.0%,50.9%,37.0%,571,196,375
ARIZONA DIAMONDBACKS,Alek Thomas,batted-ball,Batter,Handedness,2022,vs L,4.00,13.5%,69.2%,17.3%,22.2%,11.1%,16.7%,0.0%,34.6%,34.6%,30.8%,19.2%,71.2%,9.6%,218,69,149
ARIZONA DIAMONDBACKS,Alek Thomas,batted-ball,Batter,Handedness,2022,vs R,2.00,16.7%,55.6%,27.8%,3.3%,20.0%,8.3%,0.0%,41.7%,35.2%,23.1%,12.0%,50.9%,37.0%,571,196,375
ARIZONA DIAMONDBACKS,Ketel Marte,batted-ball,Batter,Handedness,2022,vs R as L,1.28,14.3%,48.1%,37.7%,8.6%,8.6%,2.7%,0.0%,43.9%,36.1%,20.0%,16.1%,54.8%,29.0%,975,399,576
ARIZONA DIAMONDBACKS,Ketel Marte,batted-ball,Batter,Handedness,2022,vs L as R,1.00,23.1%,38.5%,38.5%,4.0%,4.0%,0.0%,0.0%,46.2%,38.5%,15.4%,12.3%,47.7%,40.0%,287,98,189
ARIZONA DIAMONDBACKS,Ketel Marte,batted-ball,Batter,Handedness,2022,vs L,1.00,23.1%,38.5%,38.5%,4.0%,4.0%,0.0%,0.0%,46.2%,38.5%,15.4%,12.3%,47.7%,40.0%,287,98,189
ARIZONA DIAMONDBACKS,Ketel Marte,batted-ball,Batter,Handedness,2022,vs R,1.29,14.2%,48.4%,37.4%,8.6%,8.6%,2.7%,0.0%,43.9%,36.1%,20.0%,16.1%,54.8%,29.0%,978,400,578
ARIZONA DIAMONDBACKS,Christian Walker,batted-ball,Batter,Handedness,2022,vs L as R,0.74,23.0%,32.8%,44.3%,3.7%,18.5%,5.0%,0.0%,47.5%,31.1%,21.3%,11.5%,54.1%,34.4%,328,153,175
ARIZONA DIAMONDBACKS,Christian Walker,batted-ball,Batter,Handedness,2022,vs R as R,0.85,12.1%,40.5%,47.4%,7.3%,19.5%,8.6%,0.0%,42.8%,35.3%,22.0%,12.7%,48.0%,39.3%,1008,411,597
ARIZONA DIAMONDBACKS,Christian Walker,batted-ball,Batter,Handedness,2022,vs L,0.74,23.0%,32.8%,44.3%,3.7%,18.5%,5.0%,0.0%,47.5%,31.1%,21.3%,11.5%,54.1%,34.4%,328,153,175
ARIZONA DIAMONDBACKS,Christian Walker,batted-ball,Batter,Handedness,2022,vs R,0.85,12.1%,40.5%,47.4%,7.3%,19.5%,8.6%,0.0%,42.8%,35.3%,22.0%,12.7%,48.0%,39.3%,1008,411,597
ARIZONA DIAMONDBACKS,David Peralta,batted-ball,Batter,Handedness,2022,vs L as L,1.22,16.7%,45.8%,37.5%,11.1%,11.1%,0.0%,0.0%,41.7%,37.5%,20.8%,16.7%,54.2%,29.2%,152,55,97
ARIZONA DIAMONDBACKS,David Peralta,batted-ball,Batter,Handedness,2022,vs R as L,0.65,23.0%,30.4%,46.6%,12.0%,13.3%,2.0%,0.0%,36.6%,43.5%,19.9%,18.0%,44.7%,37.3%,886,313,573
ARIZONA DIAMONDBACKS,David Peralta,batted-ball,Batter,Handedness,2022,vs L,1.22,16.7%,45.8%,37.5%,11.1%,11.1%,0.0%,0.0%,41.7%,37.5%,20.8%,16.7%,54.2%,29.2%,152,55,97
ARIZONA DIAMONDBACKS,David Peralta,batted-ball,Batter,Handedness,2022,vs R,0.65,23.0%,30.4%,46.6%,12.0%,13.3%,2.0%,0.0%,36.6%,43.5%,19.9%,18.0%,44.7%,37.3%,886,313,573
ARIZONA DIAMONDBACKS,Buddy Kennedy,batted-ball,Batter,Handedness,2022,vs L as R,1.50,16.7%,50.0%,33.3%,0.0%,16.7%,11.1%,0.0%,27.8%,50.0%,22.2%,0.0%,66.7%,33.3%,111,42,69
ARIZONA DIAMONDBACKS,Buddy Kennedy,batted-ball,Batter,Handedness,2022,vs R as R,0.83,26.7%,33.3%,40.0%,16.7%,0.0%,10.0%,0.0%,33.3%,23.3%,43.3%,20.0%,63.3%,16.7%,139,52,87
ARIZONA DIAMONDBACKS,Buddy Kennedy,batted-ball,Batter,Handedness,2022,vs L,1.50,16.7%,50.0%,33.3%,0.0%,16.7%,11.1%,0.0%,27.8%,50.0%,22.2%,0.0%,66.7%,33.3%,111,42,69
ARIZONA DIAMONDBACKS,Buddy Kennedy,batted-ball,Batter,Handedness,2022,vs R,0.83,26.7%,33.3%,40.0%,16.7%,0.0%,10.0%,0.0%,33.3%,23.3%,43.3%,20.0%,63.3%,16.7%,139,52,87
ARIZONA DIAMONDBACKS,Daulton Varsho,batted-ball,Batter,Handedness,2022,vs L as L,1.24,15.6%,46.7%,37.8%,23.5%,0.0%,4.8%,57.1%,53.8%,25.0%,21.2%,17.3%,59.6%,23.1%,264,69,195
ARIZONA DIAMONDBACKS,Daulton Varsho,batted-ball,Batter,Handedness,2022,vs R as L,0.90,18.2%,38.8%,43.0%,8.5%,16.9%,6.3%,50.0%,57.5%,28.7%,13.8%,18.6%,43.7%,37.7%,998,340,658
ARIZONA DIAMONDBACKS,Daulton Varsho,batted-ball,Batter,Handedness,2022,vs L,1.24,15.6%,46.7%,37.8%,23.5%,0.0%,4.8%,57.1%,53.8%,25.0%,21.2%,17.3%,59.6%,23.1%,264,69,195
ARIZONA DIAMONDBACKS,Daulton Varsho,batted-ball,Batter,Handedness,2022,vs R,0.90,18.2%,38.8%,43.0%,8.5%,16.9%,6.3%,50.0%,57.5%,28.7%,13.8%,18.6%,43.7%,37.7%,1002,342,660
ARIZONA DIAMONDBACKS,Carson Kelly,batted-ball,Batter,Handedness,2022,vs L as R,0.82,20.5%,35.9%,43.6%,11.8%,5.9%,7.1%,0.0%,41.0%,35.9%,23.1%,23.1%,38.5%,38.5%,207,69,138
ARIZONA DIAMONDBACKS,Carson Kelly,batted-ball,Batter,Handedness,2022,vs R as R,1.13,8.9%,48.2%,42.9%,8.3%,8.3%,3.7%,0.0%,44.6%,44.6%,10.7%,19.6%,57.1%,23.2%,309,104,205
ARIZONA DIAMONDBACKS,Carson Kelly,batted-ball,Batter,Handedness,2022,vs L,0.82,20.5%,35.9%,43.6%,11.8%,5.9%,7.1%,0.0%,41.0%,35.9%,23.1%,23.1%,38.5%,38.5%,207,69,138
ARIZONA DIAMONDBACKS,Carson Kelly,batted-ball,Batter,Handedness,2022,vs R,1.13,8.9%,48.2%,42.9%,8.3%,8.3%,3.7%,0.0%,44.6%,44.6%,10.7%,19.6%,57.1%,23.2%,309,104,205
ARIZONA DIAMONDBACKS,Geraldo Perdomo,batted-ball,Batter,Handedness,2022,vs R as L,1.39,19.7%,46.7%,33.6%,12.2%,4.9%,0.0%,14.3%,45.7%,31.8%,22.5%,15.5%,59.7%,24.8%,855,337,518
ARIZONA DIAMONDBACKS,Geraldo Perdomo,batted-ball,Batter,Handedness,2022,vs L as R,2.36,27.5%,51.0%,21.6%,9.1%,0.0%,0.0%,25.0%,23.6%,56.4%,20.0%,18.2%,58.2%,23.6%,307,117,190
ARIZONA DIAMONDBACKS,Geraldo Perdomo,batted-ball,Batter,Handedness,2022,vs L,2.36,27.5%,51.0%,21.6%,9.1%,0.0%,0.0%,25.0%,23.6%,56.4%,20.0%,18.2%,58.2%,23.6%,307,117,190
ARIZONA DIAMONDBACKS,Geraldo Perdomo,batted-ball,Batter,Handedness,2022,vs R,1.39,19.7%,46.7%,33.6%,12.2%,4.9%,0.0%,14.3%,45.7%,31.8%,22.5%,15.5%,59.7%,24.8%,855,337,518
ARIZONA DIAMONDBACKS,Jose Herrera,batted-ball,Batter,Handedness,2022,vs R as L,2.50,16.0%,60.0%,24.0%,33.3%,0.0%,0.0%,0.0%,45.3%,34.0%,20.8%,13.2%,67.9%,18.9%,316,111,205
ARIZONA DIAMONDBACKS,Jose Herrera,batted-ball,Batter,Handedness,2022,vs L as R,10.00,15.4%,76.9%,7.7%,0.0%,0.0%,10.0%,0.0%,38.5%,30.8%,30.8%,23.1%,69.2%,7.7%,70,28,42
