Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
CLEVELAND GUARDIANS,Steven Kwan,batted-ball,Batter,Handedness,2022,vs L as L,2.55,15.2%,60.9%,23.9%,9.1%,0.0%,14.3%,0.0%,21.7%,45.7%,32.6%,19.6%,63.0%,17.4%,268,92,176
CLEVELAND GUARDIANS,Steven Kwan,batted-ball,Batter,Handedness,2022,vs R as L,1.23,19.2%,44.6%,36.3%,10.0%,1.4%,5.8%,0.0%,32.5%,36.1%,31.4%,16.5%,61.9%,21.6%,964,369,595
CLEVELAND GUARDIANS,Steven Kwan,batted-ball,Batter,Handedness,2022,vs L,2.55,15.2%,60.9%,23.9%,9.1%,0.0%,14.3%,0.0%,21.7%,45.7%,32.6%,19.6%,63.0%,17.4%,268,92,176
CLEVELAND GUARDIANS,Steven Kwan,batted-ball,Batter,Handedness,2022,vs R,1.23,19.2%,44.6%,36.3%,10.0%,1.4%,5.8%,0.0%,32.5%,36.1%,31.4%,16.5%,61.9%,21.6%,964,369,595
CLEVELAND GUARDIANS,Amed Rosario,batted-ball,Batter,Handedness,2022,vs L as R,1.64,15.9%,52.2%,31.9%,4.5%,9.1%,5.6%,0.0%,46.4%,27.5%,26.1%,15.9%,49.3%,34.8%,325,106,219
CLEVELAND GUARDIANS,Amed Rosario,batted-ball,Batter,Handedness,2022,vs R as R,2.20,20.5%,54.6%,24.9%,15.7%,3.9%,9.8%,0.0%,31.7%,46.3%,22.0%,17.1%,59.0%,23.9%,904,274,630
CLEVELAND GUARDIANS,Amed Rosario,batted-ball,Batter,Handedness,2022,vs L,1.64,15.9%,52.2%,31.9%,4.5%,9.1%,5.6%,0.0%,46.4%,27.5%,26.1%,15.9%,49.3%,34.8%,325,106,219
CLEVELAND GUARDIANS,Amed Rosario,batted-ball,Batter,Handedness,2022,vs R,2.20,20.5%,54.6%,24.9%,15.7%,3.9%,9.8%,0.0%,31.7%,46.3%,22.0%,17.1%,59.0%,23.9%,904,274,630
CLEVELAND GUARDIANS,José Ramírez,batted-ball,Batter,Handedness,2022,vs R as L,0.58,16.1%,30.7%,53.2%,13.8%,12.8%,7.9%,0.0%,46.3%,34.1%,19.5%,20.5%,49.8%,29.8%,1131,459,672
CLEVELAND GUARDIANS,José Ramírez,batted-ball,Batter,Handedness,2022,vs L as R,0.61,13.2%,32.9%,53.9%,17.1%,7.3%,12.0%,0.0%,40.8%,32.9%,26.3%,21.1%,44.7%,34.2%,380,137,243
CLEVELAND GUARDIANS,José Ramírez,batted-ball,Batter,Handedness,2022,vs L,0.61,13.2%,32.9%,53.9%,17.1%,7.3%,12.0%,0.0%,40.8%,32.9%,26.3%,21.1%,44.7%,34.2%,380,137,243
CLEVELAND GUARDIANS,José Ramírez,batted-ball,Batter,Handedness,2022,vs R,0.58,16.1%,30.7%,53.2%,13.8%,12.8%,7.9%,0.0%,46.3%,34.1%,19.5%,20.5%,49.8%,29.8%,1131,459,672
