Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
CLEVELAND GUARDIANS,Ernie Clement,advanced,Pitcher,Handedness,2022,vs L,0.00,0.00,0.00,27.00,0.0%,0.0%,0.0%,1.000,6.00,.500,0.0%,42.11,12.05
CLEVELAND GUARDIANS,Ernie Clement,advanced,Pitcher,Handedness,2022,vs R,0.00,0.00,0.00,5.40,0.0%,0.0%,0.0%,.500,2.40,.429,76.9%,10.91,4.00
CLEVELAND GUARDIANS,Shane Bieber,advanced,Pitcher,Handedness,2022,vs L,10.00,2.20,4.55,0.60,28.2%,6.2%,22.0%,.202,0.98,.268,71.1%,2.55,3.01
CLEVELAND GUARDIANS,Shane Bieber,advanced,Pitcher,Handedness,2022,vs R,8.31,2.08,4.00,0.59,22.6%,5.6%,16.9%,.263,1.24,.329,72.4%,2.86,3.31
CLEVELAND GUARDIANS,Aaron Civale,advanced,Pitcher,Handedness,2022,vs L,9.78,3.13,3.13,1.17,25.0%,8.0%,17.0%,.278,1.43,.344,55.6%,3.67,3.60
CLEVELAND GUARDIANS,Aaron Civale,advanced,Pitcher,Handedness,2022,vs R,7.80,2.10,3.71,1.50,19.3%,5.2%,14.1%,.303,1.47,.348,59.5%,4.74,4.46
CLEVELAND GUARDIANS,Triston McKenzie,advanced,Pitcher,Handedness,2022,vs L,9.73,3.41,2.86,1.46,27.4%,9.6%,17.8%,.150,0.89,.157,90.6%,4.43,4.30
CLEVELAND GUARDIANS,Triston McKenzie,advanced,Pitcher,Handedness,2022,vs R,7.03,2.08,3.38,1.60,19.9%,5.9%,14.0%,.233,1.08,.250,77.6%,4.65,4.41
CLEVELAND GUARDIANS,Zach Plesac,advanced,Pitcher,Handedness,2022,vs L,4.35,3.48,1.25,1.52,10.9%,8.7%,2.2%,.268,1.45,.268,73.3%,5.72,5.72
CLEVELAND GUARDIANS,Zach Plesac,advanced,Pitcher,Handedness,2022,vs R,8.27,1.29,6.43,0.73,22.6%,3.5%,19.1%,.237,1.06,.291,68.2%,2.89,3.28
CLEVELAND GUARDIANS,Cal Quantrill,advanced,Pitcher,Handedness,2022,vs L,6.64,3.98,1.67,1.33,17.2%,10.3%,6.9%,.257,1.40,.277,68.5%,4.95,4.83
CLEVELAND GUARDIANS,Cal Quantrill,advanced,Pitcher,Handedness,2022,vs R,4.67,1.67,2.80,1.00,12.4%,4.4%,8.0%,.274,1.24,.288,76.7%,4.29,4.64
CLEVELAND GUARDIANS,Emmanuel Clase,advanced,Pitcher,Handedness,2022,vs L,10.57,0.59,18.00,1.17,31.6%,1.8%,29.8%,.145,0.59,.167,64.5%,2.65,1.64
CLEVELAND GUARDIANS,Emmanuel Clase,advanced,Pitcher,Handedness,2022,vs R,9.43,2.14,4.40,0.00,26.8%,6.1%,20.7%,.195,0.95,.273,80.0%,1.73,2.44
CLEVELAND GUARDIANS,Trevor Stephan,advanced,Pitcher,Handedness,2022,vs L,10.50,3.00,3.50,0.75,25.0%,7.1%,17.9%,.333,1.75,.432,71.4%,2.86,2.89
