Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
MIAMI MARLINS,Sandy Alcantara,advanced,Pitcher,Handedness,2022,vs L,6.90,2.06,3.35,0.36,20.1%,6.0%,14.1%,.194,0.91,.233,72.5%,2.83,3.49
MIAMI MARLINS,Sandy Alcantara,advanced,Pitcher,Handedness,2022,vs R,8.68,2.25,3.86,0.48,25.5%,6.6%,18.9%,.191,0.91,.248,88.6%,2.84,3.29
MIAMI MARLINS,Trevor Rogers,advanced,Pitcher,Handedness,2022,vs L,10.80,6.38,1.69,0.49,26.2%,15.5%,10.7%,.239,1.64,.333,66.4%,3.55,3.81
MIAMI MARLINS,Trevor Rogers,advanced,Pitcher,Handedness,2022,vs R,7.84,3.92,2.00,1.36,19.3%,9.6%,9.6%,.283,1.56,.322,67.1%,4.79,4.65
MIAMI MARLINS,Daniel Castano,advanced,Pitcher,Handedness,2022,vs L,6.17,3.09,2.00,2.31,16.0%,8.0%,8.0%,.267,1.37,.265,93.8%,6.37,4.17
MIAMI MARLINS,Daniel Castano,advanced,Pitcher,Handedness,2022,vs R,4.63,1.93,2.40,0.77,11.9%,5.0%,6.9%,.295,1.41,.317,62.9%,3.84,4.38
MIAMI MARLINS,Pablo López,advanced,Pitcher,Handedness,2022,vs L,7.00,2.33,3.00,1.33,19.9%,6.6%,13.3%,.211,1.02,.228,74.2%,4.37,3.74
MIAMI MARLINS,Pablo López,advanced,Pitcher,Handedness,2022,vs R,11.20,2.80,4.00,0.60,29.8%,7.4%,22.3%,.218,1.13,.306,84.6%,2.69,3.18
MIAMI MARLINS,Braxton Garrett,advanced,Pitcher,Handedness,2022,vs L,5.59,1.86,3.00,0.93,15.0%,5.0%,10.0%,.237,1.14,.258,41.7%,3.83,2.80
MIAMI MARLINS,Braxton Garrett,advanced,Pitcher,Handedness,2022,vs R,8.06,2.10,3.83,1.05,20.7%,5.4%,15.3%,.291,1.40,.351,76.9%,3.77,4.11
MIAMI MARLINS,Tanner Scott,advanced,Pitcher,Handedness,2022,vs L,13.91,4.91,2.83,0.82,37.0%,13.0%,23.9%,.132,1.00,.190,56.6%,3.11,2.88
MIAMI MARLINS,Tanner Scott,advanced,Pitcher,Handedness,2022,vs R,13.50,5.84,2.31,0.73,33.0%,14.3%,18.8%,.220,1.46,.327,68.2%,3.35,3.33
MIAMI MARLINS,Anthony Bass,advanced,Pitcher,Handedness,2022,vs L,9.00,1.38,6.50,0.69,22.8%,3.5%,19.3%,.259,1.23,.317,89.0%,2.57,3.75
MIAMI MARLINS,Anthony Bass,advanced,Pitcher,Handedness,2022,vs R,8.37,1.90,4.40,0.00,25.6%,5.8%,19.8%,.173,0.80,.237,73.7%,1.88,3.40
MIAMI MARLINS,Steven Okert,advanced,Pitcher,Handedness,2022,vs L,13.09,4.09,3.20,0.82,34.0%,10.6%,23.4%,.175,1.09,.261,95.2%,3.29,3.60
MIAMI MARLINS,Steven Okert,advanced,Pitcher,Handedness,2022,vs R,9.68,5.09,1.90,2.04,25.7%,13.5%,12.2%,.150,1.08,.132,97.6%,6.11,4.85
MIAMI MARLINS,Dylan Floro,advanced,Pitcher,Handedness,2022,vs L,3.52,2.35,1.50,1.17,8.6%,5.7%,2.9%,.333,1.70,.345,51.7%,4.81,5.25
MIAMI MARLINS,Dylan Floro,advanced,Pitcher,Handedness,2022,vs R,5.27,1.98,2.67,0.66,14.8%,5.6%,9.3%,.216,1.02,.238,47.6%,3.55,4.02
MIAMI MARLINS,Jimmy Yacabonis,advanced,Pitcher,Handedness,2022,vs L,12.27,7.36,1.67,0.00,31.3%,18.8%,12.5%,.154,1.36,.250,80.0%,2.84,4.46
MIAMI MARLINS,Jimmy Yacabonis,advanced,Pitcher,Handedness,2022,vs R,15.88,3.18,5.00,4.76,34.5%,6.9%,27.6%,.370,2.12,.500,64.1%,7.52,2.48
MIAMI MARLINS,Zach Pop,advanced,Pitcher,Handedness,2022,vs L,5.40,2.70,2.00,0.00,14.3%,7.1%,7.1%,.385,1.80,.455,66.7%,2.81,3.70
MIAMI MARLINS,Zach Pop,advanced,Pitcher,Handedness,2022,vs R,7.27,0.00,7.00,0.00,20.0%,0.0%,20.0%,.235,0.92,.296,88.9%,1.84,3.22
MIAMI MARLINS,Richard Bleier,advanced,Pitcher,Handedness,2022,vs L,5.56,2.38,2.33,0.79,15.2%,6.5%,8.7%,.256,1.24,.286,79.4%,3.82,3.85
MIAMI MARLINS,Richard Bleier,advanced,Pitcher,Handedness,2022,vs R,5.54,1.38,4.00,0.69,13.1%,3.3%,9.8%,.322,1.62,.360,66.3%,3.34,3.95
MIAMI MARLINS,Elieser Hernandez,advanced,Pitcher,Handedness,2022,vs L,8.33,4.67,1.79,3.67,19.5%,10.9%,8.6%,.277,1.67,.260,68.6%,8.22,5.52
MIAMI MARLINS,Elieser Hernandez,advanced,Pitcher,Handedness,2022,vs R,9.00,1.08,8.33,2.52,24.0%,2.9%,21.2%,.247,1.08,.258,74.3%,5.47,4.39
MIAMI MARLINS,Edward Cabrera,advanced,Pitcher,Handedness,2022,vs L,6.75,0.96,7.00,0.96,21.2%,3.0%,18.2%,.097,0.43,.087,27.8%,3.65,3.53
MIAMI MARLINS,Edward Cabrera,advanced,Pitcher,Handedness,2022,vs R,11.37,11.37,1.00,1.42,22.2%,22.2%,0.0%,.269,2.37,.353,96.2%,7.37,6.97
MIAMI MARLINS,Jesús Luzardo,advanced,Pitcher,Handedness,2022,vs L,12.15,1.35,9.00,0.00,39.1%,4.3%,34.8%,.091,0.45,.154,0.0%,0.86,1.31
MIAMI MARLINS,Jesús Luzardo,advanced,Pitcher,Handedness,2022,vs R,12.90,6.04,2.13,1.61,33.3%,15.6%,17.7%,.198,1.39,.267,78.7%,4.59,3.73
MIAMI MARLINS,Cody Poteet,advanced,Pitcher,Handedness,2022,vs L,5.14,3.86,1.33,0.00,15.7%,11.8%,3.9%,.156,0.93,.189,84.6%,3.25,4.42
