Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
NEW YORK METS,Brandon Nimmo,batted-ball,Batter,Handedness,2022,vs L as L,1.52,16.1%,50.6%,33.3%,0.0%,6.9%,4.5%,0.0%,23.6%,44.9%,31.5%,19.1%,56.2%,24.7%,537,198,339
NEW YORK METS,Brandon Nimmo,batted-ball,Batter,Handedness,2022,vs R as L,1.84,20.9%,51.3%,27.8%,4.5%,13.6%,9.9%,50.0%,36.9%,38.8%,24.4%,15.0%,51.9%,33.1%,930,354,576
NEW YORK METS,Brandon Nimmo,batted-ball,Batter,Handedness,2022,vs L,1.52,16.1%,50.6%,33.3%,0.0%,6.9%,4.5%,0.0%,23.6%,44.9%,31.5%,19.1%,56.2%,24.7%,537,198,339
NEW YORK METS,Brandon Nimmo,batted-ball,Batter,Handedness,2022,vs R,1.84,20.9%,51.3%,27.8%,4.5%,13.6%,9.9%,50.0%,36.9%,38.8%,24.4%,15.0%,51.9%,33.1%,930,354,576
NEW YORK METS,Starling Marte,batted-ball,Batter,Handedness,2022,vs L as R,1.32,27.1%,41.4%,31.4%,4.5%,18.2%,10.3%,0.0%,45.7%,37.1%,17.1%,15.7%,60.0%,24.3%,372,133,239
NEW YORK METS,Starling Marte,batted-ball,Batter,Handedness,2022,vs R as R,1.92,18.1%,53.8%,28.1%,8.3%,10.4%,12.0%,100.0%,42.4%,34.9%,22.7%,16.9%,61.6%,21.5%,837,275,562
NEW YORK METS,Starling Marte,batted-ball,Batter,Handedness,2022,vs L,1.32,27.1%,41.4%,31.4%,4.5%,18.2%,10.3%,0.0%,45.7%,37.1%,17.1%,15.7%,60.0%,24.3%,372,133,239
NEW YORK METS,Starling Marte,batted-ball,Batter,Handedness,2022,vs R,1.92,18.1%,53.8%,28.1%,8.3%,10.4%,12.0%,100.0%,42.4%,34.9%,22.7%,16.9%,61.6%,21.5%,837,275,562
NEW YORK METS,Francisco Lindor,batted-ball,Batter,Handedness,2022,vs R as L,1.16,18.8%,43.5%,37.6%,7.1%,14.3%,6.2%,100.0%,48.7%,30.5%,20.9%,16.6%,52.4%,31.0%,1065,389,676
NEW YORK METS,Francisco Lindor,batted-ball,Batter,Handedness,2022,vs L as R,0.97,11.0%,43.9%,45.1%,21.6%,13.5%,11.1%,0.0%,43.9%,28.0%,28.0%,30.5%,41.5%,28.0%,484,187,297
NEW YORK METS,Francisco Lindor,batted-ball,Batter,Handedness,2022,vs L,0.97,11.0%,43.9%,45.1%,21.6%,13.5%,11.1%,0.0%,43.9%,28.0%,28.0%,30.5%,41.5%,28.0%,484,187,297
NEW YORK METS,Francisco Lindor,batted-ball,Batter,Handedness,2022,vs R,1.16,18.8%,43.5%,37.6%,7.1%,14.3%,6.2%,100.0%,48.7%,30.5%,20.9%,16.6%,52.4%,31.0%,1065,389,676
NEW YORK METS,Pete Alonso,batted-ball,Batter,Handedness,2022,vs L as R,0.93,15.6%,40.6%,43.8%,14.3%,21.4%,11.5%,0.0%,48.4%,26.6%,25.0%,15.6%,50.0%,34.4%,364,151,213
NEW YORK METS,Pete Alonso,batted-ball,Batter,Handedness,2022,vs R as R,0.78,22.1%,34.2%,43.7%,15.7%,20.5%,3.1%,0.0%,49.5%,28.9%,21.6%,20.0%,44.2%,35.8%,1055,390,665
