Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
BALTIMORE ORIOLES,Jordan Lyles,batted-ball,Pitcher,Handedness,2022,vs L,1.00,23.0%,38.5%,38.5%,11.5%,17.3%,7.7%,33.3%,44.9%,34.8%,20.3%,17.4%,49.3%,33.3%,778,311,467
BALTIMORE ORIOLES,Jordan Lyles,batted-ball,Pitcher,Handedness,2022,vs R,1.17,19.6%,43.3%,37.1%,13.9%,5.6%,8.3%,0.0%,45.4%,35.1%,19.6%,19.1%,53.1%,27.8%,955,333,622
BALTIMORE ORIOLES,Spenser Watkins,batted-ball,Pitcher,Handedness,2022,vs L,2.06,25.7%,50.0%,24.3%,0.0%,0.0%,14.3%,0.0%,41.4%,34.3%,24.3%,10.0%,54.3%,35.7%,335,121,214
BALTIMORE ORIOLES,Spenser Watkins,batted-ball,Pitcher,Handedness,2022,vs R,0.58,15.6%,31.1%,53.3%,16.7%,10.4%,7.1%,0.0%,38.9%,30.0%,31.1%,17.8%,54.4%,27.8%,414,147,267
BALTIMORE ORIOLES,Tyler Wells,batted-ball,Pitcher,Handedness,2022,vs L,0.94,15.7%,40.7%,43.5%,21.3%,8.5%,4.5%,0.0%,45.0%,29.4%,25.7%,25.7%,50.5%,23.9%,554,178,376
BALTIMORE ORIOLES,Tyler Wells,batted-ball,Pitcher,Handedness,2022,vs R,0.66,17.2%,32.8%,50.0%,14.9%,9.0%,4.5%,50.0%,41.2%,25.7%,33.1%,16.9%,58.1%,25.0%,698,241,457
BALTIMORE ORIOLES,Dean Kremer,batted-ball,Pitcher,Handedness,2022,vs L,0.63,32.6%,26.1%,41.3%,10.5%,5.3%,0.0%,0.0%,42.6%,34.0%,23.4%,21.3%,55.3%,23.4%,299,107,192
BALTIMORE ORIOLES,Dean Kremer,batted-ball,Pitcher,Handedness,2022,vs R,0.78,10.9%,39.1%,50.0%,6.3%,3.1%,4.0%,0.0%,29.7%,34.4%,35.9%,10.9%,54.7%,34.4%,307,110,197
BALTIMORE ORIOLES,Austin Voth,batted-ball,Pitcher,Handedness,2022,vs L,1.04,30.9%,35.3%,33.8%,8.7%,8.7%,12.5%,100.0%,34.8%,39.1%,26.1%,13.0%,66.7%,20.3%,400,143,257
BALTIMORE ORIOLES,Austin Voth,batted-ball,Pitcher,Handedness,2022,vs R,1.08,23.1%,40.0%,36.9%,12.5%,16.7%,0.0%,0.0%,33.8%,44.6%,21.5%,18.5%,49.2%,32.3%,349,137,212
BALTIMORE ORIOLES,Jorge López,batted-ball,Pitcher,Handedness,2022,vs L,2.00,14.3%,57.1%,28.6%,0.0%,8.3%,4.2%,0.0%,28.6%,47.6%,23.8%,9.5%,61.9%,28.6%,284,104,180
