Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
SAN DIEGO PADRES,Trent Grisham,advanced,Batter,Handedness,2022,vs L as L,7.1%,25.3%,0.28,.198,.263,.337,.600,.140,.237,8,-3.5,.266,72
SAN DIEGO PADRES,Trent Grisham,advanced,Batter,Handedness,2022,vs R as L,13.5%,25.2%,0.53,.191,.307,.325,.632,.134,.242,22,-4.2,.287,87
SAN DIEGO PADRES,Trent Grisham,advanced,Batter,Handedness,2022,vs L,7.1%,25.3%,0.28,.198,.263,.337,.600,.140,.237,8,-3.5,.266,72
SAN DIEGO PADRES,Trent Grisham,advanced,Batter,Handedness,2022,vs R,13.5%,25.2%,0.53,.191,.307,.325,.632,.134,.242,22,-4.2,.287,87
SAN DIEGO PADRES,Jake Cronenworth,advanced,Batter,Handedness,2022,vs L as L,7.6%,25.2%,0.30,.254,.344,.377,.721,.123,.329,16,1.3,.323,111
SAN DIEGO PADRES,Jake Cronenworth,advanced,Batter,Handedness,2022,vs R as L,10.8%,17.3%,0.62,.230,.327,.387,.714,.158,.264,31,1.1,.315,106
SAN DIEGO PADRES,Jake Cronenworth,advanced,Batter,Handedness,2022,vs L,7.6%,25.2%,0.30,.254,.344,.377,.721,.123,.329,16,1.3,.323,111
SAN DIEGO PADRES,Jake Cronenworth,advanced,Batter,Handedness,2022,vs R,10.8%,17.3%,0.62,.230,.327,.387,.714,.158,.264,31,1.1,.315,106
SAN DIEGO PADRES,Manny Machado,advanced,Batter,Handedness,2022,vs L as R,12.6%,13.7%,0.92,.268,.358,.598,.955,.329,.226,18,6.6,.397,162
SAN DIEGO PADRES,Manny Machado,advanced,Batter,Handedness,2022,vs R as R,9.7%,21.9%,0.44,.319,.388,.502,.891,.183,.396,41,13.6,.382,151
SAN DIEGO PADRES,Manny Machado,advanced,Batter,Handedness,2022,vs L,12.6%,13.7%,0.92,.268,.358,.598,.955,.329,.226,18,6.6,.397,162
