Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
SAN DIEGO PADRES,Trent Grisham,batted-ball,Batter,Handedness,2022,vs L as L,1.70,3.6%,60.7%,35.7%,10.0%,15.0%,5.9%,20.0%,36.4%,39.4%,24.2%,21.2%,57.6%,21.2%,388,142,246
SAN DIEGO PADRES,Trent Grisham,batted-ball,Batter,Handedness,2022,vs R as L,0.96,16.4%,41.0%,42.5%,10.5%,8.8%,0.0%,60.0%,47.5%,28.1%,24.5%,18.0%,56.8%,25.2%,972,402,570
SAN DIEGO PADRES,Trent Grisham,batted-ball,Batter,Handedness,2022,vs L,1.70,3.6%,60.7%,35.7%,10.0%,15.0%,5.9%,20.0%,36.4%,39.4%,24.2%,21.2%,57.6%,21.2%,388,142,246
SAN DIEGO PADRES,Trent Grisham,batted-ball,Batter,Handedness,2022,vs R,0.96,16.4%,41.0%,42.5%,10.5%,8.8%,0.0%,60.0%,47.5%,28.1%,24.5%,18.0%,56.8%,25.2%,972,402,570
SAN DIEGO PADRES,Jake Cronenworth,batted-ball,Batter,Handedness,2022,vs L as L,1.19,16.0%,45.7%,38.3%,9.7%,9.7%,13.5%,0.0%,36.6%,37.8%,25.6%,25.6%,41.5%,32.9%,523,183,340
SAN DIEGO PADRES,Jake Cronenworth,batted-ball,Batter,Handedness,2022,vs R as L,0.59,20.1%,29.6%,50.3%,3.3%,5.6%,1.9%,0.0%,31.8%,36.3%,31.8%,15.1%,59.8%,25.1%,1019,397,622
SAN DIEGO PADRES,Jake Cronenworth,batted-ball,Batter,Handedness,2022,vs L,1.19,16.0%,45.7%,38.3%,9.7%,9.7%,13.5%,0.0%,36.6%,37.8%,25.6%,25.6%,41.5%,32.9%,523,183,340
SAN DIEGO PADRES,Jake Cronenworth,batted-ball,Batter,Handedness,2022,vs R,0.59,20.1%,29.6%,50.3%,3.3%,5.6%,1.9%,0.0%,31.8%,36.3%,31.8%,15.1%,59.8%,25.1%,1019,397,622
SAN DIEGO PADRES,Manny Machado,batted-ball,Batter,Handedness,2022,vs L as R,0.85,12.9%,40.0%,47.1%,18.2%,24.2%,7.1%,0.0%,38.6%,34.3%,27.1%,20.0%,34.3%,45.7%,320,126,194
SAN DIEGO PADRES,Manny Machado,batted-ball,Batter,Handedness,2022,vs R as R,1.11,17.4%,43.5%,39.1%,17.5%,11.1%,5.7%,0.0%,39.8%,35.4%,24.8%,19.3%,47.2%,33.5%,903,343,560
SAN DIEGO PADRES,Manny Machado,batted-ball,Batter,Handedness,2022,vs L,0.85,12.9%,40.0%,47.1%,18.2%,24.2%,7.1%,0.0%,38.6%,34.3%,27.1%,20.0%,34.3%,45.7%,320,126,194
SAN DIEGO PADRES,Manny Machado,batted-ball,Batter,Handedness,2022,vs R,1.11,17.4%,43.5%,39.1%,17.5%,11.1%,5.7%,0.0%,39.8%,35.4%,24.8%,19.3%,47.2%,33.5%,903,343,560
SAN DIEGO PADRES,Nomar Mazara,batted-ball,Batter,Handedness,2022,vs L as L,2.50,30.0%,50.0%,20.0%,0.0%,0.0%,0.0%,0.0%,40.0%,40.0%,20.0%,30.0%,50.0%,20.0%,57,20,37
SAN DIEGO PADRES,Nomar Mazara,batted-ball,Batter,Handedness,2022,vs R as L,0.82,25.0%,33.8%,41.2%,10.7%,7.1%,4.3%,0.0%,33.8%,33.8%,32.4%,22.1%,57.4%,20.6%,368,133,235
SAN DIEGO PADRES,Nomar Mazara,batted-ball,Batter,Handedness,2022,vs L,2.50,30.0%,50.0%,20.0%,0.0%,0.0%,0.0%,0.0%,40.0%,40.0%,20.0%,30.0%,50.0%,20.0%,57,20,37
SAN DIEGO PADRES,Nomar Mazara,batted-ball,Batter,Handedness,2022,vs R,0.82,25.0%,33.8%,41.2%,10.7%,7.1%,4.3%,0.0%,33.8%,33.8%,32.4%,22.1%,57.4%,20.6%,368,133,235
SAN DIEGO PADRES,Luke Voit,batted-ball,Batter,Handedness,2022,vs L as R,0.81,31.0%,31.0%,38.1%,6.3%,0.0%,0.0%,0.0%,50.0%,26.2%,23.8%,14.3%,52.4%,33.3%,376,151,225
SAN DIEGO PADRES,Luke Voit,batted-ball,Batter,Handedness,2022,vs R as R,0.91,22.8%,36.8%,40.4%,8.7%,21.7%,2.4%,0.0%,51.8%,33.3%,14.9%,15.8%,43.9%,40.4%,789,298,491
SAN DIEGO PADRES,Luke Voit,batted-ball,Batter,Handedness,2022,vs L,0.81,31.0%,31.0%,38.1%,6.3%,0.0%,0.0%,0.0%,50.0%,26.2%,23.8%,14.3%,52.4%,33.3%,376,151,225
