Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
SAN DIEGO PADRES,Matthew Batten,advanced,Pitcher,Handedness,2022,vs L,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.000,0.00,.000,100.0%,3.11,7.58
SAN DIEGO PADRES,Matthew Batten,advanced,Pitcher,Handedness,2022,vs R,0.00,0.00,0.00,27.00,0.0%,0.0%,0.0%,.500,3.00,.000,100.0%,42.11,12.05
SAN DIEGO PADRES,Joe Musgrove,advanced,Pitcher,Handedness,2022,vs L,9.39,2.68,3.50,0.50,26.4%,7.5%,18.9%,.187,0.97,.246,84.6%,2.81,3.33
SAN DIEGO PADRES,Joe Musgrove,advanced,Pitcher,Handedness,2022,vs R,8.34,1.39,6.00,1.19,24.3%,4.0%,20.2%,.202,0.88,.231,79.8%,3.51,3.17
SAN DIEGO PADRES,Blake Snell,advanced,Pitcher,Handedness,2022,vs L,12.27,4.91,2.50,0.82,33.3%,13.3%,20.0%,.158,1.09,.227,77.6%,3.47,3.38
SAN DIEGO PADRES,Blake Snell,advanced,Pitcher,Handedness,2022,vs R,11.72,4.84,2.42,1.02,29.1%,12.0%,17.1%,.241,1.47,.326,64.7%,3.59,3.85
SAN DIEGO PADRES,Yu Darvish,advanced,Pitcher,Handedness,2022,vs L,8.08,2.24,3.62,0.34,22.6%,6.3%,16.3%,.195,0.96,.245,81.7%,2.73,3.74
SAN DIEGO PADRES,Yu Darvish,advanced,Pitcher,Handedness,2022,vs R,8.08,1.29,6.29,1.29,22.2%,3.5%,18.7%,.236,1.02,.269,64.9%,3.97,4.21
SAN DIEGO PADRES,Sean Manaea,advanced,Pitcher,Handedness,2022,vs L,7.96,4.15,1.92,1.04,22.3%,11.7%,10.7%,.165,1.04,.185,74.6%,4.22,4.27
SAN DIEGO PADRES,Sean Manaea,advanced,Pitcher,Handedness,2022,vs R,9.70,3.15,3.08,1.31,25.6%,8.3%,17.3%,.245,1.28,.298,71.6%,3.90,3.67
SAN DIEGO PADRES,Mike Clevinger,advanced,Pitcher,Handedness,2022,vs L,8.72,3.32,2.63,2.08,22.3%,8.5%,13.8%,.250,1.34,.271,73.9%,5.42,4.34
SAN DIEGO PADRES,Mike Clevinger,advanced,Pitcher,Handedness,2022,vs R,9.16,2.41,3.80,0.00,25.0%,6.6%,18.4%,.186,0.96,.255,73.7%,2.04,3.40
SAN DIEGO PADRES,Taylor Rogers,advanced,Pitcher,Handedness,2022,vs L,10.45,1.74,6.00,0.00,30.0%,5.0%,25.0%,.222,0.97,.320,27.3%,1.66,2.96
SAN DIEGO PADRES,Taylor Rogers,advanced,Pitcher,Handedness,2022,vs R,10.30,1.78,5.80,0.36,27.4%,4.7%,22.6%,.234,1.07,.323,72.8%,2.64,3.30
SAN DIEGO PADRES,Luis García,advanced,Pitcher,Handedness,2022,vs L,8.04,3.45,2.33,0.57,20.6%,8.8%,11.8%,.267,1.40,.326,69.4%,3.49,3.71
SAN DIEGO PADRES,Luis García,advanced,Pitcher,Handedness,2022,vs R,11.50,1.50,7.67,0.50,30.3%,3.9%,26.3%,.250,1.17,.354,58.3%,1.94,2.13
SAN DIEGO PADRES,Nabil Crismatt,advanced,Pitcher,Handedness,2022,vs L,4.26,3.79,1.13,0.47,12.2%,10.8%,1.4%,.194,1.11,.214,76.5%,4.11,4.37
