Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
PHILADELPHIA PHILLIES,Garrett Stubbs,advanced,Pitcher,Handedness,2022,vs L,0.00,0.00,0.00,27.00,0.0%,0.0%,0.0%,.500,3.00,.000,100.0%,42.11,7.58
PHILADELPHIA PHILLIES,Garrett Stubbs,advanced,Pitcher,Handedness,2022,vs R,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.000,0.00,.000,100.0%,3.11,5.35
PHILADELPHIA PHILLIES,Zack Wheeler,advanced,Pitcher,Handedness,2022,vs L,9.72,2.52,3.86,0.72,27.0%,7.0%,20.0%,.201,1.02,.262,73.8%,2.95,3.22
PHILADELPHIA PHILLIES,Zack Wheeler,advanced,Pitcher,Handedness,2022,vs R,10.00,1.40,7.14,0.20,27.5%,3.8%,23.6%,.246,1.09,.342,79.5%,1.91,2.88
PHILADELPHIA PHILLIES,Cristopher Sánchez,advanced,Pitcher,Handedness,2022,vs L,8.64,2.16,4.00,0.00,22.9%,5.7%,17.1%,.226,1.08,.304,54.5%,2.63,3.35
PHILADELPHIA PHILLIES,Cristopher Sánchez,advanced,Pitcher,Handedness,2022,vs R,5.87,4.11,1.43,1.76,16.1%,11.3%,4.8%,.167,1.04,.146,93.8%,5.91,4.83
PHILADELPHIA PHILLIES,Seranthony Domínguez,advanced,Pitcher,Handedness,2022,vs L,9.24,2.84,3.25,0.71,25.5%,7.8%,17.6%,.196,1.03,.242,94.8%,3.03,3.53
PHILADELPHIA PHILLIES,Seranthony Domínguez,advanced,Pitcher,Handedness,2022,vs R,11.95,1.77,6.75,0.44,36.0%,5.3%,30.7%,.171,0.79,.262,76.9%,1.83,2.14
PHILADELPHIA PHILLIES,Brad Hand,advanced,Pitcher,Handedness,2022,vs L,9.82,6.55,1.50,0.00,25.0%,16.7%,8.3%,.237,1.55,.321,70.6%,3.11,4.06
PHILADELPHIA PHILLIES,Brad Hand,advanced,Pitcher,Handedness,2022,vs R,7.31,2.81,2.60,0.00,19.4%,7.5%,11.9%,.172,0.94,.222,84.2%,3.17,4.94
PHILADELPHIA PHILLIES,Corey Knebel,advanced,Pitcher,Handedness,2022,vs L,6.75,4.82,1.40,0.48,18.4%,13.2%,5.3%,.185,1.18,.216,68.0%,3.91,4.89
PHILADELPHIA PHILLIES,Corey Knebel,advanced,Pitcher,Handedness,2022,vs R,9.53,6.88,1.38,1.06,23.1%,16.7%,6.4%,.203,1.53,.250,74.4%,4.99,5.22
PHILADELPHIA PHILLIES,José Alvarado,advanced,Pitcher,Handedness,2022,vs L,10.80,6.48,1.67,0.00,24.4%,14.6%,9.8%,.286,1.92,.400,87.5%,2.87,3.59
PHILADELPHIA PHILLIES,José Alvarado,advanced,Pitcher,Handedness,2022,vs R,14.58,6.48,2.25,0.54,36.0%,16.0%,20.0%,.230,1.56,.382,58.6%,2.99,3.01
PHILADELPHIA PHILLIES,Andrew Bellatti,advanced,Pitcher,Handedness,2022,vs L,11.81,4.22,2.80,2.53,28.6%,10.2%,18.4%,.295,1.69,.370,79.7%,5.55,4.13
