Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
PITTSBURGH PIRATES,Diego Castillo,advanced,Pitcher,Handedness,2022,vs L,0.00,0.00,0.00,6.75,0.0%,0.0%,0.0%,.500,2.25,.400,-115.4%,15.11,6.48
PITTSBURGH PIRATES,Diego Castillo,advanced,Pitcher,Handedness,2022,vs R,13.50,40.50,0.33,0.00,12.5%,37.5%,-25.0%,.600,9.00,.750,83.3%,13.61,15.85
PITTSBURGH PIRATES,Josh VanMeter,advanced,Pitcher,Handedness,2022,vs L,0.00,27.00,0.00,13.50,0.0%,28.6%,-28.6%,.600,7.50,.500,100.0%,31.61,14.35
PITTSBURGH PIRATES,Josh VanMeter,advanced,Pitcher,Handedness,2022,vs R,0.00,0.00,0.00,15.43,0.0%,0.0%,0.0%,.600,5.14,.500,0.0%,25.40,8.86
PITTSBURGH PIRATES,José Quintana,advanced,Pitcher,Handedness,2022,vs L,12.51,3.29,3.80,0.00,33.3%,8.8%,24.6%,.196,1.10,.313,81.3%,1.65,2.52
PITTSBURGH PIRATES,José Quintana,advanced,Pitcher,Handedness,2022,vs R,7.41,2.76,2.68,0.88,19.3%,7.2%,12.1%,.264,1.35,.312,72.2%,3.65,3.99
PITTSBURGH PIRATES,Mitch Keller,advanced,Pitcher,Handedness,2022,vs L,6.52,3.96,1.65,0.70,16.6%,10.1%,6.5%,.282,1.53,.328,79.2%,4.14,4.56
PITTSBURGH PIRATES,Mitch Keller,advanced,Pitcher,Handedness,2022,vs R,8.73,3.05,2.87,1.02,22.1%,7.7%,14.4%,.277,1.44,.341,61.7%,3.85,3.70
PITTSBURGH PIRATES,JT Brubaker,advanced,Pitcher,Handedness,2022,vs L,9.07,3.74,2.42,0.99,23.4%,9.6%,13.7%,.240,1.34,.296,71.4%,3.90,4.43
PITTSBURGH PIRATES,JT Brubaker,advanced,Pitcher,Handedness,2022,vs R,9.15,4.14,2.21,0.87,21.1%,9.5%,11.6%,.273,1.62,.336,65.2%,3.93,4.12
PITTSBURGH PIRATES,Zach Thompson,advanced,Pitcher,Handedness,2022,vs L,6.96,4.18,1.67,1.39,17.9%,10.7%,7.1%,.220,1.30,.234,72.2%,5.06,4.71
PITTSBURGH PIRATES,Zach Thompson,advanced,Pitcher,Handedness,2022,vs R,6.32,3.45,1.83,2.30,15.9%,8.7%,7.2%,.294,1.56,.302,79.4%,6.17,4.38
PITTSBURGH PIRATES,David Bednar,advanced,Pitcher,Handedness,2022,vs L,14.02,4.15,3.38,0.52,38.0%,11.3%,26.8%,.190,1.15,.314,91.4%,2.13,2.50
PITTSBURGH PIRATES,David Bednar,advanced,Pitcher,Handedness,2022,vs R,10.58,1.46,7.25,1.09,30.2%,4.2%,26.0%,.198,0.89,.254,69.1%,2.95,3.24
PITTSBURGH PIRATES,Yerry De Los Santos,advanced,Pitcher,Handedness,2022,vs L,8.22,5.87,1.40,2.35,21.9%,15.6%,6.3%,.185,1.30,.167,83.3%,6.63,4.99
PITTSBURGH PIRATES,Yerry De Los Santos,advanced,Pitcher,Handedness,2022,vs R,12.96,0.00,12.00,1.08,37.5%,0.0%,37.5%,.200,0.72,.263,65.2%,1.79,1.30
PITTSBURGH PIRATES,Wil Crowe,advanced,Pitcher,Handedness,2022,vs L,10.18,4.43,2.30,0.44,27.1%,11.8%,15.3%,.178,1.13,.235,64.8%,2.96,3.35
PITTSBURGH PIRATES,Wil Crowe,advanced,Pitcher,Handedness,2022,vs R,8.01,3.86,2.08,0.30,21.6%,10.4%,11.2%,.200,1.15,.256,73.0%,3.24,4.34
PITTSBURGH PIRATES,Chris Stratton,advanced,Pitcher,Handedness,2022,vs L,7.24,2.63,2.75,1.32,16.4%,6.0%,10.4%,.361,1.90,.400,43.1%,4.28,3.90
PITTSBURGH PIRATES,Chris Stratton,advanced,Pitcher,Handedness,2022,vs R,8.37,2.66,3.14,0.76,22.4%,7.1%,15.3%,.250,1.23,.303,80.9%,3.36,4.15
PITTSBURGH PIRATES,Duane Underwood Jr.,advanced,Pitcher,Handedness,2022,vs L,13.00,2.00,6.50,0.00,32.5%,5.0%,27.5%,.316,1.56,.480,50.0%,0.89,2.05
PITTSBURGH PIRATES,Duane Underwood Jr.,advanced,Pitcher,Handedness,2022,vs R,8.78,4.73,1.86,0.00,23.2%,12.5%,10.7%,.163,1.13,.222,80.0%,2.73,3.63
PITTSBURGH PIRATES,Dillon Peters,advanced,Pitcher,Handedness,2022,vs L,7.84,4.35,1.80,0.87,23.7%,13.2%,10.5%,.097,0.77,.087,30.3%,4.08,3.97
PITTSBURGH PIRATES,Dillon Peters,advanced,Pitcher,Handedness,2022,vs R,7.50,5.50,1.36,0.00,19.7%,14.5%,5.3%,.200,1.33,.260,75.0%,3.28,4.85
PITTSBURGH PIRATES,Chase De Jong,advanced,Pitcher,Handedness,2022,vs L,7.04,1.17,6.00,1.76,21.1%,3.5%,17.5%,.200,0.85,.200,68.2%,4.48,4.07
