Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
COLORADO ROCKIES,Connor Joe,batted-ball,Batter,Handedness,2022,vs L as R,1.13,21.4%,41.7%,36.9%,6.5%,3.2%,8.6%,0.0%,36.9%,41.7%,21.4%,25.0%,47.6%,27.4%,533,205,328
COLORADO ROCKIES,Connor Joe,batted-ball,Batter,Handedness,2022,vs R as R,1.50,24.8%,45.1%,30.1%,10.9%,8.7%,0.0%,0.0%,33.3%,40.5%,26.1%,26.1%,50.3%,23.5%,932,358,574
COLORADO ROCKIES,Connor Joe,batted-ball,Batter,Handedness,2022,vs L,1.13,21.4%,41.7%,36.9%,6.5%,3.2%,8.6%,0.0%,36.9%,41.7%,21.4%,25.0%,47.6%,27.4%,533,205,328
COLORADO ROCKIES,Connor Joe,batted-ball,Batter,Handedness,2022,vs R,1.50,24.8%,45.1%,30.1%,10.9%,8.7%,0.0%,0.0%,33.3%,40.5%,26.1%,26.1%,50.3%,23.5%,932,358,574
COLORADO ROCKIES,José Iglesias,batted-ball,Batter,Handedness,2022,vs L as R,1.39,28.6%,41.6%,29.9%,0.0%,8.7%,15.6%,0.0%,46.8%,35.1%,18.2%,18.2%,62.3%,19.5%,317,73,244
COLORADO ROCKIES,José Iglesias,batted-ball,Batter,Handedness,2022,vs R as R,2.10,20.5%,53.8%,25.6%,12.5%,0.0%,8.3%,0.0%,37.8%,35.9%,26.3%,23.1%,55.1%,21.8%,684,207,477
COLORADO ROCKIES,José Iglesias,batted-ball,Batter,Handedness,2022,vs L,1.39,28.6%,41.6%,29.9%,0.0%,8.7%,15.6%,0.0%,46.8%,35.1%,18.2%,18.2%,62.3%,19.5%,317,73,244
COLORADO ROCKIES,José Iglesias,batted-ball,Batter,Handedness,2022,vs R,2.10,20.5%,53.8%,25.6%,12.5%,0.0%,8.3%,0.0%,37.8%,35.9%,26.3%,23.1%,55.1%,21.8%,684,207,477
COLORADO ROCKIES,Charlie Blackmon,batted-ball,Batter,Handedness,2022,vs L as L,1.29,22.9%,43.4%,33.7%,7.1%,3.6%,13.9%,50.0%,34.1%,38.8%,27.1%,14.1%,62.4%,23.5%,376,109,267
COLORADO ROCKIES,Charlie Blackmon,batted-ball,Batter,Handedness,2022,vs R as L,1.13,22.4%,41.2%,36.5%,11.3%,21.0%,1.4%,0.0%,42.8%,38.7%,18.5%,14.5%,52.6%,32.9%,841,295,546
