Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
KANSAS CITY ROYALS,Whit Merrifield,batted-ball,Batter,Handedness,2022,vs L as R,0.86,20.7%,36.6%,42.7%,2.9%,5.7%,3.3%,50.0%,44.0%,31.0%,25.0%,9.5%,54.8%,35.7%,394,145,249
KANSAS CITY ROYALS,Whit Merrifield,batted-ball,Batter,Handedness,2022,vs R as R,0.99,22.2%,38.6%,39.1%,8.6%,3.7%,6.3%,0.0%,28.5%,42.0%,29.5%,17.4%,58.5%,24.2%,997,340,657
KANSAS CITY ROYALS,Whit Merrifield,batted-ball,Batter,Handedness,2022,vs L,0.86,20.7%,36.6%,42.7%,2.9%,5.7%,3.3%,50.0%,44.0%,31.0%,25.0%,9.5%,54.8%,35.7%,394,145,249
KANSAS CITY ROYALS,Whit Merrifield,batted-ball,Batter,Handedness,2022,vs R,0.99,22.2%,38.6%,39.1%,8.6%,3.7%,6.3%,0.0%,28.5%,42.0%,29.5%,17.4%,58.5%,24.2%,997,340,657
KANSAS CITY ROYALS,Andrew Benintendi,batted-ball,Batter,Handedness,2022,vs L as L,1.77,22.8%,49.4%,27.8%,4.5%,4.5%,10.3%,0.0%,26.3%,45.0%,28.7%,8.8%,63.7%,27.5%,372,139,233
KANSAS CITY ROYALS,Andrew Benintendi,batted-ball,Batter,Handedness,2022,vs R as L,1.34,20.6%,45.5%,33.9%,3.1%,3.1%,4.7%,0.0%,28.4%,42.6%,28.9%,8.9%,57.4%,33.7%,981,391,590
KANSAS CITY ROYALS,Andrew Benintendi,batted-ball,Batter,Handedness,2022,vs L,1.77,22.8%,49.4%,27.8%,4.5%,4.5%,10.3%,0.0%,26.3%,45.0%,28.7%,8.8%,63.7%,27.5%,372,139,233
KANSAS CITY ROYALS,Andrew Benintendi,batted-ball,Batter,Handedness,2022,vs R,1.34,20.6%,45.5%,33.9%,3.1%,3.1%,4.7%,0.0%,28.4%,42.6%,28.9%,8.9%,57.4%,33.7%,981,391,590
KANSAS CITY ROYALS,Bobby Witt Jr.,batted-ball,Batter,Handedness,2022,vs R as L,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,6,2,4
KANSAS CITY ROYALS,Bobby Witt Jr.,batted-ball,Batter,Handedness,2022,vs L as R,0.59,13.6%,32.2%,54.2%,12.5%,9.4%,15.8%,0.0%,40.7%,35.6%,23.7%,20.3%,47.5%,32.2%,325,94,231
KANSAS CITY ROYALS,Bobby Witt Jr.,batted-ball,Batter,Handedness,2022,vs R as R,0.91,18.8%,38.7%,42.5%,11.4%,11.4%,5.6%,0.0%,35.5%,37.6%,26.9%,15.6%,49.5%,34.9%,950,320,630
KANSAS CITY ROYALS,Bobby Witt Jr.,batted-ball,Batter,Handedness,2022,vs L,0.59,13.6%,32.2%,54.2%,12.5%,9.4%,15.8%,0.0%,40.7%,35.6%,23.7%,20.3%,47.5%,32.2%,325,94,231
KANSAS CITY ROYALS,Bobby Witt Jr.,batted-ball,Batter,Handedness,2022,vs R,0.91,18.8%,38.7%,42.5%,11.4%,11.4%,5.6%,0.0%,35.5%,37.6%,26.9%,15.6%,49.5%,34.9%,956,322,634
KANSAS CITY ROYALS,Hunter Dozier,batted-ball,Batter,Handedness,2022,vs L as R,1.59,18.5%,50.0%,31.5%,11.8%,5.9%,7.4%,0.0%,38.9%,31.5%,29.6%,16.7%,64.8%,18.5%,334,125,209
KANSAS CITY ROYALS,Hunter Dozier,batted-ball,Batter,Handedness,2022,vs R as R,0.95,19.4%,39.4%,41.3%,15.6%,12.5%,8.2%,0.0%,48.1%,30.8%,21.2%,19.9%,48.1%,32.1%,832,295,537
KANSAS CITY ROYALS,Hunter Dozier,batted-ball,Batter,Handedness,2022,vs L,1.59,18.5%,50.0%,31.5%,11.8%,5.9%,7.4%,0.0%,38.9%,31.5%,29.6%,16.7%,64.8%,18.5%,334,125,209
KANSAS CITY ROYALS,Hunter Dozier,batted-ball,Batter,Handedness,2022,vs R,0.95,19.4%,39.4%,41.3%,15.6%,12.5%,8.2%,0.0%,48.1%,30.8%,21.2%,19.9%,48.1%,32.1%,832,295,537
KANSAS CITY ROYALS,Vinnie Pasquantino,batted-ball,Batter,Handedness,2022,vs L as L,4.00,0.0%,80.0%,20.0%,0.0%,0.0%,0.0%,0.0%,80.0%,20.0%,0.0%,20.0%,40.0%,40.0%,29,11,18
KANSAS CITY ROYALS,Vinnie Pasquantino,batted-ball,Batter,Handedness,2022,vs R as L,0.93,19.4%,38.9%,41.7%,0.0%,13.3%,0.0%,0.0%,44.4%,36.1%,19.4%,8.3%,61.1%,30.6%,184,82,102
KANSAS CITY ROYALS,Vinnie Pasquantino,batted-ball,Batter,Handedness,2022,vs L,4.00,0.0%,80.0%,20.0%,0.0%,0.0%,0.0%,0.0%,80.0%,20.0%,0.0%,20.0%,40.0%,40.0%,29,11,18
KANSAS CITY ROYALS,Vinnie Pasquantino,batted-ball,Batter,Handedness,2022,vs R,0.93,19.4%,38.9%,41.7%,0.0%,13.3%,0.0%,0.0%,44.4%,36.1%,19.4%,8.3%,61.1%,30.6%,184,82,102
KANSAS CITY ROYALS,Kyle Isbel,batted-ball,Batter,Handedness,2022,vs L as L,1.67,11.1%,55.6%,33.3%,0.0%,0.0%,10.0%,0.0%,38.9%,33.3%,27.8%,11.1%,55.6%,33.3%,97,29,68
KANSAS CITY ROYALS,Kyle Isbel,batted-ball,Batter,Handedness,2022,vs R as L,1.38,25.3%,43.4%,31.3%,15.4%,7.7%,2.8%,50.0%,49.4%,29.4%,21.2%,12.9%,48.2%,38.8%,467,166,301
KANSAS CITY ROYALS,Kyle Isbel,batted-ball,Batter,Handedness,2022,vs L,1.67,11.1%,55.6%,33.3%,0.0%,0.0%,10.0%,0.0%,38.9%,33.3%,27.8%,11.1%,55.6%,33.3%,97,29,68
KANSAS CITY ROYALS,Kyle Isbel,batted-ball,Batter,Handedness,2022,vs R,1.38,25.3%,43.4%,31.3%,15.4%,7.7%,2.8%,50.0%,49.4%,29.4%,21.2%,12.9%,48.2%,38.8%,467,166,301
KANSAS CITY ROYALS,Nicky Lopez,batted-ball,Batter,Handedness,2022,vs L as L,2.30,31.3%,47.9%,20.8%,0.0%,0.0%,4.3%,0.0%,25.0%,40.4%,34.6%,19.2%,57.7%,23.1%,227,80,147
KANSAS CITY ROYALS,Nicky Lopez,batted-ball,Batter,Handedness,2022,vs R as L,2.00,18.7%,54.2%,27.1%,15.6%,0.0%,5.6%,0.0%,29.1%,35.5%,35.5%,19.2%,60.5%,20.3%,798,272,526
