Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
DETROIT TIGERS,Riley Greene,advanced,Batter,Handedness,2022,vs L as L,6.1%,24.2%,0.25,.258,.303,.355,.658,.097,.348,3,-0.5,.289,87
DETROIT TIGERS,Riley Greene,advanced,Batter,Handedness,2022,vs R as L,15.5%,18.3%,0.85,.250,.366,.333,.700,.083,.304,9,0.6,.321,109
DETROIT TIGERS,Riley Greene,advanced,Batter,Handedness,2022,vs L,6.1%,24.2%,0.25,.258,.303,.355,.658,.097,.348,3,-0.5,.289,87
DETROIT TIGERS,Riley Greene,advanced,Batter,Handedness,2022,vs R,15.5%,18.3%,0.85,.250,.366,.333,.700,.083,.304,9,0.6,.321,109
DETROIT TIGERS,Javier Báez,advanced,Batter,Handedness,2022,vs L as R,1.4%,17.8%,0.08,.338,.342,.592,.934,.254,.386,13,4.9,.394,160
DETROIT TIGERS,Javier Báez,advanced,Batter,Handedness,2022,vs R as R,5.1%,26.5%,0.19,.174,.222,.311,.533,.137,.205,13,-14.0,.235,49
DETROIT TIGERS,Javier Báez,advanced,Batter,Handedness,2022,vs L,1.4%,17.8%,0.08,.338,.342,.592,.934,.254,.386,13,4.9,.394,160
DETROIT TIGERS,Javier Báez,advanced,Batter,Handedness,2022,vs R,5.1%,26.5%,0.19,.174,.222,.311,.533,.137,.205,13,-14.0,.235,49
DETROIT TIGERS,Miguel Cabrera,advanced,Batter,Handedness,2022,vs L as R,12.2%,19.5%,0.63,.357,.427,.371,.798,.014,.446,12,2.6,.350,129
DETROIT TIGERS,Miguel Cabrera,advanced,Batter,Handedness,2022,vs R as R,2.8%,26.9%,0.10,.263,.287,.341,.629,.078,.347,19,-5.9,.276,77
DETROIT TIGERS,Miguel Cabrera,advanced,Batter,Handedness,2022,vs L,12.2%,19.5%,0.63,.357,.427,.371,.798,.014,.446,12,2.6,.350,129
DETROIT TIGERS,Miguel Cabrera,advanced,Batter,Handedness,2022,vs R,2.8%,26.9%,0.10,.263,.287,.341,.629,.078,.347,19,-5.9,.276,77
DETROIT TIGERS,Jonathan Schoop,advanced,Batter,Handedness,2022,vs L as R,3.8%,20.3%,0.19,.200,.228,.280,.508,.080,.237,3,-5.8,.217,36
DETROIT TIGERS,Jonathan Schoop,advanced,Batter,Handedness,2022,vs R as R,3.6%,19.4%,0.18,.221,.258,.338,.595,.117,.258,19,-9.7,.262,68
