Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
DETROIT TIGERS,Harold Castro,advanced,Pitcher,Handedness,2022,vs L,13.50,0.00,1.00,0.00,33.3%,0.0%,33.3%,.000,0.00,.000,100.0%,4.61,6.85
DETROIT TIGERS,Harold Castro,advanced,Pitcher,Handedness,2022,vs R,0.00,3.86,0.00,0.00,0.0%,9.1%,-9.1%,.556,2.57,.500,66.7%,4.40,6.95
DETROIT TIGERS,Tucker Barnhart,advanced,Pitcher,Handedness,2022,vs L,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.500,1.50,.500,0.0%,3.11,3.11
DETROIT TIGERS,Tucker Barnhart,advanced,Pitcher,Handedness,2022,vs R,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.667,6.00,.667,100.0%,3.11,12.05
DETROIT TIGERS,Tarik Skubal,advanced,Pitcher,Handedness,2022,vs L,7.23,0.48,15.00,0.48,20.5%,1.4%,19.2%,.257,1.02,.309,48.4%,2.52,2.78
DETROIT TIGERS,Tarik Skubal,advanced,Pitcher,Handedness,2022,vs R,9.71,2.84,3.42,0.95,26.3%,7.7%,18.6%,.245,1.24,.313,72.5%,3.27,3.45
DETROIT TIGERS,Elvin Rodriguez,advanced,Pitcher,Handedness,2022,vs L,8.10,4.05,2.00,4.05,20.7%,10.3%,10.3%,.308,1.65,.294,14.7%,8.51,4.45
DETROIT TIGERS,Elvin Rodriguez,advanced,Pitcher,Handedness,2022,vs R,6.59,3.95,1.67,3.95,14.9%,9.0%,6.0%,.333,1.90,.318,59.1%,8.89,6.02
DETROIT TIGERS,Drew Hutchison,advanced,Pitcher,Handedness,2022,vs L,7.90,5.93,1.33,1.32,19.4%,14.5%,4.8%,.226,1.54,.256,82.4%,5.23,5.73
DETROIT TIGERS,Drew Hutchison,advanced,Pitcher,Handedness,2022,vs R,4.15,3.32,1.25,0.42,10.9%,8.7%,2.2%,.235,1.25,.247,58.6%,3.89,4.95
DETROIT TIGERS,Michael Pineda,advanced,Pitcher,Handedness,2022,vs L,4.42,2.45,1.80,2.45,11.5%,6.4%,5.1%,.274,1.36,.254,83.3%,6.49,5.22
DETROIT TIGERS,Michael Pineda,advanced,Pitcher,Handedness,2022,vs R,4.66,0.47,10.00,1.40,13.5%,1.4%,12.2%,.260,1.03,.267,88.6%,4.25,4.39
DETROIT TIGERS,Beau Brieske,advanced,Pitcher,Handedness,2022,vs L,6.44,3.22,2.00,0.99,17.3%,8.7%,8.7%,.206,1.13,.224,76.3%,4.18,4.80
DETROIT TIGERS,Beau Brieske,advanced,Pitcher,Handedness,2022,vs R,5.56,2.38,2.33,1.99,14.8%,6.3%,8.5%,.260,1.26,.254,75.0%,5.60,4.77
DETROIT TIGERS,Gregory Soto,advanced,Pitcher,Handedness,2022,vs L,10.80,5.40,2.00,0.00,25.6%,12.8%,12.8%,.250,1.56,.364,93.3%,3.23,4.30
DETROIT TIGERS,Gregory Soto,advanced,Pitcher,Handedness,2022,vs R,8.61,3.91,2.20,0.39,23.4%,10.6%,12.8%,.200,1.13,.259,65.2%,3.46,4.58
DETROIT TIGERS,Michael Fulmer,advanced,Pitcher,Handedness,2022,vs L,8.03,5.11,1.57,0.73,20.4%,13.0%,7.4%,.250,1.46,.303,69.9%,4.57,5.21
DETROIT TIGERS,Michael Fulmer,advanced,Pitcher,Handedness,2022,vs R,9.43,3.86,2.44,0.00,26.8%,11.0%,15.9%,.099,0.76,.140,82.4%,2.44,4.15
DETROIT TIGERS,Andrew Chafin,advanced,Pitcher,Handedness,2022,vs L,12.41,4.38,2.83,0.00,34.0%,12.0%,22.0%,.167,1.05,.269,85.7%,2.06,2.42
DETROIT TIGERS,Andrew Chafin,advanced,Pitcher,Handedness,2022,vs R,9.60,1.20,8.00,0.60,27.1%,3.4%,23.7%,.196,0.87,.250,60.3%,2.24,3.46
DETROIT TIGERS,Alex Lange,advanced,Pitcher,Handedness,2022,vs L,10.05,3.14,3.20,0.00,28.6%,8.9%,19.6%,.200,1.05,.286,73.3%,1.92,3.28
DETROIT TIGERS,Alex Lange,advanced,Pitcher,Handedness,2022,vs R,12.81,5.03,2.55,0.46,32.9%,12.9%,20.0%,.183,1.22,.279,81.3%,2.91,3.08
DETROIT TIGERS,Joe Jiménez,advanced,Pitcher,Handedness,2022,vs L,12.51,1.98,6.33,0.66,33.9%,5.4%,28.6%,.226,1.10,.333,80.9%,1.94,3.06
DETROIT TIGERS,Joe Jiménez,advanced,Pitcher,Handedness,2022,vs R,11.70,2.25,5.20,0.90,32.9%,6.3%,26.6%,.192,0.95,.261,55.6%,2.56,2.68
DETROIT TIGERS,Jason Foley,advanced,Pitcher,Handedness,2022,vs L,4.82,3.86,1.25,0.00,10.4%,8.3%,2.1%,.357,2.04,.405,81.0%,3.97,5.40
DETROIT TIGERS,Jason Foley,advanced,Pitcher,Handedness,2022,vs R,5.82,1.66,3.50,0.00,16.3%,4.7%,11.6%,.284,1.25,.338,70.4%,2.37,3.54
DETROIT TIGERS,Will Vest,advanced,Pitcher,Handedness,2022,vs L,9.64,5.14,1.88,0.64,25.9%,13.8%,12.1%,.213,1.29,.265,78.3%,3.61,3.85
DETROIT TIGERS,Will Vest,advanced,Pitcher,Handedness,2022,vs R,9.47,1.42,6.67,0.95,26.0%,3.9%,22.1%,.257,1.11,.314,72.9%,3.00,2.89
DETROIT TIGERS,Tyler Alexander,advanced,Pitcher,Handedness,2022,vs L,4.76,1.59,3.00,0.00,13.0%,4.3%,8.7%,.286,1.24,.316,71.4%,2.58,3.90
DETROIT TIGERS,Tyler Alexander,advanced,Pitcher,Handedness,2022,vs R,5.50,2.50,2.20,1.50,13.9%,6.3%,7.6%,.278,1.39,.283,62.5%,4.89,5.04
DETROIT TIGERS,Rony García,advanced,Pitcher,Handedness,2022,vs L,9.89,1.90,5.20,1.14,28.0%,5.4%,22.6%,.186,0.89,.224,61.8%,3.32,3.88
DETROIT TIGERS,Rony García,advanced,Pitcher,Handedness,2022,vs R,8.03,2.92,2.75,2.19,22.2%,8.1%,14.1%,.242,1.22,.254,78.7%,5.46,3.93
DETROIT TIGERS,Matt Manning,advanced,Pitcher,Handedness,2022,vs L,4.50,0.00,2.00,0.00,14.3%,0.0%,14.3%,.214,0.75,.250,100.0%,2.11,2.48
DETROIT TIGERS,Matt Manning,advanced,Pitcher,Handedness,2022,vs R,4.50,0.00,2.00,2.25,13.3%,0.0%,13.3%,.200,0.75,.167,62.5%,5.36,4.35
DETROIT TIGERS,Casey Mize,advanced,Pitcher,Handedness,2022,vs L,2.08,4.15,0.50,2.08,5.9%,11.8%,-5.9%,.133,0.92,.077,76.9%,7.03,6.44
DETROIT TIGERS,Casey Mize,advanced,Pitcher,Handedness,2022,vs R,4.76,0.00,3.00,0.00,10.7%,0.0%,10.7%,.393,1.94,.440,63.6%,2.05,4.94
DETROIT TIGERS,Wily Peralta,advanced,Pitcher,Handedness,2022,vs L,7.30,4.38,1.67,0.00,20.0%,12.0%,8.0%,.209,1.22,.265,80.0%,2.95,4.52
DETROIT TIGERS,Wily Peralta,advanced,Pitcher,Handedness,2022,vs R,7.71,6.00,1.29,0.43,19.4%,15.1%,4.3%,.234,1.52,.288,85.4%,4.16,4.82
