Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
MINNESOTA TWINS,Luis Arraez,batted-ball,Batter,Handedness,2022,vs L as L,2.33,21.6%,54.9%,23.5%,25.0%,0.0%,3.6%,0.0%,27.5%,49.0%,23.5%,17.6%,56.9%,25.5%,267,110,157
MINNESOTA TWINS,Luis Arraez,batted-ball,Batter,Handedness,2022,vs R as L,1.45,27.0%,43.3%,29.8%,1.6%,6.3%,5.4%,0.0%,32.1%,36.7%,31.2%,7.4%,64.2%,28.4%,1072,419,653
MINNESOTA TWINS,Luis Arraez,batted-ball,Batter,Handedness,2022,vs L,2.33,21.6%,54.9%,23.5%,25.0%,0.0%,3.6%,0.0%,27.5%,49.0%,23.5%,17.6%,56.9%,25.5%,267,110,157
MINNESOTA TWINS,Luis Arraez,batted-ball,Batter,Handedness,2022,vs R,1.45,27.0%,43.3%,29.8%,1.6%,6.3%,5.4%,0.0%,32.1%,36.7%,31.2%,7.4%,64.2%,28.4%,1072,419,653
MINNESOTA TWINS,Carlos Correa,batted-ball,Batter,Handedness,2022,vs L as R,0.95,22.0%,38.0%,40.0%,5.0%,5.0%,0.0%,0.0%,38.0%,40.0%,22.0%,20.0%,46.0%,34.0%,328,127,201
MINNESOTA TWINS,Carlos Correa,batted-ball,Batter,Handedness,2022,vs R as R,1.59,18.6%,50.0%,31.4%,6.8%,20.5%,7.1%,0.0%,47.9%,36.4%,15.7%,10.7%,49.3%,40.0%,834,304,530
MINNESOTA TWINS,Carlos Correa,batted-ball,Batter,Handedness,2022,vs L,0.95,22.0%,38.0%,40.0%,5.0%,5.0%,0.0%,0.0%,38.0%,40.0%,22.0%,20.0%,46.0%,34.0%,328,127,201
MINNESOTA TWINS,Carlos Correa,batted-ball,Batter,Handedness,2022,vs R,1.59,18.6%,50.0%,31.4%,6.8%,20.5%,7.1%,0.0%,47.9%,36.4%,15.7%,10.7%,49.3%,40.0%,834,304,530
MINNESOTA TWINS,Byron Buxton,batted-ball,Batter,Handedness,2022,vs L as R,0.79,24.4%,33.3%,42.2%,15.8%,36.8%,6.7%,0.0%,60.0%,22.2%,17.8%,13.3%,40.0%,46.7%,307,116,191
MINNESOTA TWINS,Byron Buxton,batted-ball,Batter,Handedness,2022,vs R as R,0.58,13.8%,31.5%,54.6%,12.7%,22.5%,4.9%,0.0%,56.2%,24.6%,19.2%,15.4%,50.0%,34.6%,845,311,534
MINNESOTA TWINS,Byron Buxton,batted-ball,Batter,Handedness,2022,vs L,0.79,24.4%,33.3%,42.2%,15.8%,36.8%,6.7%,0.0%,60.0%,22.2%,17.8%,13.3%,40.0%,46.7%,307,116,191
MINNESOTA TWINS,Byron Buxton,batted-ball,Batter,Handedness,2022,vs R,0.58,13.8%,31.5%,54.6%,12.7%,22.5%,4.9%,0.0%,56.2%,24.6%,19.2%,15.4%,50.0%,34.6%,845,311,534
MINNESOTA TWINS,Max Kepler,batted-ball,Batter,Handedness,2022,vs L as L,1.12,15.9%,44.4%,39.7%,12.0%,4.0%,3.6%,0.0%,34.9%,44.4%,20.6%,22.2%,47.6%,30.2%,297,113,184
MINNESOTA TWINS,Max Kepler,batted-ball,Batter,Handedness,2022,vs R as L,1.25,20.8%,44.0%,35.2%,3.6%,14.3%,2.9%,0.0%,44.7%,33.3%,22.0%,8.8%,57.9%,33.3%,872,359,513
MINNESOTA TWINS,Max Kepler,batted-ball,Batter,Handedness,2022,vs L,1.12,15.9%,44.4%,39.7%,12.0%,4.0%,3.6%,0.0%,34.9%,44.4%,20.6%,22.2%,47.6%,30.2%,297,113,184
MINNESOTA TWINS,Max Kepler,batted-ball,Batter,Handedness,2022,vs R,1.25,20.8%,44.0%,35.2%,3.6%,14.3%,2.9%,0.0%,44.7%,33.3%,22.0%,8.8%,57.9%,33.3%,872,359,513
MINNESOTA TWINS,Jorge Polanco,batted-ball,Batter,Handedness,2022,vs R as L,0.76,21.8%,33.9%,44.4%,12.7%,20.0%,2.4%,0.0%,57.3%,25.0%,17.7%,19.4%,46.0%,34.7%,914,376,538
MINNESOTA TWINS,Jorge Polanco,batted-ball,Batter,Handedness,2022,vs L as R,0.66,23.2%,30.4%,46.4%,9.4%,6.3%,9.5%,50.0%,36.6%,35.2%,28.2%,15.5%,60.6%,23.9%,378,130,248
MINNESOTA TWINS,Jorge Polanco,batted-ball,Batter,Handedness,2022,vs L,0.66,23.2%,30.4%,46.4%,9.4%,6.3%,9.5%,50.0%,36.6%,35.2%,28.2%,15.5%,60.6%,23.9%,378,130,248
MINNESOTA TWINS,Jorge Polanco,batted-ball,Batter,Handedness,2022,vs R,0.76,21.8%,33.9%,44.4%,12.7%,20.0%,2.4%,0.0%,57.3%,25.0%,17.7%,19.4%,46.0%,34.7%,914,376,538
MINNESOTA TWINS,Alex Kirilloff,batted-ball,Batter,Handedness,2022,vs L as L,1.40,0.0%,58.3%,41.7%,20.0%,0.0%,14.3%,0.0%,50.0%,25.0%,25.0%,25.0%,66.7%,8.3%,85,33,52
MINNESOTA TWINS,Alex Kirilloff,batted-ball,Batter,Handedness,2022,vs R as L,1.64,15.9%,52.2%,31.9%,0.0%,13.6%,2.8%,0.0%,31.9%,34.8%,33.3%,15.9%,47.8%,36.2%,354,113,241
MINNESOTA TWINS,Alex Kirilloff,batted-ball,Batter,Handedness,2022,vs L,1.40,0.0%,58.3%,41.7%,20.0%,0.0%,14.3%,0.0%,50.0%,25.0%,25.0%,25.0%,66.7%,8.3%,85,33,52
MINNESOTA TWINS,Alex Kirilloff,batted-ball,Batter,Handedness,2022,vs R,1.64,15.9%,52.2%,31.9%,0.0%,13.6%,2.8%,0.0%,31.9%,34.8%,33.3%,15.9%,47.8%,36.2%,354,113,241
MINNESOTA TWINS,Nick Gordon,batted-ball,Batter,Handedness,2022,vs L as L,2.40,26.1%,52.2%,21.7%,0.0%,0.0%,0.0%,0.0%,29.2%,50.0%,20.8%,16.7%,66.7%,16.7%,108,36,72
MINNESOTA TWINS,Nick Gordon,batted-ball,Batter,Handedness,2022,vs R as L,1.24,26.1%,40.9%,33.0%,5.3%,10.5%,6.4%,0.0%,42.2%,32.8%,25.0%,6.0%,51.7%,42.2%,578,162,416
MINNESOTA TWINS,Nick Gordon,batted-ball,Batter,Handedness,2022,vs L,2.40,26.1%,52.2%,21.7%,0.0%,0.0%,0.0%,0.0%,29.2%,50.0%,20.8%,16.7%,66.7%,16.7%,108,36,72
MINNESOTA TWINS,Nick Gordon,batted-ball,Batter,Handedness,2022,vs R,1.24,26.1%,40.9%,33.0%,5.3%,10.5%,6.4%,0.0%,42.2%,32.8%,25.0%,6.0%,51.7%,42.2%,578,162,416
MINNESOTA TWINS,Gio Urshela,batted-ball,Batter,Handedness,2022,vs L as R,1.59,14.9%,52.2%,32.8%,4.5%,4.5%,11.4%,0.0%,41.8%,37.3%,20.9%,6.0%,55.2%,38.8%,300,104,196
MINNESOTA TWINS,Gio Urshela,batted-ball,Batter,Handedness,2022,vs R as R,1.14,22.5%,41.3%,36.3%,8.6%,12.1%,7.6%,0.0%,32.5%,40.0%,27.5%,16.9%,48.8%,34.4%,763,237,526
MINNESOTA TWINS,Gio Urshela,batted-ball,Batter,Handedness,2022,vs L,1.59,14.9%,52.2%,32.8%,4.5%,4.5%,11.4%,0.0%,41.8%,37.3%,20.9%,6.0%,55.2%,38.8%,300,104,196
MINNESOTA TWINS,Gio Urshela,batted-ball,Batter,Handedness,2022,vs R,1.14,22.5%,41.3%,36.3%,8.6%,12.1%,7.6%,0.0%,32.5%,40.0%,27.5%,16.9%,48.8%,34.4%,763,237,526
MINNESOTA TWINS,Ryan Jeffers,batted-ball,Batter,Handedness,2022,vs L as R,0.50,30.8%,23.1%,46.2%,5.6%,16.7%,0.0%,0.0%,50.0%,25.0%,25.0%,10.0%,45.0%,45.0%,253,86,167
MINNESOTA TWINS,Ryan Jeffers,batted-ball,Batter,Handedness,2022,vs R as R,0.88,14.8%,39.8%,45.5%,15.0%,10.0%,2.9%,100.0%,41.6%,32.6%,25.8%,18.0%,52.8%,29.2%,595,218,377
MINNESOTA TWINS,Ryan Jeffers,batted-ball,Batter,Handedness,2022,vs L,0.50,30.8%,23.1%,46.2%,5.6%,16.7%,0.0%,0.0%,50.0%,25.0%,25.0%,10.0%,45.0%,45.0%,253,86,167
MINNESOTA TWINS,Ryan Jeffers,batted-ball,Batter,Handedness,2022,vs R,0.88,14.8%,39.8%,45.5%,15.0%,10.0%,2.9%,100.0%,41.6%,32.6%,25.8%,18.0%,52.8%,29.2%,595,218,377
MINNESOTA TWINS,Gary Sánchez,batted-ball,Batter,Handedness,2022,vs L as R,0.79,17.1%,36.6%,46.3%,10.5%,10.5%,0.0%,0.0%,43.9%,29.3%,26.8%,24.4%,39.0%,36.6%,264,81,183
MINNESOTA TWINS,Gary Sánchez,batted-ball,Batter,Handedness,2022,vs R as R,0.87,14.5%,39.7%,45.8%,11.7%,13.3%,3.8%,0.0%,48.1%,29.0%,22.9%,17.6%,38.9%,43.5%,772,274,498
MINNESOTA TWINS,Gary Sánchez,batted-ball,Batter,Handedness,2022,vs L,0.79,17.1%,36.6%,46.3%,10.5%,10.5%,0.0%,0.0%,43.9%,29.3%,26.8%,24.4%,39.0%,36.6%,264,81,183
MINNESOTA TWINS,Gary Sánchez,batted-ball,Batter,Handedness,2022,vs R,0.87,14.5%,39.7%,45.8%,11.7%,13.3%,3.8%,0.0%,48.1%,29.0%,22.9%,17.6%,38.9%,43.5%,772,274,498
MINNESOTA TWINS,Jose Miranda,batted-ball,Batter,Handedness,2022,vs L as R,0.83,10.6%,40.4%,48.9%,8.7%,13.0%,10.5%,0.0%,44.7%,40.4%,14.9%,10.6%,46.8%,42.6%,193,65,128
MINNESOTA TWINS,Jose Miranda,batted-ball,Batter,Handedness,2022,vs R as R,1.34,17.6%,47.3%,35.2%,25.0%,12.5%,2.3%,0.0%,48.4%,28.6%,23.1%,19.8%,42.9%,37.4%,486,163,323
MINNESOTA TWINS,Jose Miranda,batted-ball,Batter,Handedness,2022,vs L,0.83,10.6%,40.4%,48.9%,8.7%,13.0%,10.5%,0.0%,44.7%,40.4%,14.9%,10.6%,46.8%,42.6%,193,65,128
MINNESOTA TWINS,Jose Miranda,batted-ball,Batter,Handedness,2022,vs R,1.34,17.6%,47.3%,35.2%,25.0%,12.5%,2.3%,0.0%,48.4%,28.6%,23.1%,19.8%,42.9%,37.4%,486,163,323
MINNESOTA TWINS,Gilberto Celestino,batted-ball,Batter,Handedness,2022,vs L as R,2.20,22.0%,53.7%,24.4%,20.0%,0.0%,22.7%,0.0%,35.7%,31.0%,33.3%,28.6%,52.4%,19.0%,215,82,133
MINNESOTA TWINS,Gilberto Celestino,batted-ball,Batter,Handedness,2022,vs R as R,5.63,23.2%,65.2%,11.6%,25.0%,0.0%,6.7%,0.0%,25.7%,30.0%,44.3%,20.0%,58.6%,21.4%,407,149,258
MINNESOTA TWINS,Gilberto Celestino,batted-ball,Batter,Handedness,2022,vs L,2.20,22.0%,53.7%,24.4%,20.0%,0.0%,22.7%,0.0%,35.7%,31.0%,33.3%,28.6%,52.4%,19.0%,215,82,133
MINNESOTA TWINS,Gilberto Celestino,batted-ball,Batter,Handedness,2022,vs R,5.63,23.2%,65.2%,11.6%,25.0%,0.0%,6.7%,0.0%,25.7%,30.0%,44.3%,20.0%,58.6%,21.4%,407,149,258
MINNESOTA TWINS,Kyle Garlick,batted-ball,Batter,Handedness,2022,vs L as R,0.79,24.2%,33.3%,42.4%,7.1%,35.7%,9.1%,0.0%,57.6%,18.2%,24.2%,6.1%,54.5%,39.4%,205,73,132
MINNESOTA TWINS,Kyle Garlick,batted-ball,Batter,Handedness,2022,vs R as R,1.44,21.4%,46.4%,32.1%,22.2%,11.1%,7.7%,0.0%,53.6%,32.1%,14.3%,10.7%,53.6%,35.7%,141,52,89
MINNESOTA TWINS,Kyle Garlick,batted-ball,Batter,Handedness,2022,vs L,0.79,24.2%,33.3%,42.4%,7.1%,35.7%,9.1%,0.0%,57.6%,18.2%,24.2%,6.1%,54.5%,39.4%,205,73,132
MINNESOTA TWINS,Kyle Garlick,batted-ball,Batter,Handedness,2022,vs R,1.44,21.4%,46.4%,32.1%,22.2%,11.1%,7.7%,0.0%,53.6%,32.1%,14.3%,10.7%,53.6%,35.7%,141,52,89
MINNESOTA TWINS,Miguel Sanó,batted-ball,Batter,Handedness,2022,vs L as R,0.00,40.0%,0.0%,60.0%,0.0%,0.0%,0.0%,0.0%,30.0%,40.0%,30.0%,10.0%,60.0%,30.0%,106,45,61
