Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
MINNESOTA TWINS,Nick Gordon,advanced,Pitcher,Handedness,2022,vs L,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.000,0.00,.000,100.0%,3.11,7.58
MINNESOTA TWINS,Nick Gordon,advanced,Pitcher,Handedness,2022,vs R,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.333,1.50,.333,100.0%,3.11,3.11
MINNESOTA TWINS,Joe Ryan,advanced,Pitcher,Handedness,2022,vs L,5.68,2.56,2.22,1.14,15.9%,7.1%,8.7%,.209,1.04,.220,91.8%,4.53,5.57
MINNESOTA TWINS,Joe Ryan,advanced,Pitcher,Handedness,2022,vs R,10.10,2.58,3.91,0.94,26.9%,6.9%,20.0%,.219,1.12,.283,71.8%,3.32,3.98
MINNESOTA TWINS,Sonny Gray,advanced,Pitcher,Handedness,2022,vs L,7.00,2.00,3.50,0.67,20.0%,5.7%,14.3%,.214,1.00,.250,62.0%,3.18,4.10
MINNESOTA TWINS,Sonny Gray,advanced,Pitcher,Handedness,2022,vs R,9.19,2.78,3.30,0.84,24.6%,7.5%,17.2%,.217,1.11,.267,85.8%,3.39,3.56
MINNESOTA TWINS,Devin Smeltzer,advanced,Pitcher,Handedness,2022,vs L,5.91,2.53,2.33,2.53,15.2%,6.5%,8.7%,.262,1.31,.250,92.6%,6.58,5.02
MINNESOTA TWINS,Devin Smeltzer,advanced,Pitcher,Handedness,2022,vs R,5.33,2.20,2.42,1.84,14.9%,6.2%,8.8%,.239,1.12,.231,80.5%,5.31,4.88
MINNESOTA TWINS,Dylan Bundy,advanced,Pitcher,Handedness,2022,vs L,4.73,1.67,2.83,1.39,12.2%,4.3%,7.9%,.300,1.39,.309,64.1%,4.72,4.41
MINNESOTA TWINS,Dylan Bundy,advanced,Pitcher,Handedness,2022,vs R,8.44,2.11,4.00,1.27,22.3%,5.6%,16.8%,.247,1.20,.285,72.8%,3.77,4.14
MINNESOTA TWINS,Jhoan Duran,advanced,Pitcher,Handedness,2022,vs L,9.53,3.18,3.00,1.06,26.1%,8.7%,17.4%,.217,1.12,.268,87.9%,3.93,3.28
MINNESOTA TWINS,Jhoan Duran,advanced,Pitcher,Handedness,2022,vs R,12.27,0.41,30.00,1.23,36.1%,1.2%,34.9%,.203,0.77,.277,81.1%,2.56,1.88
MINNESOTA TWINS,Tyler Duffey,advanced,Pitcher,Handedness,2022,vs L,9.20,3.68,2.50,1.84,22.4%,9.0%,13.4%,.279,1.57,.326,85.1%,4.95,3.82
MINNESOTA TWINS,Tyler Duffey,advanced,Pitcher,Handedness,2022,vs R,8.46,2.01,4.20,1.21,24.7%,5.9%,18.8%,.259,1.16,.321,73.4%,3.65,2.57
MINNESOTA TWINS,Griffin Jax,advanced,Pitcher,Handedness,2022,vs L,9.00,2.40,3.75,1.20,24.6%,6.6%,18.0%,.204,1.00,.237,84.5%,4.04,3.60
MINNESOTA TWINS,Griffin Jax,advanced,Pitcher,Handedness,2022,vs R,10.33,2.67,3.88,0.67,29.5%,7.6%,21.9%,.219,1.07,.297,76.3%,2.67,3.08
MINNESOTA TWINS,Caleb Thielbar,advanced,Pitcher,Handedness,2022,vs L,10.22,5.11,2.00,0.73,26.4%,13.2%,13.2%,.196,1.30,.258,95.9%,3.60,4.72
MINNESOTA TWINS,Caleb Thielbar,advanced,Pitcher,Handedness,2022,vs R,12.81,3.20,4.00,1.37,33.3%,8.3%,25.0%,.260,1.37,.370,43.9%,3.31,2.69
MINNESOTA TWINS,Joe Smith,advanced,Pitcher,Handedness,2022,vs L,7.50,6.00,1.25,1.50,16.7%,13.3%,3.3%,.280,1.83,.316,75.5%,6.11,6.18
MINNESOTA TWINS,Joe Smith,advanced,Pitcher,Handedness,2022,vs R,4.32,2.16,2.00,1.08,11.8%,5.9%,5.9%,.281,1.32,.296,88.5%,4.43,3.50
MINNESOTA TWINS,Emilio Pagán,advanced,Pitcher,Handedness,2022,vs L,9.88,3.29,3.00,1.32,28.8%,9.6%,19.2%,.149,0.88,.167,65.2%,3.91,3.32
MINNESOTA TWINS,Emilio Pagán,advanced,Pitcher,Handedness,2022,vs R,14.82,5.82,2.55,2.65,34.6%,13.6%,21.0%,.257,1.71,.351,68.2%,5.58,3.16
MINNESOTA TWINS,Jovani Moran,advanced,Pitcher,Handedness,2022,vs L,11.57,5.79,2.00,0.00,30.0%,15.0%,15.0%,.118,1.07,.182,100.0%,2.47,4.06
MINNESOTA TWINS,Jovani Moran,advanced,Pitcher,Handedness,2022,vs R,13.50,5.56,2.43,0.00,37.0%,15.2%,21.7%,.154,1.15,.273,76.9%,1.96,2.88
MINNESOTA TWINS,Trevor Megill,advanced,Pitcher,Handedness,2022,vs L,13.50,2.45,5.50,1.23,37.9%,6.9%,31.0%,.185,0.95,.267,53.6%,2.70,2.15
MINNESOTA TWINS,Trevor Megill,advanced,Pitcher,Handedness,2022,vs R,8.44,2.53,3.33,0.84,25.0%,7.5%,17.5%,.216,1.03,.269,72.9%,3.30,3.62
MINNESOTA TWINS,Jharel Cotton,advanced,Pitcher,Handedness,2022,vs L,10.24,6.52,1.57,1.86,23.4%,14.9%,8.5%,.256,1.76,.308,92.1%,6.01,5.17
MINNESOTA TWINS,Jharel Cotton,advanced,Pitcher,Handedness,2022,vs R,7.02,3.24,2.17,1.62,20.3%,9.4%,10.9%,.161,0.90,.146,84.7%,5.15,4.96
MINNESOTA TWINS,Chris Archer,advanced,Pitcher,Handedness,2022,vs L,8.53,5.33,1.60,0.71,21.1%,13.2%,7.9%,.196,1.34,.239,96.4%,4.25,5.17
MINNESOTA TWINS,Chris Archer,advanced,Pitcher,Handedness,2022,vs R,5.75,3.75,1.53,1.50,15.5%,10.1%,5.4%,.217,1.19,.214,64.6%,5.33,4.86
MINNESOTA TWINS,Bailey Ober,advanced,Pitcher,Handedness,2022,vs L,5.93,3.29,1.80,0.00,13.4%,7.5%,6.0%,.333,1.83,.377,76.0%,2.89,6.05
MINNESOTA TWINS,Bailey Ober,advanced,Pitcher,Handedness,2022,vs R,9.00,0.90,10.00,0.90,26.7%,2.7%,24.0%,.222,0.90,.275,46.1%,2.71,3.12
MINNESOTA TWINS,Chris Paddack,advanced,Pitcher,Handedness,2022,vs L,8.64,0.00,8.00,0.00,22.9%,0.0%,22.9%,.324,1.32,.423,75.0%,1.55,3.16
MINNESOTA TWINS,Chris Paddack,advanced,Pitcher,Handedness,2022,vs R,7.71,1.29,6.00,0.00,20.7%,3.4%,17.2%,.259,1.14,.318,56.3%,1.82,3.21
MINNESOTA TWINS,Jorge Alcala,advanced,Pitcher,Handedness,2022,vs L,0.00,9.00,0.00,0.00,0.0%,33.3%,-33.3%,1.000,3.00,1.000,100.0%,6.11,7.60
MINNESOTA TWINS,Jorge Alcala,advanced,Pitcher,Handedness,2022,vs R,7.71,3.86,2.00,0.00,28.6%,14.3%,14.3%,.000,0.43,.000,100.0%,2.68,3.32
MINNESOTA TWINS,Danny Coulombe,advanced,Pitcher,Handedness,2022,vs L,6.75,5.06,1.33,0.00,18.2%,13.6%,4.5%,.167,1.13,.200,83.3%,3.30,5.25
MINNESOTA TWINS,Danny Coulombe,advanced,Pitcher,Handedness,2022,vs R,6.43,7.71,0.83,0.00,16.1%,19.4%,-3.2%,.160,1.43,.200,80.0%,4.25,5.74
MINNESOTA TWINS,Jhon Romero,advanced,Pitcher,Handedness,2022,vs L,9.00,0.00,1.00,0.00,12.5%,0.0%,12.5%,.625,5.00,.714,80.0%,1.11,1.11
MINNESOTA TWINS,Jhon Romero,advanced,Pitcher,Handedness,2022,vs R,11.25,2.25,5.00,0.00,31.3%,6.3%,25.0%,.267,1.25,.400,80.0%,1.36,1.73
MINNESOTA TWINS,Cody Stashak,advanced,Pitcher,Handedness,2022,vs L,6.35,0.00,4.00,0.00,16.0%,0.0%,16.0%,.320,1.41,.381,50.0%,1.70,3.80
MINNESOTA TWINS,Cody Stashak,advanced,Pitcher,Handedness,2022,vs R,9.28,0.00,11.00,0.84,27.5%,0.0%,27.5%,.205,0.75,.250,75.8%,2.27,3.56
