Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
NEW YORK YANKEES,Gerrit Cole,batted-ball,Pitcher,Handedness,2022,vs L,0.65,11.7%,35.0%,53.4%,12.7%,16.4%,2.8%,0.0%,38.8%,30.1%,31.1%,20.4%,51.5%,28.2%,863,319,544
NEW YORK YANKEES,Gerrit Cole,batted-ball,Pitcher,Handedness,2022,vs R,1.71,20.8%,50.0%,29.2%,6.7%,15.6%,6.5%,0.0%,37.0%,36.4%,26.6%,14.3%,60.4%,25.3%,859,272,587
NEW YORK YANKEES,Luis Severino,batted-ball,Pitcher,Handedness,2022,vs L,0.83,18.1%,37.1%,44.8%,2.1%,14.9%,5.1%,33.3%,44.4%,29.6%,25.9%,15.7%,49.1%,35.2%,545,190,355
NEW YORK YANKEES,Luis Severino,batted-ball,Pitcher,Handedness,2022,vs R,1.28,15.0%,47.7%,37.4%,2.5%,10.0%,5.9%,0.0%,39.8%,40.7%,19.4%,15.7%,53.7%,30.6%,812,290,522
NEW YORK YANKEES,Nestor Cortes,batted-ball,Pitcher,Handedness,2022,vs L,0.93,6.9%,44.8%,48.3%,21.4%,7.1%,0.0%,0.0%,34.5%,44.8%,20.7%,24.1%,41.4%,34.5%,188,56,132
NEW YORK YANKEES,Nestor Cortes,batted-ball,Pitcher,Handedness,2022,vs R,0.63,19.8%,30.9%,49.3%,14.7%,11.8%,6.3%,0.0%,41.5%,30.4%,28.0%,15.0%,56.0%,29.0%,1224,398,826
NEW YORK YANKEES,Jordan Montgomery,batted-ball,Pitcher,Handedness,2022,vs L,3.00,31.4%,51.4%,17.1%,0.0%,0.0%,5.6%,50.0%,43.2%,32.4%,24.3%,27.0%,56.8%,16.2%,197,57,140
NEW YORK YANKEES,Jordan Montgomery,batted-ball,Pitcher,Handedness,2022,vs R,1.45,20.3%,47.2%,32.5%,10.0%,13.8%,3.4%,0.0%,40.2%,35.7%,24.1%,15.3%,58.6%,26.1%,1175,411,764
NEW YORK YANKEES,Jameson Taillon,batted-ball,Pitcher,Handedness,2022,vs L,0.87,25.9%,34.5%,39.7%,17.4%,15.2%,5.0%,50.0%,44.9%,34.7%,20.3%,21.2%,47.5%,31.4%,651,233,418
NEW YORK YANKEES,Jameson Taillon,batted-ball,Pitcher,Handedness,2022,vs R,1.20,19.0%,44.1%,36.9%,13.6%,9.1%,6.3%,50.0%,42.5%,32.6%,24.9%,16.0%,52.5%,31.5%,828,257,571
NEW YORK YANKEES,Clay Holmes,batted-ball,Pitcher,Handedness,2022,vs L,16.50,10.3%,84.6%,5.1%,0.0%,0.0%,3.0%,0.0%,43.6%,43.6%,12.8%,12.8%,64.1%,23.1%,224,79,145
NEW YORK YANKEES,Clay Holmes,batted-ball,Pitcher,Handedness,2022,vs R,8.33,8.2%,82.0%,9.8%,33.3%,0.0%,6.0%,0.0%,49.2%,36.1%,14.8%,19.7%,60.7%,19.7%,347,113,234
NEW YORK YANKEES,Michael King,batted-ball,Pitcher,Handedness,2022,vs L,1.46,20.0%,47.5%,32.5%,7.7%,15.4%,5.3%,0.0%,40.0%,45.0%,15.0%,15.0%,50.0%,35.0%,244,79,165
NEW YORK YANKEES,Michael King,batted-ball,Pitcher,Handedness,2022,vs R,1.88,25.8%,48.5%,25.8%,29.4%,5.9%,15.6%,0.0%,37.9%,33.3%,28.8%,33.3%,47.0%,19.7%,478,174,304
NEW YORK YANKEES,Wandy Peralta,batted-ball,Pitcher,Handedness,2022,vs L,2.29,4.2%,66.7%,29.2%,28.6%,0.0%,6.3%,0.0%,66.7%,20.8%,12.5%,41.7%,54.2%,4.2%,151,55,96
NEW YORK YANKEES,Wandy Peralta,batted-ball,Pitcher,Handedness,2022,vs R,1.64,17.1%,51.4%,31.4%,4.5%,4.5%,11.1%,0.0%,33.8%,33.8%,32.4%,21.1%,56.3%,22.5%,346,132,214
NEW YORK YANKEES,Aroldis Chapman,batted-ball,Pitcher,Handedness,2022,vs L,0.33,27.3%,18.2%,54.5%,33.3%,0.0%,0.0%,0.0%,45.5%,27.3%,27.3%,27.3%,54.5%,18.2%,66,26,40
