Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
HOUSTON ASTROS,Jose Altuve,advanced,Batter,Handedness,2022,vs L as R,9.5%,20.3%,0.47,0.313,0.378,0.731,1.11,0.418,0.311,18,9.1,0.464,212
HOUSTON ASTROS,Jose Altuve,advanced,Batter,Handedness,2022,vs R as R,11.9%,14.0%,0.85,0.269,0.37,0.468,0.838,0.199,0.277,38,10.7,0.367,144
HOUSTON ASTROS,Jose Altuve,advanced,Batter,Handedness,2022,vs L,9.5%,20.3%,0.47,0.313,0.378,0.731,1.11,0.418,0.311,18,9.1,0.464,212
HOUSTON ASTROS,Jose Altuve,advanced,Batter,Handedness,2022,vs R,11.9%,14.0%,0.85,0.269,0.37,0.468,0.838,0.199,0.277,38,10.7,0.367,144
HOUSTON ASTROS,Aledmys Díaz,advanced,Batter,Handedness,2022,vs L as R,12.8%,14.9%,0.86,0.244,0.34,0.366,0.706,0.122,0.273,6,0.3,0.318,109
HOUSTON ASTROS,Aledmys Díaz,advanced,Batter,Handedness,2022,vs R as R,4.4%,19.9%,0.22,0.24,0.279,0.388,0.667,0.147,0.268,14,-2.0,0.292,91
HOUSTON ASTROS,Aledmys Díaz,advanced,Batter,Handedness,2022,vs L,12.8%,14.9%,0.86,0.244,0.34,0.366,0.706,0.122,0.273,6,0.3,0.318,109
HOUSTON ASTROS,Aledmys Díaz,advanced,Batter,Handedness,2022,vs R,4.4%,19.9%,0.22,0.24,0.279,0.388,0.667,0.147,0.268,14,-2.0,0.292,91
HOUSTON ASTROS,Kyle Tucker,advanced,Batter,Handedness,2022,vs L as L,9.4%,11.3%,0.83,0.263,0.33,0.495,0.825,0.232,0.244,16,3.8,0.355,135
HOUSTON ASTROS,Kyle Tucker,advanced,Batter,Handedness,2022,vs R as L,14.2%,17.4%,0.82,0.257,0.361,0.481,0.842,0.225,0.266,35,9.6,0.365,143
HOUSTON ASTROS,Kyle Tucker,advanced,Batter,Handedness,2022,vs L,9.4%,11.3%,0.83,0.263,0.33,0.495,0.825,0.232,0.244,16,3.8,0.355,135
HOUSTON ASTROS,Kyle Tucker,advanced,Batter,Handedness,2022,vs R,14.2%,17.4%,0.82,0.257,0.361,0.481,0.842,0.225,0.266,35,9.6,0.365,143
HOUSTON ASTROS,Alex Bregman,advanced,Batter,Handedness,2022,vs L as R,13.6%,15.3%,0.89,0.18,0.305,0.29,0.595,0.11,0.21,10,-3.2,0.276,80
HOUSTON ASTROS,Alex Bregman,advanced,Batter,Handedness,2022,vs R as R,14.9%,12.8%,1.17,0.276,0.391,0.495,0.886,0.219,0.276,41,13.6,0.383,155
HOUSTON ASTROS,Alex Bregman,advanced,Batter,Handedness,2022,vs L,13.6%,15.3%,0.89,0.18,0.305,0.29,0.595,0.11,0.21,10,-3.2,0.276,80
HOUSTON ASTROS,Alex Bregman,advanced,Batter,Handedness,2022,vs R,14.9%,12.8%,1.17,0.276,0.391,0.495,0.886,0.219,0.276,41,13.6,0.383,155
HOUSTON ASTROS,Yuli Gurriel,advanced,Batter,Handedness,2022,vs L as R,6.3%,9.5%,0.67,0.25,0.295,0.455,0.749,0.205,0.247,12,0.9,0.321,112
HOUSTON ASTROS,Yuli Gurriel,advanced,Batter,Handedness,2022,vs R as R,5.6%,14.4%,0.39,0.22,0.274,0.355,0.629,0.135,0.242,19,-5.5,0.278,81
HOUSTON ASTROS,Yuli Gurriel,advanced,Batter,Handedness,2022,vs L,6.3%,9.5%,0.67,0.25,0.295,0.455,0.749,0.205,0.247,12,0.9,0.321,112
HOUSTON ASTROS,Yuli Gurriel,advanced,Batter,Handedness,2022,vs R,5.6%,14.4%,0.39,0.22,0.274,0.355,0.629,0.135,0.242,19,-5.5,0.278,81
HOUSTON ASTROS,J.J. Matijevic,advanced,Batter,Handedness,2022,vs L as L,16.7%,50.0%,0.33,0.0,0.167,0.0,0.167,0.0,0.0,0,-0.9,0.115,-33
HOUSTON ASTROS,J.J. Matijevic,advanced,Batter,Handedness,2022,vs R as L,0.0%,37.9%,0.0,0.214,0.241,0.5,0.741,0.286,0.267,3,0.1,0.315,108
HOUSTON ASTROS,J.J. Matijevic,advanced,Batter,Handedness,2022,vs L,16.7%,50.0%,0.33,0.0,0.167,0.0,0.167,0.0,0.0,0,-0.9,0.115,-33
HOUSTON ASTROS,J.J. Matijevic,advanced,Batter,Handedness,2022,vs R,0.0%,37.9%,0.0,0.214,0.241,0.5,0.741,0.286,0.267,3,0.1,0.315,108
HOUSTON ASTROS,Jeremy Peña,advanced,Batter,Handedness,2022,vs L as R,4.4%,17.6%,0.25,0.286,0.328,0.54,0.868,0.254,0.298,11,3.4,0.372,148
HOUSTON ASTROS,Jeremy Peña,advanced,Batter,Handedness,2022,vs R as R,5.1%,25.5%,0.2,0.257,0.306,0.43,0.736,0.173,0.306,24,1.4,0.319,110
