Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
CINCINNATI REDS,Jonathan India,advanced,Batter,Handedness,2022,vs L as R,0.0%,19.4%,0.0,0.152,0.222,0.152,0.374,0.0,0.192,1,-3.6,0.183,7
CINCINNATI REDS,Jonathan India,advanced,Batter,Handedness,2022,vs R as R,3.5%,25.4%,0.14,0.243,0.289,0.374,0.663,0.131,0.307,12,-1.6,0.293,82
CINCINNATI REDS,Jonathan India,advanced,Batter,Handedness,2022,vs L,0.0%,19.4%,0.0,0.152,0.222,0.152,0.374,0.0,0.192,1,-3.6,0.183,7
CINCINNATI REDS,Jonathan India,advanced,Batter,Handedness,2022,vs R,3.5%,25.4%,0.14,0.243,0.289,0.374,0.663,0.131,0.307,12,-1.6,0.293,82
CINCINNATI REDS,Brandon Drury,advanced,Batter,Handedness,2022,vs L as R,2.4%,28.9%,0.08,0.333,0.349,0.704,1.053,0.37,0.388,19,9.0,0.446,185
CINCINNATI REDS,Brandon Drury,advanced,Batter,Handedness,2022,vs R as R,8.4%,20.3%,0.42,0.255,0.329,0.472,0.801,0.217,0.284,34,7.0,0.347,118
CINCINNATI REDS,Brandon Drury,advanced,Batter,Handedness,2022,vs L,2.4%,28.9%,0.08,0.333,0.349,0.704,1.053,0.37,0.388,19,9.0,0.446,185
CINCINNATI REDS,Brandon Drury,advanced,Batter,Handedness,2022,vs R,8.4%,20.3%,0.42,0.255,0.329,0.472,0.801,0.217,0.284,34,7.0,0.347,118
CINCINNATI REDS,Tommy Pham,advanced,Batter,Handedness,2022,vs L as R,13.5%,21.3%,0.63,0.247,0.348,0.442,0.79,0.195,0.278,13,2.7,0.348,119
CINCINNATI REDS,Tommy Pham,advanced,Batter,Handedness,2022,vs R as R,11.1%,26.7%,0.42,0.245,0.329,0.387,0.716,0.142,0.315,29,1.3,0.317,98
CINCINNATI REDS,Tommy Pham,advanced,Batter,Handedness,2022,vs L,13.5%,21.3%,0.63,0.247,0.348,0.442,0.79,0.195,0.278,13,2.7,0.348,119
CINCINNATI REDS,Tommy Pham,advanced,Batter,Handedness,2022,vs R,11.1%,26.7%,0.42,0.245,0.329,0.387,0.716,0.142,0.315,29,1.3,0.317,98
CINCINNATI REDS,Joey Votto,advanced,Batter,Handedness,2022,vs L as L,14.8%,32.1%,0.46,0.215,0.37,0.323,0.693,0.108,0.342,10,0.9,0.324,103
CINCINNATI REDS,Joey Votto,advanced,Batter,Handedness,2022,vs R as L,11.9%,22.2%,0.54,0.209,0.313,0.392,0.705,0.183,0.248,21,0.3,0.313,95
CINCINNATI REDS,Joey Votto,advanced,Batter,Handedness,2022,vs L,14.8%,32.1%,0.46,0.215,0.37,0.323,0.693,0.108,0.342,10,0.9,0.324,103
CINCINNATI REDS,Joey Votto,advanced,Batter,Handedness,2022,vs R,11.9%,22.2%,0.54,0.209,0.313,0.392,0.705,0.183,0.248,21,0.3,0.313,95
CINCINNATI REDS,Tyler Stephenson,advanced,Batter,Handedness,2022,vs L as R,11.3%,22.6%,0.5,0.333,0.415,0.422,0.837,0.089,0.424,9,2.6,0.372,135
CINCINNATI REDS,Tyler Stephenson,advanced,Batter,Handedness,2022,vs R as R,4.3%,28.7%,0.15,0.315,0.357,0.519,0.875,0.204,0.414,20,6.3,0.378,140
CINCINNATI REDS,Tyler Stephenson,advanced,Batter,Handedness,2022,vs L,11.3%,22.6%,0.5,0.333,0.415,0.422,0.837,0.089,0.424,9,2.6,0.372,135
