Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
MINNESOTA TWINS,Luis Arraez,advanced,Batter,Handedness,2022,vs L as L,9.2%,10.8%,0.86,0.224,0.308,0.276,0.584,0.052,0.255,5,-2.2,0.269,72
MINNESOTA TWINS,Luis Arraez,advanced,Batter,Handedness,2022,vs R as L,11.0%,7.2%,1.53,0.378,0.447,0.494,0.941,0.116,0.398,52,21.4,0.412,173
MINNESOTA TWINS,Luis Arraez,advanced,Batter,Handedness,2022,vs L,9.2%,10.8%,0.86,0.224,0.308,0.276,0.584,0.052,0.255,5,-2.2,0.269,72
MINNESOTA TWINS,Luis Arraez,advanced,Batter,Handedness,2022,vs R,11.0%,7.2%,1.53,0.378,0.447,0.494,0.941,0.116,0.398,52,21.4,0.412,173
MINNESOTA TWINS,Carlos Correa,advanced,Batter,Handedness,2022,vs L as R,14.3%,20.8%,0.69,0.288,0.39,0.439,0.829,0.152,0.367,12,3.5,0.366,141
MINNESOTA TWINS,Carlos Correa,advanced,Batter,Handedness,2022,vs R as R,8.7%,22.8%,0.38,0.276,0.34,0.454,0.794,0.178,0.321,30,5.8,0.345,126
MINNESOTA TWINS,Carlos Correa,advanced,Batter,Handedness,2022,vs L,14.3%,20.8%,0.69,0.288,0.39,0.439,0.829,0.152,0.367,12,3.5,0.366,141
MINNESOTA TWINS,Carlos Correa,advanced,Batter,Handedness,2022,vs R,8.7%,22.8%,0.38,0.276,0.34,0.454,0.794,0.178,0.321,30,5.8,0.345,126
MINNESOTA TWINS,Byron Buxton,advanced,Batter,Handedness,2022,vs L as R,8.1%,31.1%,0.26,0.25,0.311,0.618,0.928,0.368,0.263,13,4.8,0.391,158
MINNESOTA TWINS,Byron Buxton,advanced,Batter,Handedness,2022,vs R as R,8.1%,27.5%,0.29,0.198,0.284,0.513,0.798,0.316,0.184,29,5.0,0.34,123
MINNESOTA TWINS,Byron Buxton,advanced,Batter,Handedness,2022,vs L,8.1%,31.1%,0.26,0.25,0.311,0.618,0.928,0.368,0.263,13,4.8,0.391,158
MINNESOTA TWINS,Byron Buxton,advanced,Batter,Handedness,2022,vs R,8.1%,27.5%,0.29,0.198,0.284,0.513,0.798,0.316,0.184,29,5.0,0.34,123
MINNESOTA TWINS,Max Kepler,advanced,Batter,Handedness,2022,vs L as L,12.2%,9.8%,1.25,0.232,0.329,0.348,0.677,0.116,0.242,9,-0.5,0.303,96
MINNESOTA TWINS,Max Kepler,advanced,Batter,Handedness,2022,vs R as L,13.0%,16.5%,0.79,0.245,0.352,0.413,0.765,0.168,0.265,32,5.4,0.34,122
MINNESOTA TWINS,Max Kepler,advanced,Batter,Handedness,2022,vs L,12.2%,9.8%,1.25,0.232,0.329,0.348,0.677,0.116,0.242,9,-0.5,0.303,96
MINNESOTA TWINS,Max Kepler,advanced,Batter,Handedness,2022,vs R,13.0%,16.5%,0.79,0.245,0.352,0.413,0.765,0.168,0.265,32,5.4,0.34,122
MINNESOTA TWINS,Jorge Polanco,advanced,Batter,Handedness,2022,vs R as L,16.6%,24.6%,0.67,0.234,0.36,0.474,0.834,0.24,0.265,33,9.1,0.364,139
MINNESOTA TWINS,Jorge Polanco,advanced,Batter,Handedness,2022,vs L as R,6.5%,16.3%,0.4,0.274,0.315,0.357,0.672,0.083,0.304,10,-1.0,0.296,92
MINNESOTA TWINS,Jorge Polanco,advanced,Batter,Handedness,2022,vs L,6.5%,16.3%,0.4,0.274,0.315,0.357,0.672,0.083,0.304,10,-1.0,0.296,92
MINNESOTA TWINS,Jorge Polanco,advanced,Batter,Handedness,2022,vs R,16.6%,24.6%,0.67,0.234,0.36,0.474,0.834,0.24,0.265,33,9.1,0.364,139
MINNESOTA TWINS,Alex Kirilloff,advanced,Batter,Handedness,2022,vs L as L,9.5%,23.8%,0.4,0.059,0.238,0.059,0.297,0.0,0.083,0,-2.2,0.177,8
MINNESOTA TWINS,Alex Kirilloff,advanced,Batter,Handedness,2022,vs R as L,2.1%,23.2%,0.09,0.303,0.319,0.472,0.791,0.169,0.364,13,2.1,0.338,121
MINNESOTA TWINS,Alex Kirilloff,advanced,Batter,Handedness,2022,vs L,9.5%,23.8%,0.4,0.059,0.238,0.059,0.297,0.0,0.083,0,-2.2,0.177,8
MINNESOTA TWINS,Alex Kirilloff,advanced,Batter,Handedness,2022,vs R,2.1%,23.2%,0.09,0.303,0.319,0.472,0.791,0.169,0.364,13,2.1,0.338,121
MINNESOTA TWINS,Nick Gordon,advanced,Batter,Handedness,2022,vs L as L,5.9%,17.6%,0.33,0.207,0.303,0.207,0.51,0.0,0.261,2,-1.7,0.246,57
MINNESOTA TWINS,Nick Gordon,advanced,Batter,Handedness,2022,vs R as L,3.6%,25.7%,0.14,0.285,0.319,0.456,0.775,0.171,0.369,23,3.3,0.335,119
MINNESOTA TWINS,Nick Gordon,advanced,Batter,Handedness,2022,vs L,5.9%,17.6%,0.33,0.207,0.303,0.207,0.51,0.0,0.261,2,-1.7,0.246,57
MINNESOTA TWINS,Nick Gordon,advanced,Batter,Handedness,2022,vs R,3.6%,25.7%,0.14,0.285,0.319,0.456,0.775,0.171,0.369,23,3.3,0.335,119
MINNESOTA TWINS,Gio Urshela,advanced,Batter,Handedness,2022,vs L as R,8.1%,14.0%,0.58,0.269,0.326,0.385,0.71,0.115,0.303,10,0.1,0.312,103
MINNESOTA TWINS,Gio Urshela,advanced,Batter,Handedness,2022,vs R as R,6.1%,18.4%,0.33,0.26,0.302,0.418,0.72,0.158,0.288,25,0.3,0.312,103
MINNESOTA TWINS,Gio Urshela,advanced,Batter,Handedness,2022,vs L,8.1%,14.0%,0.58,0.269,0.326,0.385,0.71,0.115,0.303,10,0.1,0.312,103
MINNESOTA TWINS,Gio Urshela,advanced,Batter,Handedness,2022,vs R,6.1%,18.4%,0.33,0.26,0.302,0.418,0.72,0.158,0.288,25,0.3,0.312,103
MINNESOTA TWINS,Ryan Jeffers,advanced,Batter,Handedness,2022,vs L as R,10.0%,23.3%,0.43,0.302,0.373,0.528,0.901,0.226,0.361,11,3.8,0.389,157
MINNESOTA TWINS,Ryan Jeffers,advanced,Batter,Handedness,2022,vs R as R,9.6%,29.5%,0.33,0.174,0.253,0.318,0.572,0.144,0.224,11,-6.3,0.256,63
MINNESOTA TWINS,Ryan Jeffers,advanced,Batter,Handedness,2022,vs L,10.0%,23.3%,0.43,0.302,0.373,0.528,0.901,0.226,0.361,11,3.8,0.389,157
MINNESOTA TWINS,Ryan Jeffers,advanced,Batter,Handedness,2022,vs R,9.6%,29.5%,0.33,0.174,0.253,0.318,0.572,0.144,0.224,11,-6.3,0.256,63
MINNESOTA TWINS,Gary Sánchez,advanced,Batter,Handedness,2022,vs L as R,5.8%,33.3%,0.17,0.156,0.217,0.297,0.514,0.141,0.205,4,-4.4,0.229,45
MINNESOTA TWINS,Gary Sánchez,advanced,Batter,Handedness,2022,vs R as R,6.6%,25.8%,0.25,0.239,0.298,0.456,0.754,0.217,0.285,25,2.3,0.325,112
MINNESOTA TWINS,Gary Sánchez,advanced,Batter,Handedness,2022,vs L,5.8%,33.3%,0.17,0.156,0.217,0.297,0.514,0.141,0.205,4,-4.4,0.229,45
MINNESOTA TWINS,Gary Sánchez,advanced,Batter,Handedness,2022,vs R,6.6%,25.8%,0.25,0.239,0.298,0.456,0.754,0.217,0.285,25,2.3,0.325,112
MINNESOTA TWINS,Jose Miranda,advanced,Batter,Handedness,2022,vs L as R,3.6%,10.9%,0.33,0.245,0.273,0.472,0.744,0.226,0.227,7,0.4,0.319,108
MINNESOTA TWINS,Jose Miranda,advanced,Batter,Handedness,2022,vs R as R,4.7%,22.0%,0.21,0.252,0.299,0.429,0.728,0.176,0.299,15,0.7,0.317,106
MINNESOTA TWINS,Jose Miranda,advanced,Batter,Handedness,2022,vs L,3.6%,10.9%,0.33,0.245,0.273,0.472,0.744,0.226,0.227,7,0.4,0.319,108
MINNESOTA TWINS,Jose Miranda,advanced,Batter,Handedness,2022,vs R,4.7%,22.0%,0.21,0.252,0.299,0.429,0.728,0.176,0.299,15,0.7,0.317,106
MINNESOTA TWINS,Gilberto Celestino,advanced,Batter,Handedness,2022,vs L as R,8.5%,16.9%,0.5,0.196,0.293,0.235,0.528,0.039,0.244,4,-2.8,0.25,59
MINNESOTA TWINS,Gilberto Celestino,advanced,Batter,Handedness,2022,vs R as R,6.0%,24.0%,0.25,0.312,0.354,0.387,0.741,0.075,0.42,13,1.4,0.327,113
MINNESOTA TWINS,Gilberto Celestino,advanced,Batter,Handedness,2022,vs L,8.5%,16.9%,0.5,0.196,0.293,0.235,0.528,0.039,0.244,4,-2.8,0.25,59
MINNESOTA TWINS,Gilberto Celestino,advanced,Batter,Handedness,2022,vs R,6.0%,24.0%,0.25,0.312,0.354,0.387,0.741,0.075,0.42,13,1.4,0.327,113
MINNESOTA TWINS,Kyle Garlick,advanced,Batter,Handedness,2022,vs L as R,7.8%,23.5%,0.33,0.318,0.392,0.659,1.051,0.341,0.321,11,5.3,0.441,193
MINNESOTA TWINS,Kyle Garlick,advanced,Batter,Handedness,2022,vs R as R,5.0%,25.0%,0.2,0.211,0.25,0.316,0.566,0.105,0.259,3,-1.9,0.25,60
MINNESOTA TWINS,Kyle Garlick,advanced,Batter,Handedness,2022,vs L,7.8%,23.5%,0.33,0.318,0.392,0.659,1.051,0.341,0.321,11,5.3,0.441,193
MINNESOTA TWINS,Kyle Garlick,advanced,Batter,Handedness,2022,vs R,5.0%,25.0%,0.2,0.211,0.25,0.316,0.566,0.105,0.259,3,-1.9,0.25,60
MINNESOTA TWINS,Miguel Sanó,advanced,Batter,Handedness,2022,vs L as R,9.1%,40.9%,0.22,0.105,0.227,0.105,0.333,0.0,0.2,0,-2.4,0.176,7
MINNESOTA TWINS,Miguel Sanó,advanced,Batter,Handedness,2022,vs R as R,16.3%,27.9%,0.58,0.086,0.233,0.171,0.404,0.086,0.087,1,-3.7,0.202,25
MINNESOTA TWINS,Miguel Sanó,advanced,Batter,Handedness,2022,vs L,9.1%,40.9%,0.22,0.105,0.227,0.105,0.333,0.0,0.2,0,-2.4,0.176,7
MINNESOTA TWINS,Miguel Sanó,advanced,Batter,Handedness,2022,vs R,16.3%,27.9%,0.58,0.086,0.233,0.171,0.404,0.086,0.087,1,-3.7,0.202,25
MINNESOTA TWINS,Royce Lewis,advanced,Batter,Handedness,2022,vs L as R,11.1%,0.0%,1.0,0.375,0.444,0.625,1.069,0.25,0.375,2,1.0,0.455,203
MINNESOTA TWINS,Royce Lewis,advanced,Batter,Handedness,2022,vs R as R,0.0%,15.6%,0.0,0.281,0.281,0.531,0.813,0.25,0.28,5,0.9,0.346,127
MINNESOTA TWINS,Royce Lewis,advanced,Batter,Handedness,2022,vs L,11.1%,0.0%,1.0,0.375,0.444,0.625,1.069,0.25,0.375,2,1.0,0.455,203
MINNESOTA TWINS,Royce Lewis,advanced,Batter,Handedness,2022,vs R,0.0%,15.6%,0.0,0.281,0.281,0.531,0.813,0.25,0.28,5,0.9,0.346,127
MINNESOTA TWINS,Trevor Larnach,advanced,Batter,Handedness,2022,vs L as L,7.8%,25.5%,0.31,0.277,0.333,0.383,0.716,0.106,0.382,6,0.3,0.317,106
MINNESOTA TWINS,Trevor Larnach,advanced,Batter,Handedness,2022,vs R as L,10.9%,34.1%,0.32,0.212,0.295,0.416,0.711,0.204,0.288,14,-0.5,0.306,98
MINNESOTA TWINS,Trevor Larnach,advanced,Batter,Handedness,2022,vs L,7.8%,25.5%,0.31,0.277,0.333,0.383,0.716,0.106,0.382,6,0.3,0.317,106
MINNESOTA TWINS,Trevor Larnach,advanced,Batter,Handedness,2022,vs R,10.9%,34.1%,0.32,0.212,0.295,0.416,0.711,0.204,0.288,14,-0.5,0.306,98
MINNESOTA TWINS,Caleb Hamilton,advanced,Batter,Handedness,2022,vs L as R,8.7%,31.9%,0.27,.226,.290,.339,.629,.113,.325,6,-1.7,.279,78
MINNESOTA TWINS,Caleb Hamilton,advanced,Batter,Handedness,2022,vs R as R,9.4%,30.6%,0.31,.111,.238,.208,.446,.097,.156,3,-6.4,.216,34
MINNESOTA TWINS,Caleb Hamilton,advanced,Batter,Handedness,2022,vs L,8.7%,31.9%,0.27,.226,.290,.339,.629,.113,.325,6,-1.7,.279,78
MINNESOTA TWINS,Caleb Hamilton,advanced,Batter,Handedness,2022,vs R,9.4%,30.6%,0.31,.111,.238,.208,.446,.097,.156,3,-6.4,.216,34
MINNESOTA TWINS,Kenta Maeda,advanced,Batter,Handedness,2022,vs L as L,3.8%,34.6%,0.11,.160,.192,.200,.392,.040,.250,0,-2.8,.177,3
MINNESOTA TWINS,Kenta Maeda,advanced,Batter,Handedness,2022,vs R as L,7.4%,21.0%,0.35,.311,.370,.500,.870,.189,.393,14,4.2,.376,143
MINNESOTA TWINS,Kenta Maeda,advanced,Batter,Handedness,2022,vs L,3.8%,34.6%,0.11,.160,.192,.200,.392,.040,.250,0,-2.8,.177,3
MINNESOTA TWINS,Kenta Maeda,advanced,Batter,Handedness,2022,vs R,7.4%,21.0%,0.35,.311,.370,.500,.870,.189,.393,14,4.2,.376,143
MINNESOTA TWINS,Bailey Ober,advanced,Batter,Handedness,2022,vs L as L,3.0%,26.3%,0.12,.309,.343,.489,.833,.181,.400,15,4.0,.361,133
MINNESOTA TWINS,Bailey Ober,advanced,Batter,Handedness,2022,vs R as L,7.9%,15.0%,0.53,.335,.397,.636,1.033,.302,.346,57,26.5,.435,185
MINNESOTA TWINS,Bailey Ober,advanced,Batter,Handedness,2022,vs L,3.0%,26.3%,0.12,.309,.343,.489,.833,.181,.400,15,4.0,.361,133
MINNESOTA TWINS,Bailey Ober,advanced,Batter,Handedness,2022,vs R,7.9%,15.0%,0.53,.335,.397,.636,1.033,.302,.346,57,26.5,.435,185
MINNESOTA TWINS,Chris Paddack,advanced,Batter,Handedness,2022,vs L as R,15.8%,17.1%,0.92,.375,.474,.609,1.083,.234,.449,18,9.1,.461,203
MINNESOTA TWINS,Chris Paddack,advanced,Batter,Handedness,2022,vs R as R,7.1%,25.3%,0.28,.288,.346,.457,.803,.169,.368,39,8.2,.349,124
MINNESOTA TWINS,Chris Paddack,advanced,Batter,Handedness,2022,vs L,15.8%,17.1%,0.92,.375,.474,.609,1.083,.234,.449,18,9.1,.461,203
MINNESOTA TWINS,Chris Paddack,advanced,Batter,Handedness,2022,vs R,7.1%,25.3%,0.28,.288,.346,.457,.803,.169,.368,39,8.2,.349,124
MINNESOTA TWINS,Jorge Alcala,advanced,Batter,Handedness,2022,vs L as R,14.6%,13.4%,1.09,.377,.476,.551,1.026,.174,.429,18,8.7,.444,191
MINNESOTA TWINS,Jorge Alcala,advanced,Batter,Handedness,2022,vs R as R,8.5%,21.6%,0.39,.300,.367,.432,.799,.132,.372,41,8.8,.350,125
MINNESOTA TWINS,Jorge Alcala,advanced,Batter,Handedness,2022,vs L,14.6%,13.4%,1.09,.377,.476,.551,1.026,.174,.429,18,8.7,.444,191
MINNESOTA TWINS,Jorge Alcala,advanced,Batter,Handedness,2022,vs R,8.5%,21.6%,0.39,.300,.367,.432,.799,.132,.372,41,8.8,.350,125
MINNESOTA TWINS,Danny Coulombe,advanced,Batter,Handedness,2022,vs L as L,8.6%,9.7%,0.89,.310,.366,.405,.770,.095,.342,13,2.1,.339,117
MINNESOTA TWINS,Danny Coulombe,advanced,Batter,Handedness,2022,vs R as L,5.4%,10.9%,0.50,.254,.295,.375,.670,.121,.263,26,-4.2,.290,83
MINNESOTA TWINS,Danny Coulombe,advanced,Batter,Handedness,2022,vs L,8.6%,9.7%,0.89,.310,.366,.405,.770,.095,.342,13,2.1,.339,117
MINNESOTA TWINS,Danny Coulombe,advanced,Batter,Handedness,2022,vs R,5.4%,10.9%,0.50,.254,.295,.375,.670,.121,.263,26,-4.2,.290,83
MINNESOTA TWINS,Jhon Romero,advanced,Batter,Handedness,2022,vs L as R,8.3%,34.5%,0.24,.237,.310,.539,.849,.303,.293,12,2.7,.351,125
MINNESOTA TWINS,Jhon Romero,advanced,Batter,Handedness,2022,vs R as R,8.1%,29.5%,0.28,.216,.283,.385,.668,.169,.273,26,-4.1,.291,83
MINNESOTA TWINS,Jhon Romero,advanced,Batter,Handedness,2022,vs L,8.3%,34.5%,0.24,.237,.310,.539,.849,.303,.293,12,2.7,.351,125
MINNESOTA TWINS,Jhon Romero,advanced,Batter,Handedness,2022,vs R,8.1%,29.5%,0.28,.216,.283,.385,.668,.169,.273,26,-4.1,.291,83
MINNESOTA TWINS,Cody Stashak,advanced,Batter,Handedness,2022,vs L as L,10.5%,39.5%,0.27,.152,.263,.242,.506,.091,.235,2,-2.2,.239,47
MINNESOTA TWINS,Cody Stashak,advanced,Batter,Handedness,2022,vs R as L,9.3%,28.5%,0.33,.250,.318,.414,.732,.164,.343,21,1.2,.319,103
MINNESOTA TWINS,Cody Stashak,advanced,Batter,Handedness,2022,vs L,10.5%,39.5%,0.27,.152,.263,.242,.506,.091,.235,2,-2.2,.239,47
MINNESOTA TWINS,Cody Stashak,advanced,Batter,Handedness,2022,vs R,9.3%,28.5%,0.33,.250,.318,.414,.732,.164,.343,21,1.2,.319,103
