Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
ATLANTA BRAVES,Ronald Acuña Jr.,batted-ball,Batter,Handedness,2022,vs L as R,1.82,11.4%,57.1%,31.4%,9.1%,27.3%,10.0%,0.0%,48.6%,37.1%,14.3%,17.1%,51.4%,31.4%,262,114,148
ATLANTA BRAVES,Ronald Acuña Jr.,batted-ball,Batter,Handedness,2022,vs R as R,1.13,19.7%,42.6%,37.7%,15.2%,10.9%,21.2%,0.0%,43.4%,33.6%,23.0%,18.9%,46.7%,34.4%,748,293,455
ATLANTA BRAVES,Ronald Acuña Jr.,batted-ball,Batter,Handedness,2022,vs L,1.82,11.4%,57.1%,31.4%,9.1%,27.3%,10.0%,0.0%,48.6%,37.1%,14.3%,17.1%,51.4%,31.4%,262,114,148
ATLANTA BRAVES,Ronald Acuña Jr.,batted-ball,Batter,Handedness,2022,vs R,1.13,19.7%,42.6%,37.7%,15.2%,10.9%,21.2%,0.0%,43.4%,33.6%,23.0%,18.9%,46.7%,34.4%,748,293,455
ATLANTA BRAVES,Dansby Swanson,batted-ball,Batter,Handedness,2022,vs L as R,0.92,27.0%,34.9%,38.1%,0.0%,16.7%,4.5%,0.0%,31.7%,41.3%,27.0%,11.1%,49.2%,39.7%,391,155,236
ATLANTA BRAVES,Dansby Swanson,batted-ball,Batter,Handedness,2022,vs R as R,0.81,22.8%,34.4%,42.8%,9.1%,13.0%,14.5%,0.0%,40.6%,33.3%,26.1%,15.6%,50.0%,34.4%,1085,381,704
ATLANTA BRAVES,Dansby Swanson,batted-ball,Batter,Handedness,2022,vs L,0.92,27.0%,34.9%,38.1%,0.0%,16.7%,4.5%,0.0%,31.7%,41.3%,27.0%,11.1%,49.2%,39.7%,391,155,236
ATLANTA BRAVES,Dansby Swanson,batted-ball,Batter,Handedness,2022,vs R,0.81,22.8%,34.4%,42.8%,9.1%,13.0%,14.5%,0.0%,40.6%,33.3%,26.1%,15.6%,50.0%,34.4%,1085,381,704
ATLANTA BRAVES,Matt Olson,batted-ball,Batter,Handedness,2022,vs L as L,1.00,18.5%,40.7%,40.7%,12.1%,9.1%,6.1%,0.0%,32.1%,50.6%,17.3%,21.0%,50.6%,28.4%,533,216,317
ATLANTA BRAVES,Matt Olson,batted-ball,Batter,Handedness,2022,vs R as L,1.03,20.0%,40.6%,39.4%,10.4%,16.4%,2.9%,0.0%,40.9%,35.7%,23.4%,13.5%,44.4%,42.1%,1104,421,683
ATLANTA BRAVES,Matt Olson,batted-ball,Batter,Handedness,2022,vs L,1.00,18.5%,40.7%,40.7%,12.1%,9.1%,6.1%,0.0%,32.1%,50.6%,17.3%,21.0%,50.6%,28.4%,533,216,317
ATLANTA BRAVES,Matt Olson,batted-ball,Batter,Handedness,2022,vs R,1.03,20.0%,40.6%,39.4%,10.4%,16.4%,2.9%,0.0%,40.9%,35.7%,23.4%,13.5%,44.4%,42.1%,1104,421,683
ATLANTA BRAVES,Austin Riley,batted-ball,Batter,Handedness,2022,vs L as R,0.83,27.6%,32.8%,39.7%,8.7%,30.4%,10.5%,0.0%,43.1%,31.0%,25.9%,10.3%,36.2%,53.4%,410,158,252
ATLANTA BRAVES,Austin Riley,batted-ball,Batter,Handedness,2022,vs R as R,1.00,23.7%,38.2%,38.2%,5.6%,23.9%,5.6%,0.0%,39.8%,36.0%,24.2%,12.4%,47.3%,40.3%,998,344,654
