Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
TEXAS RANGERS,Josh H. Smith,batted-ball,Batter,Handedness,2022,vs L as L,1.33,30.0%,40.0%,30.0%,0.0%,33.3%,0.0%,0.0%,20.0%,80.0%,0.0%,20.0%,50.0%,30.0%,73,30,43
TEXAS RANGERS,Josh H. Smith,batted-ball,Batter,Handedness,2022,vs R as L,0.75,40.4%,25.5%,34.0%,12.5%,0.0%,8.3%,0.0%,32.7%,44.9%,22.4%,12.2%,63.3%,24.5%,307,136,171
TEXAS RANGERS,Josh H. Smith,batted-ball,Batter,Handedness,2022,vs L,1.33,30.0%,40.0%,30.0%,0.0%,33.3%,0.0%,0.0%,20.0%,80.0%,0.0%,20.0%,50.0%,30.0%,73,30,43
TEXAS RANGERS,Josh H. Smith,batted-ball,Batter,Handedness,2022,vs R,0.75,40.4%,25.5%,34.0%,12.5%,0.0%,8.3%,0.0%,32.7%,44.9%,22.4%,12.2%,63.3%,24.5%,307,136,171
TEXAS RANGERS,Marcus Semien,batted-ball,Batter,Handedness,2022,vs L as R,0.91,13.7%,41.1%,45.2%,6.1%,12.1%,16.7%,0.0%,42.5%,32.9%,24.7%,16.4%,56.2%,27.4%,393,145,248
TEXAS RANGERS,Marcus Semien,batted-ball,Batter,Handedness,2022,vs R as R,0.67,18.5%,32.7%,48.8%,9.7%,7.8%,8.7%,0.0%,46.4%,32.7%,20.9%,23.2%,50.2%,26.5%,1038,362,676
TEXAS RANGERS,Marcus Semien,batted-ball,Batter,Handedness,2022,vs L,0.91,13.7%,41.1%,45.2%,6.1%,12.1%,16.7%,0.0%,42.5%,32.9%,24.7%,16.4%,56.2%,27.4%,393,145,248
TEXAS RANGERS,Marcus Semien,batted-ball,Batter,Handedness,2022,vs R,0.67,18.5%,32.7%,48.8%,9.7%,7.8%,8.7%,0.0%,46.4%,32.7%,20.9%,23.2%,50.2%,26.5%,1038,362,676
TEXAS RANGERS,Corey Seager,batted-ball,Batter,Handedness,2022,vs L as L,1.17,19.2%,43.6%,37.2%,3.4%,27.6%,5.9%,0.0%,39.7%,33.3%,26.9%,15.4%,57.7%,26.9%,365,131,234
TEXAS RANGERS,Corey Seager,batted-ball,Batter,Handedness,2022,vs R as L,0.82,25.8%,33.5%,40.7%,1.3%,16.5%,0.0%,0.0%,40.7%,35.1%,24.2%,9.8%,49.0%,41.2%,945,367,578
TEXAS RANGERS,Corey Seager,batted-ball,Batter,Handedness,2022,vs L,1.17,19.2%,43.6%,37.2%,3.4%,27.6%,5.9%,0.0%,39.7%,33.3%,26.9%,15.4%,57.7%,26.9%,365,131,234
TEXAS RANGERS,Corey Seager,batted-ball,Batter,Handedness,2022,vs R,0.82,25.8%,33.5%,40.7%,1.3%,16.5%,0.0%,0.0%,40.7%,35.1%,24.2%,9.8%,49.0%,41.2%,945,367,578
TEXAS RANGERS,Adolis García,batted-ball,Batter,Handedness,2022,vs L as R,1.04,16.1%,42.9%,41.1%,21.7%,17.4%,4.2%,100.0%,50.9%,33.3%,15.8%,19.3%,45.6%,35.1%,346,115,231
TEXAS RANGERS,Adolis García,batted-ball,Batter,Handedness,2022,vs R as R,0.93,25.6%,35.8%,38.6%,10.3%,16.2%,4.8%,0.0%,42.0%,38.1%,19.9%,13.6%,47.2%,39.2%,978,326,652
TEXAS RANGERS,Adolis García,batted-ball,Batter,Handedness,2022,vs L,1.04,16.1%,42.9%,41.1%,21.7%,17.4%,4.2%,100.0%,50.9%,33.3%,15.8%,19.3%,45.6%,35.1%,346,115,231
TEXAS RANGERS,Adolis García,batted-ball,Batter,Handedness,2022,vs R,0.93,25.6%,35.8%,38.6%,10.3%,16.2%,4.8%,0.0%,42.0%,38.1%,19.9%,13.6%,47.2%,39.2%,978,326,652
TEXAS RANGERS,Nathaniel Lowe,batted-ball,Batter,Handedness,2022,vs L as L,2.21,27.4%,50.0%,22.6%,7.1%,42.9%,6.5%,0.0%,50.0%,32.3%,17.7%,16.1%,46.8%,37.1%,321,108,213
TEXAS RANGERS,Nathaniel Lowe,batted-ball,Batter,Handedness,2022,vs R as L,1.42,21.0%,46.3%,32.7%,9.4%,11.3%,12.0%,0.0%,27.2%,40.1%,32.7%,19.1%,53.7%,27.2%,926,326,600
