Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
TORONTO BLUE JAYS,José Berríos,advanced,Pitcher,Handedness,2022,vs L,7.16,2.45,2.92,2.25,17.9%,6.2%,11.8%,0.281,1.41,0.293,77.1%,5.86,4.74
TORONTO BLUE JAYS,José Berríos,advanced,Pitcher,Handedness,2022,vs R,8.94,1.93,4.64,1.4,23.2%,5.0%,18.2%,0.275,1.32,0.331,68.0%,3.91,3.51
TORONTO BLUE JAYS,Ross Stripling,advanced,Pitcher,Handedness,2022,vs L,6.83,1.63,4.2,0.33,19.6%,4.7%,15.0%,0.198,0.9,0.238,72.0%,2.6,3.64
TORONTO BLUE JAYS,Ross Stripling,advanced,Pitcher,Handedness,2022,vs R,7.71,2.04,3.78,0.91,20.2%,5.4%,14.9%,0.277,1.34,0.331,71.7%,3.39,3.69
TORONTO BLUE JAYS,Kevin Gausman,advanced,Pitcher,Handedness,2022,vs L,7.51,0.7,10.67,0.23,21.2%,2.0%,19.2%,0.24,0.99,0.296,71.0%,2.01,3.23
TORONTO BLUE JAYS,Kevin Gausman,advanced,Pitcher,Handedness,2022,vs R,12.32,2.36,5.23,0.18,30.9%,5.9%,25.0%,0.296,1.49,0.435,70.2%,1.42,2.48
TORONTO BLUE JAYS,Alek Manoah,advanced,Pitcher,Handedness,2022,vs L,6.45,2.96,2.18,1.05,16.7%,7.7%,9.0%,0.256,1.32,0.283,82.8%,4.29,4.71
TORONTO BLUE JAYS,Alek Manoah,advanced,Pitcher,Handedness,2022,vs R,9.64,1.29,7.5,0.64,29.0%,3.9%,25.1%,0.157,0.68,0.2,77.5%,2.59,3.13
TORONTO BLUE JAYS,Max Castillo,advanced,Pitcher,Handedness,2022,vs L,10.29,1.29,8.0,2.57,28.6%,3.6%,25.0%,0.222,1.0,0.235,95.2%,4.97,2.74
TORONTO BLUE JAYS,Max Castillo,advanced,Pitcher,Handedness,2022,vs R,10.38,2.08,5.0,2.08,32.3%,6.5%,25.8%,0.138,0.69,0.118,93.8%,4.49,2.7
TORONTO BLUE JAYS,Jordan Romano,advanced,Pitcher,Handedness,2022,vs L,12.0,2.4,5.0,0.0,33.9%,6.8%,27.1%,0.2,1.0,0.314,80.0%,1.24,2.53
TORONTO BLUE JAYS,Jordan Romano,advanced,Pitcher,Handedness,2022,vs R,8.47,5.29,1.6,1.06,21.9%,13.7%,8.2%,0.226,1.41,0.273,81.1%,4.7,4.75
TORONTO BLUE JAYS,Yimi Garcia,advanced,Pitcher,Handedness,2022,vs L,8.18,2.45,3.33,0.82,23.8%,7.1%,16.7%,0.184,0.91,0.214,93.0%,3.29,4.01
TORONTO BLUE JAYS,Yimi Garcia,advanced,Pitcher,Handedness,2022,vs R,8.5,1.0,8.5,1.0,23.9%,2.8%,21.1%,0.212,0.89,0.25,59.2%,3.33,3.79
TORONTO BLUE JAYS,Tim Mayza,advanced,Pitcher,Handedness,2022,vs L,6.97,2.61,2.67,0.87,20.5%,7.7%,12.8%,0.194,0.97,0.222,93.0%,3.69,2.72
