Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
NEW YORK YANKEES,Gerrit Cole,advanced,Pitcher,Handedness,2022,vs L,12.34,3.22,3.83,1.61,36.3%,9.5%,26.8%,0.14,0.83,0.16,85.0%,3.77,3.07
NEW YORK YANKEES,Gerrit Cole,advanced,Pitcher,Handedness,2022,vs R,10.61,1.93,5.5,1.13,28.3%,5.2%,23.2%,0.241,1.16,0.313,83.6%,3.07,2.65
NEW YORK YANKEES,Luis Severino,advanced,Pitcher,Handedness,2022,vs L,6.75,2.0,3.38,1.75,18.9%,5.6%,13.3%,0.216,1.03,0.218,84.6%,4.8,4.22
NEW YORK YANKEES,Luis Severino,advanced,Pitcher,Handedness,2022,vs R,12.56,2.81,4.47,0.75,34.5%,7.7%,26.8%,0.195,1.02,0.288,78.1%,2.59,2.75
NEW YORK YANKEES,Nestor Cortes,advanced,Pitcher,Handedness,2022,vs L,11.4,1.2,9.5,0.6,38.0%,4.0%,34.0%,0.104,0.47,0.143,89.3%,1.84,2.37
NEW YORK YANKEES,Nestor Cortes,advanced,Pitcher,Handedness,2022,vs R,9.29,2.32,4.0,1.47,25.1%,6.3%,18.8%,0.23,1.14,0.272,86.5%,3.98,3.92
NEW YORK YANKEES,Jordan Montgomery,advanced,Pitcher,Handedness,2022,vs L,11.74,0.0,20.0,0.0,35.1%,0.0%,35.1%,0.196,0.72,0.297,72.7%,0.5,1.08
NEW YORK YANKEES,Jordan Montgomery,advanced,Pitcher,Handedness,2022,vs R,6.25,2.01,3.11,1.23,17.0%,5.5%,11.5%,0.231,1.09,0.248,80.4%,4.42,4.13
NEW YORK YANKEES,Jameson Taillon,advanced,Pitcher,Handedness,2022,vs L,7.82,1.66,4.71,1.66,20.6%,4.4%,16.2%,0.268,1.24,0.297,79.1%,4.48,3.89
NEW YORK YANKEES,Jameson Taillon,advanced,Pitcher,Handedness,2022,vs R,7.03,0.8,8.8,0.96,18.9%,2.1%,16.7%,0.266,1.14,0.301,72.9%,3.3,3.67
NEW YORK YANKEES,Clay Holmes,advanced,Pitcher,Handedness,2022,vs L,7.43,2.7,2.75,0.0,20.0%,7.3%,12.7%,0.22,1.13,0.282,87.5%,2.58,2.81
NEW YORK YANKEES,Clay Holmes,advanced,Pitcher,Handedness,2022,vs R,10.04,1.04,9.67,0.0,29.6%,3.1%,26.5%,0.156,0.65,0.226,76.2%,1.69,2.03
NEW YORK YANKEES,Michael King,advanced,Pitcher,Handedness,2022,vs L,12.0,1.5,8.0,1.0,35.8%,4.5%,31.3%,0.172,0.78,0.237,53.6%,2.39,2.02
NEW YORK YANKEES,Michael King,advanced,Pitcher,Handedness,2022,vs R,11.97,3.68,3.25,0.31,33.3%,10.3%,23.1%,0.192,1.09,0.292,88.2%,2.12,2.54
NEW YORK YANKEES,Wandy Peralta,advanced,Pitcher,Handedness,2022,vs L,10.32,0.79,13.0,0.0,33.3%,2.6%,30.8%,0.108,0.44,0.167,66.7%,1.34,2.27
NEW YORK YANKEES,Wandy Peralta,advanced,Pitcher,Handedness,2022,vs R,5.32,3.68,1.44,0.41,14.0%,9.7%,4.3%,0.229,1.27,0.257,75.2%,3.75,4.65
NEW YORK YANKEES,Aroldis Chapman,advanced,Pitcher,Handedness,2022,vs L,6.75,9.0,0.75,0.0,16.7%,22.2%,-5.6%,0.143,1.5,0.182,83.3%,4.61,6.85
NEW YORK YANKEES,Aroldis Chapman,advanced,Pitcher,Handedness,2022,vs R,10.38,7.62,1.36,1.38,23.8%,17.5%,6.3%,0.24,1.77,0.286,74.3%,5.34,5.18
NEW YORK YANKEES,Miguel Castro,advanced,Pitcher,Handedness,2022,vs L,6.75,1.93,3.5,0.0,20.0%,5.7%,14.3%,0.242,1.07,0.308,40.0%,2.25,3.85
NEW YORK YANKEES,Miguel Castro,advanced,Pitcher,Handedness,2022,vs R,11.72,5.6,2.09,1.02,26.7%,12.8%,14.0%,0.243,1.58,0.326,78.8%,4.52,4.15
NEW YORK YANKEES,Lucas Luetge,advanced,Pitcher,Handedness,2022,vs L,9.0,3.27,2.75,0.0,23.9%,8.7%,15.2%,0.2,1.09,0.267,92.3%,2.47,4.1
NEW YORK YANKEES,Lucas Luetge,advanced,Pitcher,Handedness,2022,vs R,8.53,2.84,3.0,0.47,22.0%,7.3%,14.6%,0.263,1.37,0.333,69.1%,2.85,4.05
NEW YORK YANKEES,Albert Abreu,advanced,Pitcher,Handedness,2022,vs L,8.59,9.82,0.88,1.23,21.9%,25.0%,-3.1%,0.043,1.23,0.0,78.9%,6.25,6.3
NEW YORK YANKEES,Albert Abreu,advanced,Pitcher,Handedness,2022,vs R,9.64,7.07,1.36,1.29,22.4%,16.4%,6.0%,0.278,1.86,0.351,99.2%,5.61,4.39
NEW YORK YANKEES,JP Sears,advanced,Pitcher,Handedness,2022,vs L,13.5,20.25,0.67,0.0,22.2%,33.3%,-11.1%,0.333,3.75,0.5,100.0%,6.86,6.86
NEW YORK YANKEES,JP Sears,advanced,Pitcher,Handedness,2022,vs R,4.5,0.64,7.0,0.0,14.3%,2.0%,12.2%,0.188,0.71,0.22,90.0%,2.32,4.03
NEW YORK YANKEES,Chad Green,advanced,Pitcher,Handedness,2022,vs L,9.64,3.86,2.5,0.0,21.7%,8.7%,13.0%,0.316,1.71,0.375,75.0%,2.25,5.13
NEW YORK YANKEES,Chad Green,advanced,Pitcher,Handedness,2022,vs R,9.58,2.61,3.67,0.87,28.2%,7.7%,20.5%,0.2,0.97,0.25,69.8%,3.11,3.73
NEW YORK YANKEES,Jonathan Loáisiga,advanced,Pitcher,Handedness,2022,vs L,12.71,1.59,8.0,1.59,33.3%,4.2%,29.2%,0.261,1.24,0.357,35.7%,3.11,2.39
NEW YORK YANKEES,Jonathan Loáisiga,advanced,Pitcher,Handedness,2022,vs R,8.18,7.36,1.11,1.64,20.4%,18.4%,2.0%,0.25,1.73,0.286,67.9%,6.11,4.69
NEW YORK YANKEES,Ron Marinaccio,advanced,Pitcher,Handedness,2022,vs L,8.0,2.0,4.0,0.0,25.0%,6.3%,18.8%,0.1,0.56,0.136,40.0%,2.0,3.65
NEW YORK YANKEES,Ron Marinaccio,advanced,Pitcher,Handedness,2022,vs R,13.06,6.97,1.88,0.0,30.6%,16.3%,14.3%,0.114,1.16,0.19,88.2%,3.98,5.57
NEW YORK YANKEES,Ryan Weber,advanced,Pitcher,Handedness,2022,vs L,4.50,0.00,1.00,0.00,12.5%,0.0%,12.5%,.250,1.00,.286,100.0%,2.11,3.60
NEW YORK YANKEES,Ryan Weber,advanced,Pitcher,Handedness,2022,vs R,0.00,0.00,0.00,9.00,0.0%,0.0%,0.0%,.333,1.50,.143,0.0%,16.11,8.32
NEW YORK YANKEES,Ben Rortvedt,advanced,Pitcher,Handedness,2022,vs L,9.70,3.38,2.88,0.84,26.7%,9.3%,17.4%,.247,1.27,.321,78.5%,3.29,2.98
NEW YORK YANKEES,Ben Rortvedt,advanced,Pitcher,Handedness,2022,vs R,8.28,3.60,2.30,3.24,18.3%,7.9%,10.3%,.402,2.20,.444,59.5%,7.51,4.91
NEW YORK YANKEES,Domingo Germán,advanced,Pitcher,Handedness,2022,vs L,0.00,20.25,0.00,0.00,0.0%,33.3%,-33.3%,.333,3.75,.333,60.0%,9.86,10.97
NEW YORK YANKEES,Domingo Germán,advanced,Pitcher,Handedness,2022,vs R,6.00,9.00,0.67,0.00,12.5%,18.8%,-6.2%,.250,2.00,.300,57.1%,5.77,7.76
NEW YORK YANKEES,Zack Britton,advanced,Pitcher,Handedness,2022,vs L,7.56,5.40,1.40,1.08,16.7%,11.9%,4.8%,.314,1.92,.370,48.2%,5.51,6.27
NEW YORK YANKEES,Zack Britton,advanced,Pitcher,Handedness,2022,vs R,9.39,3.52,2.67,1.76,23.2%,8.7%,14.5%,.246,1.37,.286,74.5%,5.13,4.82
