Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
TORONTO BLUE JAYS,José Berríos,batted-ball,Pitcher,Handedness,2022,vs L,0.86,17.6%,38.0%,44.4%,7.9%,17.5%,5.6%,100.0%,39.6%,35.4%,25.0%,14.6%,53.5%,31.9%,703,242,461
TORONTO BLUE JAYS,José Berríos,batted-ball,Pitcher,Handedness,2022,vs R,1.07,25.2%,38.7%,36.1%,8.9%,14.3%,3.3%,0.0%,37.8%,36.5%,25.6%,17.7%,49.4%,32.9%,794,231,563
TORONTO BLUE JAYS,Ross Stripling,batted-ball,Pitcher,Handedness,2022,vs L,1.32,19.8%,45.7%,34.6%,3.6%,3.6%,0.0%,0.0%,42.0%,34.6%,23.5%,14.8%,56.8%,28.4%,452,152,300
TORONTO BLUE JAYS,Ross Stripling,batted-ball,Pitcher,Handedness,2022,vs R,1.42,16.8%,48.8%,34.4%,11.6%,9.3%,6.6%,0.0%,38.4%,34.4%,27.2%,16.8%,48.8%,34.4%,662,218,444
TORONTO BLUE JAYS,Kevin Gausman,batted-ball,Pitcher,Handedness,2022,vs L,1.28,20.9%,44.3%,34.8%,5.0%,2.5%,13.7%,0.0%,35.3%,43.1%,21.6%,18.1%,56.0%,25.9%,551,152,399
TORONTO BLUE JAYS,Kevin Gausman,batted-ball,Pitcher,Handedness,2022,vs R,1.3,27.3%,41.0%,31.7%,11.4%,2.3%,5.3%,0.0%,38.1%,30.9%,30.9%,13.7%,47.5%,38.8%,862,266,596
TORONTO BLUE JAYS,Alek Manoah,batted-ball,Pitcher,Handedness,2022,vs L,0.82,23.3%,34.6%,42.1%,13.4%,9.0%,3.6%,60.0%,44.5%,28.0%,27.4%,18.3%,58.5%,23.2%,799,285,514
TORONTO BLUE JAYS,Alek Manoah,batted-ball,Pitcher,Handedness,2022,vs R,1.04,16.4%,42.5%,41.0%,12.7%,7.3%,8.8%,0.0%,49.3%,32.1%,18.7%,18.7%,62.7%,18.7%,790,252,538
TORONTO BLUE JAYS,Max Castillo,batted-ball,Pitcher,Handedness,2022,vs L,1.29,15.8%,47.4%,36.8%,0.0%,28.6%,0.0%,0.0%,52.6%,26.3%,21.1%,15.8%,68.4%,15.8%,118,43,75
TORONTO BLUE JAYS,Max Castillo,batted-ball,Pitcher,Handedness,2022,vs R,1.43,10.5%,52.6%,36.8%,14.3%,28.6%,0.0%,0.0%,57.9%,36.8%,5.3%,5.3%,52.6%,42.1%,128,47,81
TORONTO BLUE JAYS,Jordan Romano,batted-ball,Pitcher,Handedness,2022,vs L,0.92,26.5%,35.3%,38.2%,7.7%,0.0%,0.0%,100.0%,42.9%,37.1%,20.0%,11.4%,57.1%,31.4%,237,81,156
TORONTO BLUE JAYS,Jordan Romano,batted-ball,Pitcher,Handedness,2022,vs R,1.06,19.6%,41.3%,39.1%,11.1%,11.1%,5.3%,0.0%,39.1%,26.1%,34.8%,10.9%,50.0%,39.1%,281,96,185
TORONTO BLUE JAYS,Yimi Garcia,batted-ball,Pitcher,Handedness,2022,vs L,0.64,20.7%,31.0%,48.3%,0.0%,7.1%,0.0%,0.0%,55.2%,27.6%,17.2%,3.4%,82.8%,13.8%,190,75,115
TORONTO BLUE JAYS,Yimi Garcia,batted-ball,Pitcher,Handedness,2022,vs R,0.96,10.0%,44.0%,46.0%,26.1%,8.7%,0.0%,0.0%,26.0%,38.0%,36.0%,26.0%,50.0%,24.0%,282,104,178
TORONTO BLUE JAYS,Tim Mayza,batted-ball,Pitcher,Handedness,2022,vs L,9.0,28.6%,64.3%,7.1%,0.0%,50.0%,5.6%,0.0%,39.3%,39.3%,21.4%,21.4%,42.9%,35.7%,133,47,86
TORONTO BLUE JAYS,Tim Mayza,batted-ball,Pitcher,Handedness,2022,vs R,4.8,34.1%,54.5%,11.4%,0.0%,20.0%,12.5%,0.0%,31.1%,44.4%,24.4%,13.3%,46.7%,40.0%,231,92,139
TORONTO BLUE JAYS,Adam Cimber,batted-ball,Pitcher,Handedness,2022,vs L,0.26,17.1%,17.1%,65.7%,26.1%,8.7%,16.7%,0.0%,25.7%,34.3%,40.0%,34.3%,45.7%,20.0%,202,73,129
TORONTO BLUE JAYS,Adam Cimber,batted-ball,Pitcher,Handedness,2022,vs R,1.95,22.4%,51.3%,26.3%,10.0%,10.0%,5.1%,33.3%,20.3%,49.4%,30.4%,16.5%,58.2%,25.3%,334,90,244
TORONTO BLUE JAYS,David Phelps,batted-ball,Pitcher,Handedness,2022,vs L,1.25,28.9%,39.5%,31.6%,8.3%,0.0%,0.0%,0.0%,38.5%,35.9%,25.6%,15.4%,64.1%,20.5%,198,80,118
TORONTO BLUE JAYS,David Phelps,batted-ball,Pitcher,Handedness,2022,vs R,0.95,24.1%,37.0%,38.9%,14.3%,0.0%,15.0%,100.0%,20.0%,50.9%,29.1%,20.0%,50.9%,29.1%,437,185,252
TORONTO BLUE JAYS,Sergio Romo,batted-ball,Pitcher,Handedness,2022,vs L,0.33,30.4%,17.4%,52.2%,0.0%,8.3%,0.0%,0.0%,39.1%,47.8%,13.0%,8.7%,69.6%,21.7%,126,43,83
TORONTO BLUE JAYS,Sergio Romo,batted-ball,Pitcher,Handedness,2022,vs R,0.22,17.6%,14.7%,67.6%,4.3%,26.1%,0.0%,0.0%,32.4%,47.1%,20.6%,20.6%,52.9%,26.5%,211,83,128
TORONTO BLUE JAYS,Trevor Richards,batted-ball,Pitcher,Handedness,2022,vs L,1.23,17.1%,45.7%,37.1%,0.0%,15.4%,0.0%,0.0%,45.7%,22.9%,31.4%,5.7%,77.1%,17.1%,273,108,165
