Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
MIAMI MARLINS,Sandy Alcantara,batted-ball,Pitcher,Handedness,2022,vs L,1.93,16.0%,55.3%,28.6%,10.2%,5.1%,4.4%,100.0%,33.5%,44.5%,22.0%,23.9%,49.3%,26.8%,1082,380,702
MIAMI MARLINS,Sandy Alcantara,batted-ball,Pitcher,Handedness,2022,vs R,1.91,10.7%,58.6%,30.7%,23.3%,7.0%,9.8%,0.0%,47.1%,32.9%,20.0%,20.0%,55.7%,24.3%,755,233,522
MIAMI MARLINS,Trevor Rogers,batted-ball,Pitcher,Handedness,2022,vs L,2.08,22.9%,52.1%,25.0%,0.0%,8.3%,4.0%,100.0%,36.7%,38.8%,24.5%,34.7%,51.0%,14.3%,372,154,218
MIAMI MARLINS,Trevor Rogers,batted-ball,Pitcher,Handedness,2022,vs R,1.0,22.3%,38.8%,38.8%,2.7%,12.3%,9.6%,0.0%,42.9%,33.9%,23.3%,18.0%,54.0%,28.0%,1103,397,706
MIAMI MARLINS,Daniel Castano,batted-ball,Pitcher,Handedness,2022,vs L,1.89,25.7%,48.6%,25.7%,22.2%,33.3%,5.9%,50.0%,32.4%,32.4%,35.1%,18.9%,56.8%,24.3%,186,64,122
MIAMI MARLINS,Daniel Castano,batted-ball,Pitcher,Handedness,2022,vs R,1.5,21.7%,47.0%,31.3%,11.5%,7.7%,10.3%,0.0%,53.6%,32.1%,14.3%,17.9%,59.5%,22.6%,368,115,253
MIAMI MARLINS,Pablo López,batted-ball,Pitcher,Handedness,2022,vs L,1.64,19.0%,50.3%,30.7%,8.5%,17.0%,0.0%,0.0%,44.4%,34.6%,20.9%,26.1%,47.7%,26.1%,791,279,512
MIAMI MARLINS,Pablo López,batted-ball,Pitcher,Handedness,2022,vs R,1.12,23.0%,40.7%,36.3%,4.9%,7.3%,2.2%,0.0%,45.6%,28.1%,26.3%,10.6%,55.8%,33.6%,778,269,509
MIAMI MARLINS,Braxton Garrett,batted-ball,Pitcher,Handedness,2022,vs L,10.0,29.0%,64.5%,6.5%,0.0%,50.0%,0.0%,0.0%,53.1%,21.9%,25.0%,15.6%,65.6%,18.8%,157,50,107
MIAMI MARLINS,Braxton Garrett,batted-ball,Pitcher,Handedness,2022,vs R,0.97,21.3%,38.8%,40.0%,9.4%,9.4%,6.5%,0.0%,36.3%,37.5%,26.3%,20.0%,47.5%,32.5%,419,130,289
