Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Pitches,Balls,Strikes
PHILADELPHIA PHILLIES,Garrett Stubbs,batted-ball,Pitcher,Handedness,2022,vs L,1.0,0.0%,50.0%,50.0%,0.0%,100.0%,0.0%,0.0%,50.0%,50.0%,0.0%,0.0%,50.0%,50.0%,14,6,8
PHILADELPHIA PHILLIES,Garrett Stubbs,batted-ball,Pitcher,Handedness,2022,vs R,1.0,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,0.0%,100.0%,0.0%,5,2,3
PHILADELPHIA PHILLIES,Zack Wheeler,batted-ball,Pitcher,Handedness,2022,vs L,1.2,24.8%,41.1%,34.1%,4.5%,9.1%,7.5%,0.0%,46.9%,30.8%,22.3%,17.7%,56.2%,26.2%,779,260,519
PHILADELPHIA PHILLIES,Zack Wheeler,batted-ball,Pitcher,Handedness,2022,vs R,1.58,19.0%,49.6%,31.4%,13.2%,2.6%,6.7%,0.0%,34.7%,32.2%,33.1%,23.1%,52.9%,24.0%,687,222,465
PHILADELPHIA PHILLIES,Cristopher Sánchez,batted-ball,Pitcher,Handedness,2022,vs L,4.25,8.7%,73.9%,17.4%,0.0%,0.0%,5.9%,0.0%,26.1%,52.2%,21.7%,30.4%,56.5%,13.0%,122,43,79
PHILADELPHIA PHILLIES,Cristopher Sánchez,batted-ball,Pitcher,Handedness,2022,vs R,1.47,15.9%,50.0%,34.1%,6.7%,20.0%,0.0%,0.0%,29.5%,54.5%,15.9%,11.4%,52.3%,36.4%,252,104,148
PHILADELPHIA PHILLIES,Seranthony Domínguez,batted-ball,Pitcher,Handedness,2022,vs L,0.92,26.5%,35.3%,38.2%,23.1%,7.7%,8.3%,0.0%,47.1%,14.7%,38.2%,11.8%,58.8%,29.4%,199,77,122
PHILADELPHIA PHILLIES,Seranthony Domínguez,batted-ball,Pitcher,Handedness,2022,vs R,1.92,11.6%,58.1%,30.2%,7.7%,7.7%,20.0%,0.0%,55.8%,27.9%,16.3%,11.6%,55.8%,32.6%,310,111,199
PHILADELPHIA PHILLIES,Brad Hand,batted-ball,Pitcher,Handedness,2022,vs L,1.57,33.3%,40.7%,25.9%,28.6%,0.0%,9.1%,100.0%,50.0%,35.7%,14.3%,28.6%,50.0%,21.4%,204,84,120
PHILADELPHIA PHILLIES,Brad Hand,batted-ball,Pitcher,Handedness,2022,vs R,0.95,17.8%,40.0%,42.2%,15.8%,0.0%,5.6%,0.0%,46.7%,31.1%,22.2%,17.8%,60.0%,22.2%,278,98,180
PHILADELPHIA PHILLIES,Corey Knebel,batted-ball,Pitcher,Handedness,2022,vs L,0.9,21.6%,37.3%,41.2%,9.5%,4.8%,5.3%,0.0%,32.7%,46.2%,21.2%,17.3%,61.5%,21.2%,317,127,190
PHILADELPHIA PHILLIES,Corey Knebel,batted-ball,Pitcher,Handedness,2022,vs R,0.9,17.4%,39.1%,43.5%,10.0%,10.0%,22.2%,0.0%,34.8%,28.3%,37.0%,13.0%,52.2%,34.8%,320,141,179
PHILADELPHIA PHILLIES,José Alvarado,batted-ball,Pitcher,Handedness,2022,vs L,3.75,24.0%,60.0%,16.0%,0.0%,0.0%,6.7%,0.0%,48.0%,36.0%,16.0%,20.0%,48.0%,32.0%,150,58,92
PHILADELPHIA PHILLIES,José Alvarado,batted-ball,Pitcher,Handedness,2022,vs R,2.33,14.3%,60.0%,25.7%,0.0%,11.1%,4.8%,0.0%,51.4%,28.6%,20.0%,5.7%,54.3%,40.0%,323,144,179
PHILADELPHIA PHILLIES,Andrew Bellatti,batted-ball,Pitcher,Handedness,2022,vs L,0.38,26.7%,20.0%,53.3%,6.3%,18.8%,0.0%,0.0%,56.7%,23.3%,20.0%,10.0%,60.0%,30.0%,213,86,127
PHILADELPHIA PHILLIES,Andrew Bellatti,batted-ball,Pitcher,Handedness,2022,vs R,0.52,13.5%,29.7%,56.8%,9.5%,9.5%,9.1%,0.0%,41.0%,33.3%,25.6%,20.5%,46.2%,33.3%,321,122,199
PHILADELPHIA PHILLIES,Nick Nelson,batted-ball,Pitcher,Handedness,2022,vs L,1.08,24.2%,39.4%,36.4%,16.7%,0.0%,3.8%,0.0%,42.4%,28.8%,28.8%,16.7%,65.2%,18.2%,354,137,217
PHILADELPHIA PHILLIES,Nick Nelson,batted-ball,Pitcher,Handedness,2022,vs R,0.82,25.9%,33.3%,40.7%,4.5%,4.5%,5.6%,0.0%,33.3%,37.0%,29.6%,13.0%,59.3%,27.8%,368,157,211
PHILADELPHIA PHILLIES,Jeurys Familia,batted-ball,Pitcher,Handedness,2022,vs L,2.44,11.4%,62.9%,25.7%,11.1%,11.1%,18.2%,100.0%,30.6%,50.0%,19.4%,11.1%,55.6%,33.3%,240,105,135
PHILADELPHIA PHILLIES,Jeurys Familia,batted-ball,Pitcher,Handedness,2022,vs R,1.05,19.6%,41.1%,39.3%,0.0%,22.7%,13.0%,0.0%,50.0%,37.5%,12.5%,16.1%,41.1%,42.9%,294,105,189
PHILADELPHIA PHILLIES,Mark Appel,batted-ball,Pitcher,Handedness,2022,vs L,2.0,25.0%,50.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,17,7,10
PHILADELPHIA PHILLIES,Mark Appel,batted-ball,Pitcher,Handedness,2022,vs R,1.8,17.6%,52.9%,29.4%,0.0%,0.0%,0.0%,0.0%,29.4%,47.1%,23.5%,17.6%,23.5%,58.8%,70,32,38
PHILADELPHIA PHILLIES,Zach Eflin,batted-ball,Pitcher,Handedness,2022,vs L,0.78,21.9%,34.3%,43.8%,6.5%,8.7%,5.6%,100.0%,45.3%,32.1%,22.6%,17.9%,59.4%,22.6%,576,213,363
